PU Histórico - Gerado em 07/10/2018 00:52:15

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	AALR11	10.000,000000	65,810900	-	10.065,810900	Padrão - SND	Reg.	
04/10/2018	AALR11	10.000,000000	62,937000	-	10.062,937000	Padrão - SND	Reg.	
03/10/2018	AALR11	10.000,000000	60,063900	-	10.060,063900	Padrão - SND	Reg.	
02/10/2018	AALR11	10.000,000000	57,191600	-	10.057,191600	Padrão - SND	Reg.	
01/10/2018	AALR11	10.000,000000	54,320200	-	10.054,320200	Padrão - SND	Reg.	
28/09/2018	AALR11	10.000,000000	51,453900	-	10.051,453900	Padrão - SND	Reg.	
27/09/2018	AALR11	10.000,000000	48,588400	-	10.048,588400	Padrão - SND	Reg.	
26/09/2018	AALR11	10.000,000000	45,723800	-	10.045,723800	Padrão - SND	Reg.	
25/09/2018	AALR11	10.000,000000	42,859900	-	10.042,859900	Padrão - SND	Reg.	
24/09/2018	AALR11	10.000,000000	39,996900	-	10.039,996900	Padrão - SND	Reg.	
21/09/2018	AALR11	10.000,000000	37,134700	-	10.037,134700	Padrão - SND	Reg.	
20/09/2018	AALR11	10.000,000000	34,273300	-	10.034,273300	Padrão - SND	Reg.	
19/09/2018	AALR11	10.000,000000	31,412700	-	10.031,412700	Padrão - SND	Reg.	
18/09/2018	AALR11	10.000,000000	28,552900	-	10.028,552900	Padrão - SND	Reg.	
17/09/2018	AALR11	10.000,000000	25,693900	-	10.025,693900	Padrão - SND	Reg.	
14/09/2018	AALR11	10.000,000000	22,835800	-	10.022,835800	Padrão - SND	Reg.	
13/09/2018	AALR11	10.000,000000	19,978500	-	10.019,978500	Padrão - SND	Reg.	
12/09/2018	AALR11	10.000,000000	17,122000	-	10.017,122000	Padrão - SND	Reg.	
11/09/2018	AALR11	10.000,000000	14,266300	-	10.014,266300	Padrão - SND	Reg.	
10/09/2018	AALR11	10.000,000000	11,411400	-	10.011,411400	Padrão - SND	Reg.	
06/09/2018	AALR11	10.000,000000	8,557300	-	10.008,557300	Padrão - SND	Reg.	
05/09/2018	AALR11	10.000,000000	5,704100	-	10.005,704100	Padrão - SND	Reg.	
04/09/2018	AALR11	10.000,000000	2,851600	-	10.002,851600	Padrão - SND	Reg.	
03/09/2018	AALR11	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
31/08/2018	AALR11	10.000,000000	373,379400	-	10.373,379400	Padrão - SND	Reg.	
30/08/2018	AALR11	10.000,000000	370,422100	-	10.370,422100	Padrão - SND	Reg.	
29/08/2018	AALR11	10.000,000000	367,465700	-	10.367,465700	Padrão - SND	Reg.	
28/08/2018	AALR11	10.000,000000	364,510100	-	10.364,510100	Padrão - SND	Reg.	
27/08/2018	AALR11	10.000,000000	361,555400	-	10.361,555400	Padrão - SND	Reg.	
24/08/2018	AALR11	10.000,000000	358,601500	-	10.358,601500	Padrão - SND	Reg.	
23/08/2018	AALR11	10.000,000000	355,648500	-	10.355,648500	Padrão - SND	Reg.	
22/08/2018	AALR11	10.000,000000	352,696300	-	10.352,696300	Padrão - SND	Reg.	
21/08/2018	AALR11	10.000,000000	349,744900	-	10.349,744900	Padrão - SND	Reg.	
20/08/2018	AALR11	10.000,000000	346,794400	-	10.346,794400	Padrão - SND	Reg.	
17/08/2018	AALR11	10.000,000000	343,844700	-	10.343,844700	Padrão - SND	Reg.	
16/08/2018	AALR11	10.000,000000	340,895900	-	10.340,895900	Padrão - SND	Reg.	
15/08/2018	AALR11	10.000,000000	337,947900	-	10.337,947900	Padrão - SND	Reg.	
14/08/2018	AALR11	10.000,000000	335,000700	-	10.335,000700	Padrão - SND	Reg.	
13/08/2018	AALR11	10.000,000000	332,054400	-	10.332,054400	Padrão - SND	Reg.	
10/08/2018	AALR11	10.000,000000	329,108900	-	10.329,108900	Padrão - SND	Reg.	
09/08/2018	AALR11	10.000,000000	326,164300	-	10.326,164300	Padrão - SND	Reg.	
08/08/2018	AALR11	10.000,000000	323,220500	-	10.323,220500	Padrão - SND	Reg.	
07/08/2018	AALR11	10.000,000000	320,277500	-	10.320,277500	Padrão - SND	Reg.	
