PU Histórico - Gerado em 28/09/2020 12:18:03

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
28/09/2020	ACEF12	92.240,000000	25,402527	-	92.265,402527	Padrão - SND	Reg.	
25/09/2020	ACEF12	92.240,000000	12,700157	-	92.252,700157	Padrão - SND	Reg.	
24/09/2020	ACEF12	92.240,000000	-  	-	92.240,000000	Padrão - SND	Reg.	
23/09/2020	ACEF12	100.000,000000	2.098,855300	-	102.098,855300	Padrão - SND	Reg.	
22/09/2020	ACEF12	100.000,000000	2.084,799500	-	102.084,799500	Padrão - SND	Reg.	
21/09/2020	ACEF12	100.000,000000	2.070,746100	-	102.070,746100	Padrão - SND	Reg.	
18/09/2020	ACEF12	100.000,000000	2.056,694100	-	102.056,694100	Padrão - SND	Reg.	
17/09/2020	ACEF12	100.000,000000	2.042,644500	-	102.042,644500	Padrão - SND	Reg.	
16/09/2020	ACEF12	100.000,000000	2.028,596200	-	102.028,596200	Padrão - SND	Reg.	
15/09/2020	ACEF12	100.000,000000	2.014,550300	-	102.014,550300	Padrão - SND	Reg.	
14/09/2020	ACEF12	100.000,000000	2.000,506800	-	102.000,506800	Padrão - SND	Reg.	
11/09/2020	ACEF12	100.000,000000	1.986,464600	-	101.986,464600	Padrão - SND	Reg.	
10/09/2020	ACEF12	100.000,000000	1.972,423800	-	101.972,423800	Padrão - SND	Reg.	
09/09/2020	ACEF12	100.000,000000	1.958,385400	-	101.958,385400	Padrão - SND	Reg.	
08/09/2020	ACEF12	100.000,000000	1.944,349300	-	101.944,349300	Padrão - SND	Reg.	
04/09/2020	ACEF12	100.000,000000	1.930,314600	-	101.930,314600	Padrão - SND	Reg.	
03/09/2020	ACEF12	100.000,000000	1.916,282300	-	101.916,282300	Padrão - SND	Reg.	
02/09/2020	ACEF12	100.000,000000	1.902,252400	-	101.902,252400	Padrão - SND	Reg.	
01/09/2020	ACEF12	100.000,000000	1.888,223700	-	101.888,223700	Padrão - SND	Reg.	
31/08/2020	ACEF12	100.000,000000	1.874,196500	-	101.874,196500	Padrão - SND	Reg.	
28/08/2020	ACEF12	100.000,000000	1.860,171700	-	101.860,171700	Padrão - SND	Reg.	
27/08/2020	ACEF12	100.000,000000	1.846,149200	-	101.846,149200	Padrão - SND	Reg.	
26/08/2020	ACEF12	100.000,000000	1.832,128100	-	101.832,128100	Padrão - SND	Reg.	
25/08/2020	ACEF12	100.000,000000	1.818,109300	-	101.818,109300	Padrão - SND	Reg.	
24/08/2020	ACEF12	100.000,000000	1.804,091900	-	101.804,091900	Padrão - SND	Reg.	
21/08/2020	ACEF12	100.000,000000	1.790,076800	-	101.790,076800	Padrão - SND	Reg.	
20/08/2020	ACEF12	100.000,000000	1.776,064200	-	101.776,064200	Padrão - SND	Reg.	
19/08/2020	ACEF12	100.000,000000	1.762,052900	-	101.762,052900	Padrão - SND	Reg.	
18/08/2020	ACEF12	100.000,000000	1.748,044000	-	101.748,044000	Padrão - SND	Reg.	
17/08/2020	ACEF12	100.000,000000	1.734,036400	-	101.734,036400	Padrão - SND	Reg.	
14/08/2020	ACEF12	100.000,000000	1.720,031200	-	101.720,031200	Padrão - SND	Reg.	
13/08/2020	ACEF12	100.000,000000	1.706,027300	-	101.706,027300	Padrão - SND	Reg.	
12/08/2020	ACEF12	100.000,000000	1.692,025900	-	101.692,025900	Padrão - SND	Reg.	
11/08/2020	ACEF12	100.000,000000	1.678,025800	-	101.678,025800	Padrão - SND	Reg.	
10/08/2020	ACEF12	100.000,000000	1.664,028100	-	101.664,028100	Padrão - SND	Reg.	
07/08/2020	ACEF12	100.000,000000	1.650,032600	-	101.650,032600	Padrão - SND	Reg.	
06/08/2020	ACEF12	100.000,000000	1.636,038700	-	101.636,038700	Padrão - SND	Reg.	
05/08/2020	ACEF12	100.000,000000	1.621,058300	-	101.621,058300	Padrão - SND	Reg.	
04/08/2020	ACEF12	100.000,000000	1.606,079300	-	101.606,079300	Padrão - SND	Reg.	
03/08/2020	ACEF12	100.000,000000	1.591,103000	-	101.591,103000	Padrão - SND	Reg.	
31/07/2020	ACEF12	100.000,000000	1.576,129100	-	101.576,129100	Padrão - SND	Reg.	
30/07/2020	ACEF12	100.000,000000	1.561,157700	-	101.561,157700	Padrão - SND	Reg.	
29/07/2020	ACEF12	100.000,000000	1.546,187700	-	101.546,187700	Padrão - SND	Reg.	
28/07/2020	ACEF12	100.000,000000	1.531,220200	-	101.531,220200	Padrão - SND	Reg.	
27/07/2020	ACEF12	100.000,000000	1.516,255300	-	101.516,255300	Padrão - SND	Reg.	
24/07/2020	ACEF12	100.000,000000	1.501,291800	-	101.501,291800	Padrão - SND	Reg.	
23/07/2020	ACEF12	100.000,000000	1.486,331800	-	101.486,331800	Padrão - SND	Reg.	
22/07/2020	ACEF12	100.000,000000	1.471,372400	-	101.471,372400	Padrão - SND	Reg.	
21/07/2020	ACEF12	100.000,000000	1.456,416300	-	101.456,416300	Padrão - SND	Reg.	
20/07/2020	ACEF12	100.000,000000	1.441,461800	-	101.441,461800	Padrão - SND	Reg.	
17/07/2020	ACEF12	100.000,000000	1.426,510800	-	101.426,510800	Padrão - SND	Reg.	
16/07/2020	ACEF12	100.000,000000	1.411,560200	-	101.411,560200	Padrão - SND	Reg.	
15/07/2020	ACEF12	100.000,000000	1.396,613100	-	101.396,613100	Padrão - SND	Reg.	
14/07/2020	ACEF12	100.000,000000	1.381,667600	-	101.381,667600	Padrão - SND	Reg.	
13/07/2020	ACEF12	100.000,000000	1.366,724400	-	101.366,724400	Padrão - SND	Reg.	
10/07/2020	ACEF12	100.000,000000	1.351,783800	-	101.351,783800	Padrão - SND	Reg.	
09/07/2020	ACEF12	100.000,000000	1.336,844600	-	101.336,844600	Padrão - SND	Reg.	
08/07/2020	ACEF12	100.000,000000	1.321,908000	-	101.321,908000	Padrão - SND	Reg.	
07/07/2020	ACEF12	100.000,000000	1.306,973900	-	101.306,973900	Padrão - SND	Reg.	
06/07/2020	ACEF12	100.000,000000	1.292,042100	-	101.292,042100	Padrão - SND	Reg.	
03/07/2020	ACEF12	100.000,000000	1.277,111900	-	101.277,111900	Padrão - SND	Reg.	
02/07/2020	ACEF12	100.000,000000	1.262,184200	-	101.262,184200	Padrão - SND	Reg.	
01/07/2020	ACEF12	100.000,000000	1.247,258900	-	101.247,258900	Padrão - SND	Reg.	
30/06/2020	ACEF12	100.000,000000	1.232,335100	-	101.232,335100	Padrão - SND	Reg.	
29/06/2020	ACEF12	100.000,000000	1.217,413800	-	101.217,413800	Padrão - SND	Reg.	
26/06/2020	ACEF12	100.000,000000	1.202,495100	-	101.202,495100	Padrão - SND	Reg.	
25/06/2020	ACEF12	100.000,000000	1.187,578800	-	101.187,578800	Padrão - SND	Reg.	
24/06/2020	ACEF12	100.000,000000	1.172,664000	-	101.172,664000	Padrão - SND	Reg.	
23/06/2020	ACEF12	100.000,000000	1.157,751600	-	101.157,751600	Padrão - SND	Reg.	
22/06/2020	ACEF12	100.000,000000	1.142,841700	-	101.142,841700	Padrão - SND	Reg.	
19/06/2020	ACEF12	100.000,000000	1.127,933300	-	101.127,933300	Padrão - SND	Reg.	
18/06/2020	ACEF12	100.000,000000	1.113,027400	-	101.113,027400	Padrão - SND	Reg.	
17/06/2020	ACEF12	100.000,000000	1.095,189400	-	101.095,189400	Padrão - SND	Reg.	
16/06/2020	ACEF12	100.000,000000	1.077,354300	-	101.077,354300	Padrão - SND	Reg.	
15/06/2020	ACEF12	100.000,000000	1.059,523100	-	101.059,523100	Padrão - SND	Reg.	
12/06/2020	ACEF12	100.000,000000	1.041,693600	-	101.041,693600	Padrão - SND	Reg.	
10/06/2020	ACEF12	100.000,000000	1.023,868000	-	101.023,868000	Padrão - SND	Reg.	
09/06/2020	ACEF12	100.000,000000	1.006,046300	-	101.006,046300	Padrão - SND	Reg.	
08/06/2020	ACEF12	100.000,000000	988,226500	-	100.988,226500	Padrão - SND	Reg.	
05/06/2020	ACEF12	100.000,000000	970,410500	-	100.970,410500	Padrão - SND	Reg.	
04/06/2020	ACEF12	100.000,000000	952,598300	-	100.952,598300	Padrão - SND	Reg.	
03/06/2020	ACEF12	100.000,000000	934,787900	-	100.934,787900	Padrão - SND	Reg.	
02/06/2020	ACEF12	100.000,000000	916,981500	-	100.916,981500	Padrão - SND	Reg.	
01/06/2020	ACEF12	100.000,000000	899,177900	-	100.899,177900	Padrão - SND	Reg.	
29/05/2020	ACEF12	100.000,000000	881,377100	-	100.881,377100	Padrão - SND	Reg.	
28/05/2020	ACEF12	100.000,000000	863,580100	-	100.863,580100	Padrão - SND	Reg.	
27/05/2020	ACEF12	100.000,000000	845,786000	-	100.845,786000	Padrão - SND	Reg.	
26/05/2020	ACEF12	100.000,000000	827,994800	-	100.827,994800	Padrão - SND	Reg.	
25/05/2020	ACEF12	100.000,000000	810,207300	-	100.810,207300	Padrão - SND	Reg.	
22/05/2020	ACEF12	100.000,000000	792,422800	-	100.792,422800	Padrão - SND	Reg.	
21/05/2020	ACEF12	100.000,000000	774,641200	-	100.774,641200	Padrão - SND	Reg.	
20/05/2020	ACEF12	100.000,000000	756,862200	-	100.756,862200	Padrão - SND	Reg.	
19/05/2020	ACEF12	100.000,000000	739,087200	-	100.739,087200	Padrão - SND	Reg.	
18/05/2020	ACEF12	100.000,000000	721,315000	-	100.721,315000	Padrão - SND	Reg.	
15/05/2020	ACEF12	100.000,000000	703,546700	-	100.703,546700	Padrão - SND	Reg.	
14/05/2020	ACEF12	100.000,000000	685,780200	-	100.685,780200	Padrão - SND	Reg.	
13/05/2020	ACEF12	100.000,000000	668,017600	-	100.668,017600	Padrão - SND	Reg.	
12/05/2020	ACEF12	100.000,000000	650,257700	-	100.650,257700	Padrão - SND	Reg.	
11/05/2020	ACEF12	100.000,000000	632,501800	-	100.632,501800	Padrão - SND	Reg.	
08/05/2020	ACEF12	100.000,000000	614,748600	-	100.614,748600	Padrão - SND	Reg.	
07/05/2020	ACEF12	100.000,000000	596,998300	-	100.596,998300	Padrão - SND	Reg.	
06/05/2020	ACEF12	100.000,000000	576,352800	-	100.576,352800	Padrão - SND	Reg.	
05/05/2020	ACEF12	100.000,000000	555,711400	-	100.555,711400	Padrão - SND	Reg.	
04/05/2020	ACEF12	100.000,000000	535,075200	-	100.535,075200	Padrão - SND	Reg.	
30/04/2020	ACEF12	100.000,000000	514,442300	-	100.514,442300	Padrão - SND	Reg.	
29/04/2020	ACEF12	100.000,000000	493,813500	-	100.493,813500	Padrão - SND	Reg.	
28/04/2020	ACEF12	100.000,000000	473,190000	-	100.473,190000	Padrão - SND	Reg.	
27/04/2020	ACEF12	100.000,000000	452,569600	-	100.452,569600	Padrão - SND	Reg.	
24/04/2020	ACEF12	100.000,000000	431,953400	-	100.431,953400	Padrão - SND	Reg.	
23/04/2020	ACEF12	100.000,000000	411,342500	-	100.411,342500	Padrão - SND	Reg.	
22/04/2020	ACEF12	100.000,000000	390,734800	-	100.390,734800	Padrão - SND	Reg.	
20/04/2020	ACEF12	100.000,000000	370,132300	-	100.370,132300	Padrão - SND	Reg.	
17/04/2020	ACEF12	100.000,000000	349,532900	-	100.349,532900	Padrão - SND	Reg.	
16/04/2020	ACEF12	100.000,000000	328,938800	-	100.328,938800	Padrão - SND	Reg.	
15/04/2020	ACEF12	100.000,000000	308,348800	-	100.308,348800	Padrão - SND	Reg.	
14/04/2020	ACEF12	100.000,000000	287,762100	-	100.287,762100	Padrão - SND	Reg.	
13/04/2020	ACEF12	100.000,000000	267,180500	-	100.267,180500	Padrão - SND	Reg.	
09/04/2020	ACEF12	100.000,000000	246,603200	-	100.246,603200	Padrão - SND	Reg.	
08/04/2020	ACEF12	100.000,000000	226,028900	-	100.226,028900	Padrão - SND	Reg.	
07/04/2020	ACEF12	100.000,000000	205,460000	-	100.205,460000	Padrão - SND	Reg.	
06/04/2020	ACEF12	100.000,000000	184,895300	-	100.184,895300	Padrão - SND	Reg.	
03/04/2020	ACEF12	100.000,000000	164,334700	-	100.164,334700	Padrão - SND	Reg.	
02/04/2020	ACEF12	100.000,000000	143,778300	-	100.143,778300	Padrão - SND	Reg.	
01/04/2020	ACEF12	100.000,000000	123,225100	-	100.123,225100	Padrão - SND	Reg.	
31/03/2020	ACEF12	100.000,000000	102,677100	-	100.102,677100	Padrão - SND	Reg.	
30/03/2020	ACEF12	100.000,000000	82,133300	-	100.082,133300	Padrão - SND	Reg.	
27/03/2020	ACEF12	100.000,000000	61,593700	-	100.061,593700	Padrão - SND	Reg.	
26/03/2020	ACEF12	100.000,000000	41,058300	-	100.041,058300	Padrão - SND	Reg.	
25/03/2020	ACEF12	100.000,000000	20,527000	-	100.020,527000	Padrão - SND	Reg.	
24/03/2020	ACEF12	100.000,000000	-  	-	100.000,000000	Padrão - SND	Reg.	
23/03/2020	ACEF12	100.000,000000	3.070,852200	-	103.070,852200	Padrão - SND	Reg.	
20/03/2020	ACEF12	100.000,000000	3.049,699900	-	103.049,699900	Padrão - SND	Reg.	
19/03/2020	ACEF12	100.000,000000	3.028,550800	-	103.028,550800	Padrão - SND	Reg.	
18/03/2020	ACEF12	100.000,000000	3.005,439100	-	103.005,439100	Padrão - SND	Reg.	
17/03/2020	ACEF12	100.000,000000	2.982,332900	-	102.982,332900	Padrão - SND	Reg.	
16/03/2020	ACEF12	100.000,000000	2.959,232300	-	102.959,232300	Padrão - SND	Reg.	
13/03/2020	ACEF12	100.000,000000	2.936,136100	-	102.936,136100	Padrão - SND	Reg.	
12/03/2020	ACEF12	100.000,000000	2.913,045500	-	102.913,045500	Padrão - SND	Reg.	
11/03/2020	ACEF12	100.000,000000	2.889,959300	-	102.889,959300	Padrão - SND	Reg.	
10/03/2020	ACEF12	100.000,000000	2.866,878800	-	102.866,878800	Padrão - SND	Reg.	
