PU Histórico - Gerado em 17/02/2019 12:14:52

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	AEGE13	10.000,000000	133,814240	-	10.133,814240	Padrão - SND	Reg.	
14/02/2019	AEGE13	10.000,000000	130,073120	-	10.130,073120	Padrão - SND	Reg.	
13/02/2019	AEGE13	10.000,000000	126,333360	-	10.126,333360	Padrão - SND	Reg.	
12/02/2019	AEGE13	10.000,000000	122,595080	-	10.122,595080	Padrão - SND	Reg.	
11/02/2019	AEGE13	10.000,000000	118,858060	-	10.118,858060	Padrão - SND	Reg.	
08/02/2019	AEGE13	10.000,000000	115,122400	-	10.115,122400	Padrão - SND	Reg.	
07/02/2019	AEGE13	10.000,000000	111,388210	-	10.111,388210	Padrão - SND	Reg.	
06/02/2019	AEGE13	10.000,000000	107,655300	-	10.107,655300	Padrão - SND	Reg.	
05/02/2019	AEGE13	10.000,000000	103,923860	-	10.103,923860	Padrão - SND	Reg.	
04/02/2019	AEGE13	10.000,000000	100,193780	-	10.100,193780	Padrão - SND	Reg.	
01/02/2019	AEGE13	10.000,000000	96,465070	-	10.096,465070	Padrão - SND	Reg.	
31/01/2019	AEGE13	10.000,000000	92,737720	-	10.092,737720	Padrão - SND	Reg.	
30/01/2019	AEGE13	10.000,000000	89,011740	-	10.089,011740	Padrão - SND	Reg.	
29/01/2019	AEGE13	10.000,000000	85,287130	-	10.085,287130	Padrão - SND	Reg.	
28/01/2019	AEGE13	10.000,000000	81,563880	-	10.081,563880	Padrão - SND	Reg.	
25/01/2019	AEGE13	10.000,000000	77,842100	-	10.077,842100	Padrão - SND	Reg.	
24/01/2019	AEGE13	10.000,000000	74,121580	-	10.074,121580	Padrão - SND	Reg.	
23/01/2019	AEGE13	10.000,000000	70,402520	-	10.070,402520	Padrão - SND	Reg.	
22/01/2019	AEGE13	10.000,000000	66,684840	-	10.066,684840	Padrão - SND	Reg.	
21/01/2019	AEGE13	10.000,000000	62,968410	-	10.062,968410	Padrão - SND	Reg.	
18/01/2019	AEGE13	10.000,000000	59,253450	-	10.059,253450	Padrão - SND	Reg.	
17/01/2019	AEGE13	10.000,000000	55,539860	-	10.055,539860	Padrão - SND	Reg.	
16/01/2019	AEGE13	10.000,000000	51,827610	-	10.051,827610	Padrão - SND	Reg.	
15/01/2019	AEGE13	10.000,000000	48,116740	-	10.048,116740	Padrão - SND	Reg.	
14/01/2019	AEGE13	10.000,000000	44,407230	-	10.044,407230	Padrão - SND	Reg.	
11/01/2019	AEGE13	10.000,000000	40,699180	-	10.040,699180	Padrão - SND	Reg.	
10/01/2019	AEGE13	10.000,000000	36,992390	-	10.036,992390	Padrão - SND	Reg.	
09/01/2019	AEGE13	10.000,000000	33,286960	-	10.033,286960	Padrão - SND	Reg.	
08/01/2019	AEGE13	10.000,000000	29,583000	-	10.029,583000	Padrão - SND	Reg.	
07/01/2019	AEGE13	10.000,000000	25,880290	-	10.025,880290	Padrão - SND	Reg.	
04/01/2019	AEGE13	10.000,000000	22,179050	-	10.022,179050	Padrão - SND	Reg.	
03/01/2019	AEGE13	10.000,000000	18,479160	-	10.018,479160	Padrão - SND	Reg.	
02/01/2019	AEGE13	10.000,000000	14,780530	-	10.014,780530	Padrão - SND	Reg.	
31/12/2018	AEGE13	10.000,000000	11,083360	-	10.011,083360	Padrão - SND	Reg.	
28/12/2018	AEGE13	10.000,000000	7,387550	-	10.007,387550	Padrão - SND	Reg.	
27/12/2018	AEGE13	10.000,000000	3,693090	-	10.003,693090	Padrão - SND	Reg.	
26/12/2018	AEGE13	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
24/12/2018	AEGE13	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
21/12/2018	AEGE13	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
