PU Histórico - Gerado em 07/10/2018 00:52:29

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	AEPS16	2.903,240000	16,048182	-	2.919,288182	Padrão - SND	Reg.	
04/10/2018	AEPS16	2.903,240000	15,200319	-	2.918,440319	Padrão - SND	Reg.	
03/10/2018	AEPS16	2.903,240000	14,352719	-	2.917,592719	Padrão - SND	Reg.	
02/10/2018	AEPS16	2.903,240000	13,505350	-	2.916,745350	Padrão - SND	Reg.	
01/10/2018	AEPS16	2.903,240000	12,658243	-	2.915,898243	Padrão - SND	Reg.	
28/09/2018	AEPS16	2.903,240000	11,812645	-	2.915,052645	Padrão - SND	Reg.	
27/09/2018	AEPS16	2.903,240000	10,967279	-	2.914,207279	Padrão - SND	Reg.	
26/09/2018	AEPS16	2.903,240000	10,122175	-	2.913,362175	Padrão - SND	Reg.	
25/09/2018	AEPS16	2.903,240000	9,277332	-	2.912,517332	Padrão - SND	Reg.	
24/09/2018	AEPS16	2.903,240000	8,432693	-	2.911,672693	Padrão - SND	Reg.	
21/09/2018	AEPS16	2.903,240000	7,588344	-	2.910,828344	Padrão - SND	Reg.	
20/09/2018	AEPS16	2.903,240000	6,744197	-	2.909,984197	Padrão - SND	Reg.	
19/09/2018	AEPS16	2.903,240000	5,900313	-	2.909,140313	Padrão - SND	Reg.	
18/09/2018	AEPS16	2.903,240000	5,056689	-	2.908,296689	Padrão - SND	Reg.	
17/09/2018	AEPS16	2.903,240000	4,213298	-	2.907,453298	Padrão - SND	Reg.	
14/09/2018	AEPS16	2.903,240000	3,370139	-	2.906,610139	Padrão - SND	Reg.	
13/09/2018	AEPS16	2.903,240000	2,527241	-	2.905,767241	Padrão - SND	Reg.	
12/09/2018	AEPS16	2.903,240000	1,684576	-	2.904,924576	Padrão - SND	Reg.	
11/09/2018	AEPS16	2.903,240000	0,842172	-	2.904,082172	Padrão - SND	Reg.	
10/09/2018	AEPS16	2.903,240000	-  	-	2.903,240000	Padrão - SND	Reg.	
06/09/2018	AEPS16	3.225,820000	18,766530	-	3.244,586530	Padrão - SND	Reg.	
05/09/2018	AEPS16	3.225,820000	17,825623	-	3.243,645623	Padrão - SND	Reg.	
04/09/2018	AEPS16	3.225,820000	16,884974	-	3.242,704974	Padrão - SND	Reg.	
03/09/2018	AEPS16	3.225,820000	15,944615	-	3.241,764615	Padrão - SND	Reg.	
31/08/2018	AEPS16	3.225,820000	15,004515	-	3.240,824515	Padrão - SND	Reg.	
30/08/2018	AEPS16	3.225,820000	14,064704	-	3.239,884704	Padrão - SND	Reg.	
29/08/2018	AEPS16	3.225,820000	13,125152	-	3.238,945152	Padrão - SND	Reg.	
28/08/2018	AEPS16	3.225,820000	12,185858	-	3.238,005858	Padrão - SND	Reg.	
27/08/2018	AEPS16	3.225,820000	11,246854	-	3.237,066854	Padrão - SND	Reg.	
24/08/2018	AEPS16	3.225,820000	10,308140	-	3.236,128140	Padrão - SND	Reg.	
23/08/2018	AEPS16	3.225,820000	9,369652	-	3.235,189652	Padrão - SND	Reg.	
22/08/2018	AEPS16	3.225,820000	8,431487	-	3.234,251487	Padrão - SND	Reg.	
21/08/2018	AEPS16	3.225,820000	7,493548	-	3.233,313548	Padrão - SND	Reg.	
20/08/2018	AEPS16	3.225,820000	6,555898	-	3.232,375898	Padrão - SND	Reg.	
17/08/2018	AEPS16	3.225,820000	5,618540	-	3.231,438540	Padrão - SND	Reg.	
16/08/2018	AEPS16	3.225,820000	4,681439	-	3.230,501439	Padrão - SND	Reg.	
15/08/2018	AEPS16	3.225,820000	3,744596	-	3.229,564596	Padrão - SND	Reg.	
14/08/2018	AEPS16	3.225,820000	2,808044	-	3.228,628044	Padrão - SND	Reg.	
13/08/2018	AEPS16	3.225,820000	1,871750	-	3.227,691750	Padrão - SND	Reg.	
10/08/2018	AEPS16	3.225,820000	0,935746	-	3.226,755746	Padrão - SND	Reg.	
09/08/2018	AEPS16	3.225,820000	-  	-	3.225,820000	Padrão - SND	Reg.	
08/08/2018	AEPS16	3.548,400000	22,714089	-	3.571,114089	Padrão - SND	Reg.	
07/08/2018	AEPS16	3.548,400000	21,678489	-	3.570,078488	Padrão - SND	Reg.	
06/08/2018	AEPS16	3.548,400000	20,643172	-	3.569,043172	Padrão - SND	Reg.	
03/08/2018	AEPS16	3.548,400000	19,608175	-	3.568,008175	Padrão - SND	Reg.	
02/08/2018	AEPS16	3.548,400000	18,573461	-	3.566,973461	Padrão - SND	Reg.	
01/08/2018	AEPS16	3.548,400000	17,539067	-	3.565,939067	Padrão - SND	Reg.	
31/07/2018	AEPS16	3.548,400000	16,504957	-	3.564,904957	Padrão - SND	Reg.	
30/07/2018	AEPS16	3.548,400000	15,471166	-	3.563,871166	Padrão - SND	Reg.	
27/07/2018	AEPS16	3.548,400000	14,437659	-	3.562,837659	Padrão - SND	Reg.	
26/07/2018	AEPS16	3.548,400000	13,404436	-	3.561,804436	Padrão - SND	Reg.	
25/07/2018	AEPS16	3.548,400000	12,371532	-	3.560,771532	Padrão - SND	Reg.	
24/07/2018	AEPS16	3.548,400000	11,338948	-	3.559,738948	Padrão - SND	Reg.	
23/07/2018	AEPS16	3.548,400000	10,306612	-	3.558,706612	Padrão - SND	Reg.	
20/07/2018	AEPS16	3.548,400000	9,274631	-	3.557,674631	Padrão - SND	Reg.	
