PU Histórico - Gerado em 07/10/2018 00:52:33

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	AESL16	1.000,000000	20,060167	-	1.020,060167	Padrão - SND	Reg.	
04/10/2018	AESL16	1.000,000000	19,789722	-	1.019,789722	Padrão - SND	Reg.	
03/10/2018	AESL16	1.000,000000	19,519335	-	1.019,519335	Padrão - SND	Reg.	
02/10/2018	AESL16	1.000,000000	19,249020	-	1.019,249020	Padrão - SND	Reg.	
01/10/2018	AESL16	1.000,000000	18,978784	-	1.018,978784	Padrão - SND	Reg.	
28/09/2018	AESL16	1.000,000000	18,708989	-	1.018,708989	Padrão - SND	Reg.	
27/09/2018	AESL16	1.000,000000	18,439274	-	1.018,439274	Padrão - SND	Reg.	
26/09/2018	AESL16	1.000,000000	18,169618	-	1.018,169618	Padrão - SND	Reg.	
25/09/2018	AESL16	1.000,000000	17,900042	-	1.017,900042	Padrão - SND	Reg.	
24/09/2018	AESL16	1.000,000000	17,630536	-	1.017,630536	Padrão - SND	Reg.	
21/09/2018	AESL16	1.000,000000	17,361101	-	1.017,361101	Padrão - SND	Reg.	
20/09/2018	AESL16	1.000,000000	17,091735	-	1.017,091735	Padrão - SND	Reg.	
19/09/2018	AESL16	1.000,000000	16,822449	-	1.016,822449	Padrão - SND	Reg.	
18/09/2018	AESL16	1.000,000000	16,553224	-	1.016,553224	Padrão - SND	Reg.	
17/09/2018	AESL16	1.000,000000	16,284078	-	1.016,284078	Padrão - SND	Reg.	
14/09/2018	AESL16	1.000,000000	16,015002	-	1.016,015002	Padrão - SND	Reg.	
13/09/2018	AESL16	1.000,000000	15,745986	-	1.015,745986	Padrão - SND	Reg.	
12/09/2018	AESL16	1.000,000000	15,477050	-	1.015,477050	Padrão - SND	Reg.	
11/09/2018	AESL16	1.000,000000	15,208194	-	1.015,208194	Padrão - SND	Reg.	
10/09/2018	AESL16	1.000,000000	14,939397	-	1.014,939397	Padrão - SND	Reg.	
06/09/2018	AESL16	1.000,000000	14,670671	-	1.014,670671	Padrão - SND	Reg.	
05/09/2018	AESL16	1.000,000000	14,402025	-	1.014,402025	Padrão - SND	Reg.	
04/09/2018	AESL16	1.000,000000	14,133438	-	1.014,133438	Padrão - SND	Reg.	
03/09/2018	AESL16	1.000,000000	13,864932	-	1.013,864932	Padrão - SND	Reg.	
31/08/2018	AESL16	1.000,000000	13,596495	-	1.013,596495	Padrão - SND	Reg.	
30/08/2018	AESL16	1.000,000000	13,328128	-	1.013,328128	Padrão - SND	Reg.	
29/08/2018	AESL16	1.000,000000	13,059831	-	1.013,059831	Padrão - SND	Reg.	
28/08/2018	AESL16	1.000,000000	12,791615	-	1.012,791615	Padrão - SND	Reg.	
27/08/2018	AESL16	1.000,000000	12,523457	-	1.012,523457	Padrão - SND	Reg.	
24/08/2018	AESL16	1.000,000000	12,255371	-	1.012,255371	Padrão - SND	Reg.	
23/08/2018	AESL16	1.000,000000	11,987363	-	1.011,987363	Padrão - SND	Reg.	
22/08/2018	AESL16	1.000,000000	11,719425	-	1.011,719425	Padrão - SND	Reg.	
21/08/2018	AESL16	1.000,000000	11,451547	-	1.011,451547	Padrão - SND	Reg.	
20/08/2018	AESL16	1.000,000000	11,183750	-	1.011,183750	Padrão - SND	Reg.	
17/08/2018	AESL16	1.000,000000	10,916022	-	1.010,916022	Padrão - SND	Reg.	
16/08/2018	AESL16	1.000,000000	10,648364	-	1.010,648364	Padrão - SND	Reg.	
15/08/2018	AESL16	1.000,000000	10,380786	-	1.010,380786	Padrão - SND	Reg.	
14/08/2018	AESL16	1.000,000000	10,113268	-	1.010,113268	Padrão - SND	Reg.	
13/08/2018	AESL16	1.000,000000	9,845819	-	1.009,845819	Padrão - SND	Reg.	
10/08/2018	AESL16	1.000,000000	9,578450	-	1.009,578450	Padrão - SND	Reg.	
09/08/2018	AESL16	1.000,000000	9,311141	-	1.009,311141	Padrão - SND	Reg.	
08/08/2018	AESL16	1.000,000000	9,043913	-	1.009,043913	Padrão - SND	Reg.	
07/08/2018	AESL16	1.000,000000	8,776753	-	1.008,776753	Padrão - SND	Reg.	
06/08/2018	AESL16	1.000,000000	8,509664	-	1.008,509664	Padrão - SND	Reg.	
03/08/2018	AESL16	1.000,000000	8,242644	-	1.008,242644	Padrão - SND	Reg.	
02/08/2018	AESL16	1.000,000000	7,975694	-	1.007,975694	Padrão - SND	Reg.	
01/08/2018	AESL16	1.000,000000	7,708814	-	1.007,708814	Padrão - SND	Reg.	
31/07/2018	AESL16	1.000,000000	7,442004	-	1.007,442004	Padrão - SND	Reg.	
30/07/2018	AESL16	1.000,000000	7,175274	-	1.007,175274	Padrão - SND	Reg.	
27/07/2018	AESL16	1.000,000000	6,908603	-	1.006,908603	Padrão - SND	Reg.	
26/07/2018	AESL16	1.000,000000	6,642003	-	1.006,642003	Padrão - SND	Reg.	
25/07/2018	AESL16	1.000,000000	6,375482	-	1.006,375482	Padrão - SND	Reg.	
24/07/2018	AESL16	1.000,000000	6,109031	-	1.006,109031	Padrão - SND	Reg.	
