PU Histórico - Gerado em 07/10/2018 00:52:42

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	AGND11	10.000,000000	443,833720	-	10.443,833720	Padrão - SND	Reg.	
04/10/2018	AGND11	10.000,000000	439,340440	-	10.439,340440	Padrão - SND	Reg.	
03/10/2018	AGND11	10.000,000000	434,849180	-	10.434,849180	Padrão - SND	Reg.	
02/10/2018	AGND11	10.000,000000	430,359830	-	10.430,359830	Padrão - SND	Reg.	
01/10/2018	AGND11	10.000,000000	425,872390	-	10.425,872390	Padrão - SND	Reg.	
28/09/2018	AGND11	10.000,000000	421,390730	-	10.421,390730	Padrão - SND	Reg.	
27/09/2018	AGND11	10.000,000000	416,910960	-	10.416,910960	Padrão - SND	Reg.	
26/09/2018	AGND11	10.000,000000	412,433110	-	10.412,433110	Padrão - SND	Reg.	
25/09/2018	AGND11	10.000,000000	407,957280	-	10.407,957280	Padrão - SND	Reg.	
24/09/2018	AGND11	10.000,000000	403,483340	-	10.403,483340	Padrão - SND	Reg.	
21/09/2018	AGND11	10.000,000000	399,011310	-	10.399,011310	Padrão - SND	Reg.	
20/09/2018	AGND11	10.000,000000	394,541180	-	10.394,541180	Padrão - SND	Reg.	
19/09/2018	AGND11	10.000,000000	390,072960	-	10.390,072960	Padrão - SND	Reg.	
18/09/2018	AGND11	10.000,000000	385,606640	-	10.385,606640	Padrão - SND	Reg.	
17/09/2018	AGND11	10.000,000000	381,142320	-	10.381,142320	Padrão - SND	Reg.	
14/09/2018	AGND11	10.000,000000	376,679910	-	10.376,679910	Padrão - SND	Reg.	
13/09/2018	AGND11	10.000,000000	372,219390	-	10.372,219390	Padrão - SND	Reg.	
12/09/2018	AGND11	10.000,000000	367,760780	-	10.367,760780	Padrão - SND	Reg.	
11/09/2018	AGND11	10.000,000000	363,304060	-	10.363,304060	Padrão - SND	Reg.	
10/09/2018	AGND11	10.000,000000	358,849350	-	10.358,849350	Padrão - SND	Reg.	
06/09/2018	AGND11	10.000,000000	354,396430	-	10.354,396430	Padrão - SND	Reg.	
05/09/2018	AGND11	10.000,000000	349,945510	-	10.349,945510	Padrão - SND	Reg.	
04/09/2018	AGND11	10.000,000000	345,496490	-	10.345,496490	Padrão - SND	Reg.	
03/09/2018	AGND11	10.000,000000	341,049360	-	10.341,049360	Padrão - SND	Reg.	
31/08/2018	AGND11	10.000,000000	336,604240	-	10.336,604240	Padrão - SND	Reg.	
30/08/2018	AGND11	10.000,000000	332,160900	-	10.332,160900	Padrão - SND	Reg.	
29/08/2018	AGND11	10.000,000000	327,719570	-	10.327,719570	Padrão - SND	Reg.	
28/08/2018	AGND11	10.000,000000	323,280110	-	10.323,280110	Padrão - SND	Reg.	
27/08/2018	AGND11	10.000,000000	318,842460	-	10.318,842460	Padrão - SND	Reg.	
24/08/2018	AGND11	10.000,000000	314,406800	-	10.314,406800	Padrão - SND	Reg.	
23/08/2018	AGND11	10.000,000000	309,973130	-	10.309,973130	Padrão - SND	Reg.	
22/08/2018	AGND11	10.000,000000	305,541260	-	10.305,541260	Padrão - SND	Reg.	
21/08/2018	AGND11	10.000,000000	301,111360	-	10.301,111360	Padrão - SND	Reg.	
20/08/2018	AGND11	10.000,000000	296,683260	-	10.296,683260	Padrão - SND	Reg.	
17/08/2018	AGND11	10.000,000000	292,257160	-	10.292,257160	Padrão - SND	Reg.	
16/08/2018	AGND11	10.000,000000	287,832940	-	10.287,832940	Padrão - SND	Reg.	
15/08/2018	AGND11	10.000,000000	283,410610	-	10.283,410610	Padrão - SND	Reg.	
14/08/2018	AGND11	10.000,000000	278,990160	-	10.278,990160	Padrão - SND	Reg.	
