PU Histórico - Gerado em 07/10/2018 00:53:00

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	ALGA15	1.086,356200	32,918314	-	1.119,274514	Padrão - SND	Reg.	
04/10/2018	ALGA15	1.086,127970	32,580703	-	1.118,708673	Padrão - SND	Reg.	
03/10/2018	ALGA15	1.085,899790	32,243331	-	1.118,143121	Padrão - SND	Reg.	
02/10/2018	ALGA15	1.085,671670	31,906198	-	1.117,577868	Padrão - SND	Reg.	
01/10/2018	ALGA15	1.085,443590	31,569302	-	1.117,012892	Padrão - SND	Reg.	
28/09/2018	ALGA15	1.085,215550	31,232642	-	1.116,448192	Padrão - SND	Reg.	
27/09/2018	ALGA15	1.084,987560	30,896222	-	1.115,883782	Padrão - SND	Reg.	
26/09/2018	ALGA15	1.084,759620	30,560039	-	1.115,319659	Padrão - SND	Reg.	
25/09/2018	ALGA15	1.084,531730	30,224092	-	1.114,755822	Padrão - SND	Reg.	
24/09/2018	ALGA15	1.084,303890	29,888383	-	1.114,192273	Padrão - SND	Reg.	
21/09/2018	ALGA15	1.083,894180	29,547953	-	1.113,442133	Padrão - SND	Reg.	
20/09/2018	ALGA15	1.083,711940	29,214000	-	1.112,925940	Padrão - SND	Reg.	
19/09/2018	ALGA15	1.083,529730	28,880255	-	1.112,409985	Padrão - SND	Reg.	
18/09/2018	ALGA15	1.083,347540	28,546719	-	1.111,894259	Padrão - SND	Reg.	
17/09/2018	ALGA15	1.086,631530	28,303675	-	1.114,935205	Padrão - SND	Reg.	
14/09/2018	ALGA15	1.083,209680	27,886101	-	1.111,095781	Padrão - SND	Reg.	
13/09/2018	ALGA15	1.083,253970	27,558881	-	1.110,812851	Padrão - SND	Reg.	
12/09/2018	ALGA15	1.083,298260	27,231731	-	1.110,529991	Padrão - SND	Reg.	
11/09/2018	ALGA15	1.083,342550	26,904652	-	1.110,247202	Padrão - SND	Reg.	
10/09/2018	ALGA15	1.083,386830	26,577641	-	1.109,964471	Padrão - SND	Reg.	
06/09/2018	ALGA15	1.084,140060	26,267879	-	1.110,407939	Padrão - SND	Reg.	
05/09/2018	ALGA15	1.084,140060	25,939736	-	1.110,079796	Padrão - SND	Reg.	
04/09/2018	ALGA15	1.084,140060	25,611689	-	1.109,751749	Padrão - SND	Reg.	
03/09/2018	ALGA15	1.084,140060	25,283739	-	1.109,423799	Padrão - SND	Reg.	
31/08/2018	ALGA15	1.084,140060	24,955886	-	1.109,095946	Padrão - SND	Reg.	
30/08/2018	ALGA15	1.084,140060	24,628130	-	1.108,768190	Padrão - SND	Reg.	
29/08/2018	ALGA15	1.084,140060	24,300471	-	1.108,440531	Padrão - SND	Reg.	
28/08/2018	ALGA15	1.084,140060	23,972908	-	1.108,112968	Padrão - SND	Reg.	
27/08/2018	ALGA15	1.084,140060	23,645444	-	1.107,785504	Padrão - SND	Reg.	
24/08/2018	ALGA15	1.084,140060	23,318075	-	1.107,458135	Padrão - SND	Reg.	
23/08/2018	ALGA15	1.085,026120	23,009593	-	1.108,035713	Padrão - SND	Reg.	
22/08/2018	ALGA15	1.084,878380	22,679061	-	1.107,557441	Padrão - SND	Reg.	
21/08/2018	ALGA15	1.084,730680	22,348717	-	1.107,079397	Padrão - SND	Reg.	
20/08/2018	ALGA15	1.084,583000	22,018560	-	1.106,601560	Padrão - SND	Reg.	
17/08/2018	ALGA15	1.084,435330	21,688587	-	1.106,123917	Padrão - SND	Reg.	
16/08/2018	ALGA15	1.084,287680	21,358801	-	1.105,646481	Padrão - SND	Reg.	
15/08/2018	ALGA15	1.084,140060	21,029201	-	1.105,169261	Padrão - SND	Reg.	
14/08/2018	ALGA15	1.083,977680	20,699504	-	1.104,677184	Padrão - SND	Reg.	
13/08/2018	ALGA15	1.083,815340	20,370004	-	1.104,185344	Padrão - SND	Reg.	
10/08/2018	ALGA15	1.083,653010	20,040696	-	1.103,693706	Padrão - SND	Reg.	
09/08/2018	ALGA15	1.083,490710	19,711585	-	1.103,202295	Padrão - SND	Reg.	
08/08/2018	ALGA15	1.083,661630	19,388628	-	1.103,050258	Padrão - SND	Reg.	
07/08/2018	ALGA15	1.083,479720	19,059459	-	1.102,539179	Padrão - SND	Reg.	
06/08/2018	ALGA15	1.083,297850	18,730496	-	1.102,028346	Padrão - SND	Reg.	
03/08/2018	ALGA15	1.083,116010	18,401739	-	1.101,517749	Padrão - SND	Reg.	
02/08/2018	ALGA15	1.082,934210	18,073189	-	1.101,007399	Padrão - SND	Reg.	
01/08/2018	ALGA15	1.082,752420	17,744844	-	1.100,497264	Padrão - SND	Reg.	
31/07/2018	ALGA15	1.082,570680	17,416705	-	1.099,987385	Padrão - SND	Reg.	
30/07/2018	ALGA15	1.082,388960	17,088772	-	1.099,477732	Padrão - SND	Reg.	
27/07/2018	ALGA15	1.082,207270	16,761044	-	1.098,968314	Padrão - SND	Reg.	
26/07/2018	ALGA15	1.082,025620	16,433523	-	1.098,459143	Padrão - SND	Reg.	
25/07/2018	ALGA15	1.081,843990	16,106206	-	1.097,950196	Padrão - SND	Reg.	
24/07/2018	ALGA15	1.081,662390	15,779094	-	1.097,441484	Padrão - SND	Reg.	
23/07/2018	ALGA15	1.081,480820	15,452188	-	1.096,933008	Padrão - SND	Reg.	
20/07/2018	ALGA15	1.081,299300	15,125487	-	1.096,424787	Padrão - SND	Reg.	
19/07/2018	ALGA15	1.081,117790	14,798991	-	1.095,916781	Padrão - SND	Reg.	
18/07/2018	ALGA15	1.080,936310	14,472701	-	1.095,409011	Padrão - SND	Reg.	
17/07/2018	ALGA15	1.080,754870	14,146614	-	1.094,901484	Padrão - SND	Reg.	
16/07/2018	ALGA15	1.084,571590	13,871869	-	1.098,443459	Padrão - SND	Reg.	
13/07/2018	ALGA15	1.079,929360	13,489276	-	1.093,418636	Padrão - SND	Reg.	
12/07/2018	ALGA15	1.079,285620	13,158305	-	1.092,443925	Padrão - SND	Reg.	
11/07/2018	ALGA15	1.078,642280	12,827818	-	1.091,470098	Padrão - SND	Reg.	
10/07/2018	ALGA15	1.077,999330	12,497818	-	1.090,497148	Padrão - SND	Reg.	
09/07/2018	ALGA15	1.077,356760	12,168300	-	1.089,525060	Padrão - SND	Reg.	
06/07/2018	ALGA15	1.076,562550	11,837594	-	1.088,400144	Padrão - SND	Reg.	
05/07/2018	ALGA15	1.075,930960	11,509198	-	1.087,440158	Padrão - SND	Reg.	
04/07/2018	ALGA15	1.075,299740	11,181279	-	1.086,481019	Padrão - SND	Reg.	
03/07/2018	ALGA15	1.074,668890	10,853834	-	1.085,522724	Padrão - SND	Reg.	
02/07/2018	ALGA15	1.074,038410	10,526865	-	1.084,565275	Padrão - SND	Reg.	
29/06/2018	ALGA15	1.073,408300	10,200370	-	1.083,608670	Padrão - SND	Reg.	
28/06/2018	ALGA15	1.072,778560	9,874351	-	1.082,652911	Padrão - SND	Reg.	
27/06/2018	ALGA15	1.072,149190	9,548803	-	1.081,697993	Padrão - SND	Reg.	
26/06/2018	ALGA15	1.071,520190	9,223729	-	1.080,743919	Padrão - SND	Reg.	
25/06/2018	ALGA15	1.070,891560	8,899128	-	1.079,790688	Padrão - SND	Reg.	
22/06/2018	ALGA15	1.070,263300	8,574999	-	1.078,838299	Padrão - SND	Reg.	
21/06/2018	ALGA15	1.067,594570	8,235597	-	1.075,830167	Padrão - SND	Reg.	
20/06/2018	ALGA15	1.067,477780	7,916806	-	1.075,394586	Padrão - SND	Reg.	
19/06/2018	ALGA15	1.067,361020	7,598178	-	1.074,959198	Padrão - SND	Reg.	
18/06/2018	ALGA15	1.067,244250	7,279714	-	1.074,523964	Padrão - SND	Reg.	
15/06/2018	ALGA15	1.067,127510	6,961413	-	1.074,088923	Padrão - SND	Reg.	
14/06/2018	ALGA15	1.066,933860	6,642796	-	1.073,576656	Padrão - SND	Reg.	
13/06/2018	ALGA15	1.066,740250	6,324388	-	1.073,064638	Padrão - SND	Reg.	
12/06/2018	ALGA15	1.066,546680	6,006190	-	1.072,552870	Padrão - SND	Reg.	
11/06/2018	ALGA15	1.066,353140	5,688202	-	1.072,041342	Padrão - SND	Reg.	
08/06/2018	ALGA15	1.064,763960	5,363391	-	1.070,127351	Padrão - SND	Reg.	
07/06/2018	ALGA15	1.064,652780	5,046623	-	1.069,699403	Padrão - SND	Reg.	
06/06/2018	ALGA15	1.064,541610	4,730016	-	1.069,271626	Padrão - SND	Reg.	
05/06/2018	ALGA15	1.064,430450	4,413568	-	1.068,844018	Padrão - SND	Reg.	
04/06/2018	ALGA15	1.064,319310	4,097279	-	1.068,416589	Padrão - SND	Reg.	
01/06/2018	ALGA15	1.064,208170	3,781150	-	1.067,989320	Padrão - SND	Reg.	
30/05/2018	ALGA15	1.064,097040	3,465180	-	1.067,562220	Padrão - SND	Reg.	
29/05/2018	ALGA15	1.063,985930	3,149369	-	1.067,135299	Padrão - SND	Reg.	
28/05/2018	ALGA15	1.063,874830	2,833717	-	1.066,708547	Padrão - SND	Reg.	
25/05/2018	ALGA15	1.063,763740	2,518224	-	1.066,281964	Padrão - SND	Reg.	
24/05/2018	ALGA15	1.063,652660	2,202891	-	1.065,855551	Padrão - SND	Reg.	
23/05/2018	ALGA15	1.063,946540	1,888434	-	1.065,834974	Padrão - SND	Reg.	
22/05/2018	ALGA15	1.063,767940	1,573198	-	1.065,341138	Padrão - SND	Reg.	
21/05/2018	ALGA15	1.063,589390	1,258161	-	1.064,847551	Padrão - SND	Reg.	
18/05/2018	ALGA15	1.063,410860	0,943323	-	1.064,354183	Padrão - SND	Reg.	
17/05/2018	ALGA15	1.063,232350	0,628684	-	1.063,861034	Padrão - SND	Reg.	
16/05/2018	ALGA15	1.063,053880	0,314243	-	1.063,368123	Padrão - SND	Reg.	
15/05/2018	ALGA15	1.062,875440	-  	-	1.062,875440	Padrão - SND	Reg.	
14/05/2018	ALGA15	1.062,758690	38,694977	-	1.101,453667	Padrão - SND	Reg.	
11/05/2018	ALGA15	1.062,641940	38,365264	-	1.101,007204	Padrão - SND	Reg.	
10/05/2018	ALGA15	1.063,066270	38,055089	-	1.101,121359	Padrão - SND	Reg.	
09/05/2018	ALGA15	1.062,917650	37,724415	-	1.100,642065	Padrão - SND	Reg.	
08/05/2018	ALGA15	1.062,769060	37,393929	-	1.100,162989	Padrão - SND	Reg.	
07/05/2018	ALGA15	1.062,620490	37,063631	-	1.099,684121	Padrão - SND	Reg.	
04/05/2018	ALGA15	1.062,471940	36,733520	-	1.099,205460	Padrão - SND	Reg.	
03/05/2018	ALGA15	1.062,323420	36,403598	-	1.098,727018	Padrão - SND	Reg.	
02/05/2018	ALGA15	1.062,174910	36,073863	-	1.098,248773	Padrão - SND	Reg.	
30/04/2018	ALGA15	1.062,026430	35,744315	-	1.097,770745	Padrão - SND	Reg.	
27/04/2018	ALGA15	1.061,877960	35,414954	-	1.097,292914	Padrão - SND	Reg.	
26/04/2018	ALGA15	1.061,729520	35,085781	-	1.096,815301	Padrão - SND	Reg.	
25/04/2018	ALGA15	1.061,581080	34,756794	-	1.096,337874	Padrão - SND	Reg.	
24/04/2018	ALGA15	1.061,432680	34,427995	-	1.095,860675	Padrão - SND	Reg.	
23/04/2018	ALGA15	1.061,284300	34,099382	-	1.095,383682	Padrão - SND	Reg.	
20/04/2018	ALGA15	1.061,220580	33,773651	-	1.094,994231	Padrão - SND	Reg.	
19/04/2018	ALGA15	1.061,051070	33,444719	-	1.094,495789	Padrão - SND	Reg.	
18/04/2018	ALGA15	1.060,881590	33,115987	-	1.093,997577	Padrão - SND	Reg.	
17/04/2018	ALGA15	1.060,712130	32,787455	-	1.093,499585	Padrão - SND	Reg.	
16/04/2018	ALGA15	1.063,936440	32,562992	-	1.096,499432	Padrão - SND	Reg.	
