PU Histórico - Gerado em 07/10/2018 00:53:12

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	ALLD12	1.000,000000	1,567307	-	1.001,567307	Padrão - SND	Reg.	
04/10/2018	ALLD12	1.000,000000	1,253569	-	1.001,253569	Padrão - SND	Reg.	
03/10/2018	ALLD12	1.000,000000	0,939938	-	1.000,939938	Padrão - SND	Reg.	
02/10/2018	ALLD12	1.000,000000	0,626404	-	1.000,626404	Padrão - SND	Reg.	
01/10/2018	ALLD12	1.000,000000	0,312969	-	1.000,312969	Padrão - SND	Reg.	
28/09/2018	ALLD12	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
27/09/2018	ALLD12	1.000,000000	20,228722	-	1.020,228722	Padrão - SND	Reg.	
26/09/2018	ALLD12	1.000,000000	19,909529	-	1.019,909529	Padrão - SND	Reg.	
25/09/2018	ALLD12	1.000,000000	19,590424	-	1.019,590424	Padrão - SND	Reg.	
24/09/2018	ALLD12	1.000,000000	19,271428	-	1.019,271428	Padrão - SND	Reg.	
21/09/2018	ALLD12	1.000,000000	18,952531	-	1.018,952531	Padrão - SND	Reg.	
20/09/2018	ALLD12	1.000,000000	18,633722	-	1.018,633722	Padrão - SND	Reg.	
19/09/2018	ALLD12	1.000,000000	18,315021	-	1.018,315021	Padrão - SND	Reg.	
18/09/2018	ALLD12	1.000,000000	17,996429	-	1.017,996429	Padrão - SND	Reg.	
17/09/2018	ALLD12	1.000,000000	17,677924	-	1.017,677924	Padrão - SND	Reg.	
14/09/2018	ALLD12	1.000,000000	17,359519	-	1.017,359519	Padrão - SND	Reg.	
13/09/2018	ALLD12	1.000,000000	17,041223	-	1.017,041223	Padrão - SND	Reg.	
12/09/2018	ALLD12	1.000,000000	16,723014	-	1.016,723014	Padrão - SND	Reg.	
11/09/2018	ALLD12	1.000,000000	16,404913	-	1.016,404913	Padrão - SND	Reg.	
10/09/2018	ALLD12	1.000,000000	16,086911	-	1.016,086911	Padrão - SND	Reg.	
06/09/2018	ALLD12	1.000,000000	15,769008	-	1.015,769008	Padrão - SND	Reg.	
05/09/2018	ALLD12	1.000,000000	15,451203	-	1.015,451203	Padrão - SND	Reg.	
04/09/2018	ALLD12	1.000,000000	15,133505	-	1.015,133505	Padrão - SND	Reg.	
03/09/2018	ALLD12	1.000,000000	14,815896	-	1.014,815896	Padrão - SND	Reg.	
31/08/2018	ALLD12	1.000,000000	14,498386	-	1.014,498386	Padrão - SND	Reg.	
30/08/2018	ALLD12	1.000,000000	14,180984	-	1.014,180984	Padrão - SND	Reg.	
29/08/2018	ALLD12	1.000,000000	13,863679	-	1.013,863679	Padrão - SND	Reg.	
28/08/2018	ALLD12	1.000,000000	13,546464	-	1.013,546464	Padrão - SND	Reg.	
