PU Histórico - Gerado em 07/10/2018 00:53:13

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	ALPG11	1.000,000000	20,302620	-	1.020,302620	Padrão - SND	Reg.	
04/10/2018	ALPG11	1.000,000000	20,042690	-	1.020,042690	Padrão - SND	Reg.	
03/10/2018	ALPG11	1.000,000000	19,782830	-	1.019,782830	Padrão - SND	Reg.	
02/10/2018	ALPG11	1.000,000000	19,523040	-	1.019,523040	Padrão - SND	Reg.	
01/10/2018	ALPG11	1.000,000000	19,263320	-	1.019,263320	Padrão - SND	Reg.	
28/09/2018	ALPG11	1.000,000000	19,004050	-	1.019,004050	Padrão - SND	Reg.	
27/09/2018	ALPG11	1.000,000000	18,744840	-	1.018,744840	Padrão - SND	Reg.	
26/09/2018	ALPG11	1.000,000000	18,485710	-	1.018,485710	Padrão - SND	Reg.	
25/09/2018	ALPG11	1.000,000000	18,226630	-	1.018,226630	Padrão - SND	Reg.	
24/09/2018	ALPG11	1.000,000000	17,967630	-	1.017,967630	Padrão - SND	Reg.	
21/09/2018	ALPG11	1.000,000000	17,708690	-	1.017,708690	Padrão - SND	Reg.	
20/09/2018	ALPG11	1.000,000000	17,449810	-	1.017,449810	Padrão - SND	Reg.	
19/09/2018	ALPG11	1.000,000000	17,191010	-	1.017,191010	Padrão - SND	Reg.	
18/09/2018	ALPG11	1.000,000000	16,932260	-	1.016,932260	Padrão - SND	Reg.	
17/09/2018	ALPG11	1.000,000000	16,673590	-	1.016,673590	Padrão - SND	Reg.	
14/09/2018	ALPG11	1.000,000000	16,414980	-	1.016,414980	Padrão - SND	Reg.	
13/09/2018	ALPG11	1.000,000000	16,156430	-	1.016,156430	Padrão - SND	Reg.	
12/09/2018	ALPG11	1.000,000000	15,897950	-	1.015,897950	Padrão - SND	Reg.	
11/09/2018	ALPG11	1.000,000000	15,639540	-	1.015,639540	Padrão - SND	Reg.	
10/09/2018	ALPG11	1.000,000000	15,381190	-	1.015,381190	Padrão - SND	Reg.	
06/09/2018	ALPG11	1.000,000000	15,122910	-	1.015,122910	Padrão - SND	Reg.	
05/09/2018	ALPG11	1.000,000000	14,864690	-	1.014,864690	Padrão - SND	Reg.	
04/09/2018	ALPG11	1.000,000000	14,606540	-	1.014,606540	Padrão - SND	Reg.	
03/09/2018	ALPG11	1.000,000000	14,348460	-	1.014,348460	Padrão - SND	Reg.	
31/08/2018	ALPG11	1.000,000000	14,090440	-	1.014,090440	Padrão - SND	Reg.	
30/08/2018	ALPG11	1.000,000000	13,832490	-	1.013,832490	Padrão - SND	Reg.	
29/08/2018	ALPG11	1.000,000000	13,574600	-	1.013,574600	Padrão - SND	Reg.	
28/08/2018	ALPG11	1.000,000000	13,316780	-	1.013,316780	Padrão - SND	Reg.	
27/08/2018	ALPG11	1.000,000000	13,059020	-	1.013,059020	Padrão - SND	Reg.	
24/08/2018	ALPG11	1.000,000000	12,801330	-	1.012,801330	Padrão - SND	Reg.	
23/08/2018	ALPG11	1.000,000000	12,543700	-	1.012,543700	Padrão - SND	Reg.	
22/08/2018	ALPG11	1.000,000000	12,286140	-	1.012,286140	Padrão - SND	Reg.	
21/08/2018	ALPG11	1.000,000000	12,028650	-	1.012,028650	Padrão - SND	Reg.	
20/08/2018	ALPG11	1.000,000000	11,771220	-	1.011,771220	Padrão - SND	Reg.	
17/08/2018	ALPG11	1.000,000000	11,513860	-	1.011,513860	Padrão - SND	Reg.	
16/08/2018	ALPG11	1.000,000000	11,256560	-	1.011,256560	Padrão - SND	Reg.	
15/08/2018	ALPG11	1.000,000000	10,999330	-	1.010,999330	Padrão - SND	Reg.	
14/08/2018	ALPG11	1.000,000000	10,742160	-	1.010,742160	Padrão - SND	Reg.	
13/08/2018	ALPG11	1.000,000000	10,485060	-	1.010,485060	Padrão - SND	Reg.	
10/08/2018	ALPG11	1.000,000000	10,228020	-	1.010,228020	Padrão - SND	Reg.	
09/08/2018	ALPG11	1.000,000000	9,971050	-	1.009,971050	Padrão - SND	Reg.	
08/08/2018	ALPG11	1.000,000000	9,714140	-	1.009,714140	Padrão - SND	Reg.	
07/08/2018	ALPG11	1.000,000000	9,457300	-	1.009,457300	Padrão - SND	Reg.	
06/08/2018	ALPG11	1.000,000000	9,200530	-	1.009,200530	Padrão - SND	Reg.	
03/08/2018	ALPG11	1.000,000000	8,943820	-	1.008,943820	Padrão - SND	Reg.	
02/08/2018	ALPG11	1.000,000000	8,687170	-	1.008,687170	Padrão - SND	Reg.	
01/08/2018	ALPG11	1.000,000000	8,430590	-	1.008,430590	Padrão - SND	Reg.	
31/07/2018	ALPG11	1.000,000000	8,174080	-	1.008,174080	Padrão - SND	Reg.	
30/07/2018	ALPG11	1.000,000000	7,917630	-	1.007,917630	Padrão - SND	Reg.	
27/07/2018	ALPG11	1.000,000000	7,661250	-	1.007,661250	Padrão - SND	Reg.	
26/07/2018	ALPG11	1.000,000000	7,404930	-	1.007,404930	Padrão - SND	Reg.	
25/07/2018	ALPG11	1.000,000000	7,148680	-	1.007,148680	Padrão - SND	Reg.	
24/07/2018	ALPG11	1.000,000000	6,892490	-	1.006,892490	Padrão - SND	Reg.	
23/07/2018	ALPG11	1.000,000000	6,636370	-	1.006,636370	Padrão - SND	Reg.	
20/07/2018	ALPG11	1.000,000000	6,380310	-	1.006,380310	Padrão - SND	Reg.	
19/07/2018	ALPG11	1.000,000000	6,124320	-	1.006,124320	Padrão - SND	Reg.	
18/07/2018	ALPG11	1.000,000000	5,868390	-	1.005,868390	Padrão - SND	Reg.	
17/07/2018	ALPG11	1.000,000000	5,612530	-	1.005,612530	Padrão - SND	Reg.	
16/07/2018	ALPG11	1.000,000000	5,356730	-	1.005,356730	Padrão - SND	Reg.	
13/07/2018	ALPG11	1.000,000000	5,101000	-	1.005,101000	Padrão - SND	Reg.	
12/07/2018	ALPG11	1.000,000000	4,845330	-	1.004,845330	Padrão - SND	Reg.	
11/07/2018	ALPG11	1.000,000000	4,589730	-	1.004,589730	Padrão - SND	Reg.	
10/07/2018	ALPG11	1.000,000000	4,334190	-	1.004,334190	Padrão - SND	Reg.	
09/07/2018	ALPG11	1.000,000000	4,078720	-	1.004,078720	Padrão - SND	Reg.	
06/07/2018	ALPG11	1.000,000000	3,823320	-	1.003,823320	Padrão - SND	Reg.	
05/07/2018	ALPG11	1.000,000000	3,567970	-	1.003,567970	Padrão - SND	Reg.	
04/07/2018	ALPG11	1.000,000000	3,312700	-	1.003,312700	Padrão - SND	Reg.	
03/07/2018	ALPG11	1.000,000000	3,057480	-	1.003,057480	Padrão - SND	Reg.	
02/07/2018	ALPG11	1.000,000000	2,802340	-	1.002,802340	Padrão - SND	Reg.	
29/06/2018	ALPG11	1.000,000000	2,547260	-	1.002,547260	Padrão - SND	Reg.	
28/06/2018	ALPG11	1.000,000000	2,292240	-	1.002,292240	Padrão - SND	Reg.	
27/06/2018	ALPG11	1.000,000000	2,037290	-	1.002,037290	Padrão - SND	Reg.	
26/06/2018	ALPG11	1.000,000000	1,782400	-	1.001,782400	Padrão - SND	Reg.	
25/06/2018	ALPG11	1.000,000000	1,527580	-	1.001,527580	Padrão - SND	Reg.	
22/06/2018	ALPG11	1.000,000000	1,272820	-	1.001,272820	Padrão - SND	Reg.	
21/06/2018	ALPG11	1.000,000000	1,018120	-	1.001,018120	Padrão - SND	Reg.	
20/06/2018	ALPG11	1.000,000000	0,763500	-	1.000,763500	Padrão - SND	Reg.	
19/06/2018	ALPG11	1.000,000000	0,508930	-	1.000,508930	Padrão - SND	Reg.	
18/06/2018	ALPG11	1.000,000000	0,254430	-	1.000,254430	Padrão - SND	Reg.	
15/06/2018	ALPG11	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
14/06/2018	ALPG11	1.000,000000	32,255130	-	1.032,255130	Padrão - SND	Reg.	
13/06/2018	ALPG11	1.000,000000	31,992550	-	1.031,992550	Padrão - SND	Reg.	
12/06/2018	ALPG11	1.000,000000	31,730050	-	1.031,730050	Padrão - SND	Reg.	
11/06/2018	ALPG11	1.000,000000	31,467610	-	1.031,467610	Padrão - SND	Reg.	
08/06/2018	ALPG11	1.000,000000	31,205230	-	1.031,205230	Padrão - SND	Reg.	
07/06/2018	ALPG11	1.000,000000	30,942930	-	1.030,942930	Padrão - SND	Reg.	
06/06/2018	ALPG11	1.000,000000	30,680680	-	1.030,680680	Padrão - SND	Reg.	
05/06/2018	ALPG11	1.000,000000	30,418510	-	1.030,418510	Padrão - SND	Reg.	
04/06/2018	ALPG11	1.000,000000	30,156400	-	1.030,156400	Padrão - SND	Reg.	
01/06/2018	ALPG11	1.000,000000	29,894360	-	1.029,894360	Padrão - SND	Reg.	
30/05/2018	ALPG11	1.000,000000	29,632390	-	1.029,632390	Padrão - SND	Reg.	
29/05/2018	ALPG11	1.000,000000	29,370480	-	1.029,370480	Padrão - SND	Reg.	
28/05/2018	ALPG11	1.000,000000	29,108640	-	1.029,108640	Padrão - SND	Reg.	
25/05/2018	ALPG11	1.000,000000	28,846870	-	1.028,846870	Padrão - SND	Reg.	
24/05/2018	ALPG11	1.000,000000	28,585160	-	1.028,585160	Padrão - SND	Reg.	
23/05/2018	ALPG11	1.000,000000	28,323520	-	1.028,323520	Padrão - SND	Reg.	
22/05/2018	ALPG11	1.000,000000	28,061950	-	1.028,061950	Padrão - SND	Reg.	
21/05/2018	ALPG11	1.000,000000	27,800440	-	1.027,800440	Padrão - SND	Reg.	
18/05/2018	ALPG11	1.000,000000	27,539000	-	1.027,539000	Padrão - SND	Reg.	
17/05/2018	ALPG11	1.000,000000	27,277630	-	1.027,277630	Padrão - SND	Reg.	
16/05/2018	ALPG11	1.000,000000	27,016320	-	1.027,016320	Padrão - SND	Reg.	
15/05/2018	ALPG11	1.000,000000	26,755080	-	1.026,755080	Padrão - SND	Reg.	
14/05/2018	ALPG11	1.000,000000	26,493900	-	1.026,493900	Padrão - SND	Reg.	
11/05/2018	ALPG11	1.000,000000	26,232790	-	1.026,232790	Padrão - SND	Reg.	
10/05/2018	ALPG11	1.000,000000	25,971750	-	1.025,971750	Padrão - SND	Reg.	
09/05/2018	ALPG11	1.000,000000	25,710770	-	1.025,710770	Padrão - SND	Reg.	
08/05/2018	ALPG11	1.000,000000	25,449870	-	1.025,449870	Padrão - SND	Reg.	
07/05/2018	ALPG11	1.000,000000	25,189020	-	1.025,189020	Padrão - SND	Reg.	
04/05/2018	ALPG11	1.000,000000	24,928250	-	1.024,928250	Padrão - SND	Reg.	
03/05/2018	ALPG11	1.000,000000	24,667540	-	1.024,667540	Padrão - SND	Reg.	
02/05/2018	ALPG11	1.000,000000	24,406890	-	1.024,406890	Padrão - SND	Reg.	
30/04/2018	ALPG11	1.000,000000	24,146310	-	1.024,146310	Padrão - SND	Reg.	
27/04/2018	ALPG11	1.000,000000	23,885800	-	1.023,885800	Padrão - SND	Reg.	
26/04/2018	ALPG11	1.000,000000	23,625360	-	1.023,625360	Padrão - SND	Reg.	
25/04/2018	ALPG11	1.000,000000	23,364980	-	1.023,364980	Padrão - SND	Reg.	
24/04/2018	ALPG11	1.000,000000	23,104670	-	1.023,104670	Padrão - SND	Reg.	
23/04/2018	ALPG11	1.000,000000	22,844420	-	1.022,844420	Padrão - SND	Reg.	
20/04/2018	ALPG11	1.000,000000	22,584240	-	1.022,584240	Padrão - SND	Reg.	
19/04/2018	ALPG11	1.000,000000	22,324120	-	1.022,324120	Padrão - SND	Reg.	
18/04/2018	ALPG11	1.000,000000	22,064080	-	1.022,064080	Padrão - SND	Reg.	
17/04/2018	ALPG11	1.000,000000	21,804100	-	1.021,804100	Padrão - SND	Reg.	
16/04/2018	ALPG11	1.000,000000	21,544180	-	1.021,544180	Padrão - SND	Reg.	
13/04/2018	ALPG11	1.000,000000	21,284330	-	1.021,284330	Padrão - SND	Reg.	
12/04/2018	ALPG11	1.000,000000	21,024550	-	1.021,024550	Padrão - SND	Reg.	
11/04/2018	ALPG11	1.000,000000	20,764830	-	1.020,764830	Padrão - SND	Reg.	
10/04/2018	ALPG11	1.000,000000	20,505180	-	1.020,505180	Padrão - SND	Reg.	
09/04/2018	ALPG11	1.000,000000	20,245590	-	1.020,245590	Padrão - SND	Reg.	
06/04/2018	ALPG11	1.000,000000	19,986070	-	1.019,986070	Padrão - SND	Reg.	
05/04/2018	ALPG11	1.000,000000	19,726620	-	1.019,726620	Padrão - SND	Reg.	
04/04/2018	ALPG11	1.000,000000	19,467230	-	1.019,467230	Padrão - SND	Reg.	
03/04/2018	ALPG11	1.000,000000	19,207910	-	1.019,207910	Padrão - SND	Reg.	
02/04/2018	ALPG11	1.000,000000	18,948660	-	1.018,948660	Padrão - SND	Reg.	
29/03/2018	ALPG11	1.000,000000	18,689470	-	1.018,689470	Padrão - SND	Reg.	
28/03/2018	ALPG11	1.000,000000	18,430340	-	1.018,430340	Padrão - SND	Reg.	
27/03/2018	ALPG11	1.000,000000	18,171290	-	1.018,171290	Padrão - SND	Reg.	
26/03/2018	ALPG11	1.000,000000	17,912300	-	1.017,912300	Padrão - SND	Reg.	
