PU Histórico - Gerado em 07/10/2018 00:53:17

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	ALSCA0	1.000,000000	3,251420	-	1.003,251420	Padrão - SND	Reg.	
04/10/2018	ALSCA0	1.000,000000	2,979790	-	1.002,979790	Padrão - SND	Reg.	
03/10/2018	ALSCA0	1.000,000000	2,708240	-	1.002,708240	Padrão - SND	Reg.	
02/10/2018	ALSCA0	1.000,000000	2,436760	-	1.002,436760	Padrão - SND	Reg.	
01/10/2018	ALSCA0	1.000,000000	2,165350	-	1.002,165350	Padrão - SND	Reg.	
28/09/2018	ALSCA0	1.000,000000	1,894430	-	1.001,894430	Padrão - SND	Reg.	
27/09/2018	ALSCA0	1.000,000000	1,623580	-	1.001,623580	Padrão - SND	Reg.	
26/09/2018	ALSCA0	1.000,000000	1,352800	-	1.001,352800	Padrão - SND	Reg.	
25/09/2018	ALSCA0	1.000,000000	1,082090	-	1.001,082090	Padrão - SND	Reg.	
24/09/2018	ALSCA0	1.000,000000	0,811460	-	1.000,811460	Padrão - SND	Reg.	
21/09/2018	ALSCA0	1.000,000000	0,540900	-	1.000,540900	Padrão - SND	Reg.	
20/09/2018	ALSCA0	1.000,000000	0,270410	-	1.000,270410	Padrão - SND	Reg.	
19/09/2018	ALSCA0	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
18/09/2018	ALSCA0	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
