PU Histórico - Gerado em 07/10/2018 00:53:25

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	AMPL19	1.000,000000	22,384900	-	1.022,384900	Padrão - SND	Reg.	
04/10/2018	AMPL19	1.000,000000	22,098030	-	1.022,098030	Padrão - SND	Reg.	
03/10/2018	AMPL19	1.000,000000	21,811240	-	1.021,811240	Padrão - SND	Reg.	
02/10/2018	AMPL19	1.000,000000	21,524530	-	1.021,524530	Padrão - SND	Reg.	
01/10/2018	AMPL19	1.000,000000	21,237900	-	1.021,237900	Padrão - SND	Reg.	
28/09/2018	AMPL19	1.000,000000	20,951780	-	1.020,951780	Padrão - SND	Reg.	
27/09/2018	AMPL19	1.000,000000	20,665750	-	1.020,665750	Padrão - SND	Reg.	
26/09/2018	AMPL19	1.000,000000	20,379790	-	1.020,379790	Padrão - SND	Reg.	
25/09/2018	AMPL19	1.000,000000	20,093910	-	1.020,093910	Padrão - SND	Reg.	
24/09/2018	AMPL19	1.000,000000	19,808110	-	1.019,808110	Padrão - SND	Reg.	
21/09/2018	AMPL19	1.000,000000	19,522400	-	1.019,522400	Padrão - SND	Reg.	
20/09/2018	AMPL19	1.000,000000	19,236760	-	1.019,236760	Padrão - SND	Reg.	
19/09/2018	AMPL19	1.000,000000	18,951200	-	1.018,951200	Padrão - SND	Reg.	
18/09/2018	AMPL19	1.000,000000	18,665720	-	1.018,665720	Padrão - SND	Reg.	
17/09/2018	AMPL19	1.000,000000	18,380330	-	1.018,380330	Padrão - SND	Reg.	
14/09/2018	AMPL19	1.000,000000	18,095010	-	1.018,095010	Padrão - SND	Reg.	
13/09/2018	AMPL19	1.000,000000	17,809770	-	1.017,809770	Padrão - SND	Reg.	
12/09/2018	AMPL19	1.000,000000	17,524620	-	1.017,524620	Padrão - SND	Reg.	
11/09/2018	AMPL19	1.000,000000	17,239540	-	1.017,239540	Padrão - SND	Reg.	
10/09/2018	AMPL19	1.000,000000	16,954540	-	1.016,954540	Padrão - SND	Reg.	
06/09/2018	AMPL19	1.000,000000	16,669620	-	1.016,669620	Padrão - SND	Reg.	
05/09/2018	AMPL19	1.000,000000	16,384780	-	1.016,384780	Padrão - SND	Reg.	
04/09/2018	AMPL19	1.000,000000	16,100030	-	1.016,100030	Padrão - SND	Reg.	
03/09/2018	AMPL19	1.000,000000	15,815350	-	1.015,815350	Padrão - SND	Reg.	
31/08/2018	AMPL19	1.000,000000	15,530750	-	1.015,530750	Padrão - SND	Reg.	
30/08/2018	AMPL19	1.000,000000	15,246230	-	1.015,246230	Padrão - SND	Reg.	
29/08/2018	AMPL19	1.000,000000	14,961790	-	1.014,961790	Padrão - SND	Reg.	
28/08/2018	AMPL19	1.000,000000	14,677430	-	1.014,677430	Padrão - SND	Reg.	
27/08/2018	AMPL19	1.000,000000	14,393150	-	1.014,393150	Padrão - SND	Reg.	
24/08/2018	AMPL19	1.000,000000	14,108950	-	1.014,108950	Padrão - SND	Reg.	
23/08/2018	AMPL19	1.000,000000	13,824830	-	1.013,824830	Padrão - SND	Reg.	
22/08/2018	AMPL19	1.000,000000	13,540790	-	1.013,540790	Padrão - SND	Reg.	
21/08/2018	AMPL19	1.000,000000	13,256830	-	1.013,256830	Padrão - SND	Reg.	
20/08/2018	AMPL19	1.000,000000	12,972950	-	1.012,972950	Padrão - SND	Reg.	
17/08/2018	AMPL19	1.000,000000	12,689140	-	1.012,689140	Padrão - SND	Reg.	
16/08/2018	AMPL19	1.000,000000	12,405420	-	1.012,405420	Padrão - SND	Reg.	
15/08/2018	AMPL19	1.000,000000	12,121780	-	1.012,121780	Padrão - SND	Reg.	
14/08/2018	AMPL19	1.000,000000	11,838210	-	1.011,838210	Padrão - SND	Reg.	
13/08/2018	AMPL19	1.000,000000	11,554730	-	1.011,554730	Padrão - SND	Reg.	
10/08/2018	AMPL19	1.000,000000	11,271330	-	1.011,271330	Padrão - SND	Reg.	
09/08/2018	AMPL19	1.000,000000	10,988000	-	1.010,988000	Padrão - SND	Reg.	
08/08/2018	AMPL19	1.000,000000	10,704750	-	1.010,704750	Padrão - SND	Reg.	
07/08/2018	AMPL19	1.000,000000	10,421590	-	1.010,421590	Padrão - SND	Reg.	
06/08/2018	AMPL19	1.000,000000	10,138500	-	1.010,138500	Padrão - SND	Reg.	
03/08/2018	AMPL19	1.000,000000	9,855490	-	1.009,855490	Padrão - SND	Reg.	
02/08/2018	AMPL19	1.000,000000	9,572560	-	1.009,572560	Padrão - SND	Reg.	
01/08/2018	AMPL19	1.000,000000	9,289710	-	1.009,289710	Padrão - SND	Reg.	
31/07/2018	AMPL19	1.000,000000	9,006940	-	1.009,006940	Padrão - SND	Reg.	
30/07/2018	AMPL19	1.000,000000	8,724250	-	1.008,724250	Padrão - SND	Reg.	
27/07/2018	AMPL19	1.000,000000	8,441640	-	1.008,441640	Padrão - SND	Reg.	
26/07/2018	AMPL19	1.000,000000	8,159110	-	1.008,159110	Padrão - SND	Reg.	
25/07/2018	AMPL19	1.000,000000	7,876650	-	1.007,876650	Padrão - SND	Reg.	
24/07/2018	AMPL19	1.000,000000	7,594280	-	1.007,594280	Padrão - SND	Reg.	
23/07/2018	AMPL19	1.000,000000	7,311980	-	1.007,311980	Padrão - SND	Reg.	
20/07/2018	AMPL19	1.000,000000	7,029770	-	1.007,029770	Padrão - SND	Reg.	
19/07/2018	AMPL19	1.000,000000	6,747630	-	1.006,747630	Padrão - SND	Reg.	
18/07/2018	AMPL19	1.000,000000	6,465570	-	1.006,465570	Padrão - SND	Reg.	
17/07/2018	AMPL19	1.000,000000	6,183590	-	1.006,183590	Padrão - SND	Reg.	
16/07/2018	AMPL19	1.000,000000	5,901690	-	1.005,901690	Padrão - SND	Reg.	
13/07/2018	AMPL19	1.000,000000	5,619870	-	1.005,619870	Padrão - SND	Reg.	
12/07/2018	AMPL19	1.000,000000	5,338130	-	1.005,338130	Padrão - SND	Reg.	
11/07/2018	AMPL19	1.000,000000	5,056470	-	1.005,056470	Padrão - SND	Reg.	
10/07/2018	AMPL19	1.000,000000	4,774880	-	1.004,774880	Padrão - SND	Reg.	
09/07/2018	AMPL19	1.000,000000	4,493380	-	1.004,493380	Padrão - SND	Reg.	
06/07/2018	AMPL19	1.000,000000	4,211950	-	1.004,211950	Padrão - SND	Reg.	
05/07/2018	AMPL19	1.000,000000	3,930600	-	1.003,930600	Padrão - SND	Reg.	
04/07/2018	AMPL19	1.000,000000	3,649330	-	1.003,649330	Padrão - SND	Reg.	
03/07/2018	AMPL19	1.000,000000	3,368140	-	1.003,368140	Padrão - SND	Reg.	
02/07/2018	AMPL19	1.000,000000	3,087030	-	1.003,087030	Padrão - SND	Reg.	
29/06/2018	AMPL19	1.000,000000	2,806000	-	1.002,806000	Padrão - SND	Reg.	
28/06/2018	AMPL19	1.000,000000	2,525050	-	1.002,525050	Padrão - SND	Reg.	
27/06/2018	AMPL19	1.000,000000	2,244170	-	1.002,244170	Padrão - SND	Reg.	
26/06/2018	AMPL19	1.000,000000	1,963370	-	1.001,963370	Padrão - SND	Reg.	
25/06/2018	AMPL19	1.000,000000	1,682660	-	1.001,682660	Padrão - SND	Reg.	
22/06/2018	AMPL19	1.000,000000	1,402020	-	1.001,402020	Padrão - SND	Reg.	
21/06/2018	AMPL19	1.000,000000	1,121460	-	1.001,121460	Padrão - SND	Reg.	
20/06/2018	AMPL19	1.000,000000	0,840970	-	1.000,840970	Padrão - SND	Reg.	
