PU Histórico - Gerado em 07/10/2018 00:53:33

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	AMTE11	61.520,000000	290,194269	-	61.810,194269	Padrão - SND	Reg.	
04/10/2018	AMTE11	61.520,000000	269,404385	-	61.789,404385	Padrão - SND	Reg.	
03/10/2018	AMTE11	61.520,000000	248,621391	-	61.768,621391	Padrão - SND	Reg.	
02/10/2018	AMTE11	61.520,000000	227,846026	-	61.747,846026	Padrão - SND	Reg.	
01/10/2018	AMTE11	61.520,000000	207,076935	-	61.727,076935	Padrão - SND	Reg.	
28/09/2018	AMTE11	61.520,000000	186,338174	-	61.706,338174	Padrão - SND	Reg.	
27/09/2018	AMTE11	61.520,000000	165,605688	-	61.685,605688	Padrão - SND	Reg.	
26/09/2018	AMTE11	61.520,000000	144,880830	-	61.664,880830	Padrão - SND	Reg.	
25/09/2018	AMTE11	61.520,000000	124,162863	-	61.644,162863	Padrão - SND	Reg.	
24/09/2018	AMTE11	61.520,000000	103,451232	-	61.623,451232	Padrão - SND	Reg.	
21/09/2018	AMTE11	61.520,000000	82,747107	-	61.602,747107	Padrão - SND	Reg.	
20/09/2018	AMTE11	61.520,000000	62,049995	-	61.582,049995	Padrão - SND	Reg.	
19/09/2018	AMTE11	61.520,000000	41,359711	-	61.561,359711	Padrão - SND	Reg.	
18/09/2018	AMTE11	61.520,000000	20,676380	-	61.540,676380	Padrão - SND	Reg.	
17/09/2018	AMTE11	61.520,000000	-  	-	61.520,000000	Padrão - SND	Reg.	
14/09/2018	AMTE11	62.560,000000	443,031778	-	63.003,031778	Padrão - SND	Reg.	
13/09/2018	AMTE11	62.560,000000	421,864164	-	62.981,864164	Padrão - SND	Reg.	
12/09/2018	AMTE11	62.560,000000	400,703619	-	62.960,703619	Padrão - SND	Reg.	
11/09/2018	AMTE11	62.560,000000	379,550081	-	62.939,550081	Padrão - SND	Reg.	
10/09/2018	AMTE11	62.560,000000	358,403612	-	62.918,403612	Padrão - SND	Reg.	
06/09/2018	AMTE11	62.560,000000	337,264276	-	62.897,264276	Padrão - SND	Reg.	
05/09/2018	AMTE11	62.560,000000	316,131946	-	62.876,131946	Padrão - SND	Reg.	
04/09/2018	AMTE11	62.560,000000	295,006747	-	62.855,006747	Padrão - SND	Reg.	
03/09/2018	AMTE11	62.560,000000	273,889181	-	62.833,889181	Padrão - SND	Reg.	
31/08/2018	AMTE11	62.560,000000	252,777997	-	62.812,777997	Padrão - SND	Reg.	
30/08/2018	AMTE11	62.560,000000	231,674569	-	62.791,674569	Padrão - SND	Reg.	
29/08/2018	AMTE11	62.560,000000	210,577586	-	62.770,577586	Padrão - SND	Reg.	
28/08/2018	AMTE11	62.560,000000	189,488172	-	62.749,488172	Padrão - SND	Reg.	
27/08/2018	AMTE11	62.560,000000	168,405264	-	62.728,405264	Padrão - SND	Reg.	
24/08/2018	AMTE11	62.560,000000	147,330051	-	62.707,330051	Padrão - SND	Reg.	
23/08/2018	AMTE11	62.560,000000	126,261845	-	62.686,261845	Padrão - SND	Reg.	
22/08/2018	AMTE11	62.560,000000	105,200083	-	62.665,200083	Padrão - SND	Reg.	
21/08/2018	AMTE11	62.560,000000	84,145953	-	62.644,145953	Padrão - SND	Reg.	
20/08/2018	AMTE11	62.560,000000	63,098954	-	62.623,098954	Padrão - SND	Reg.	
17/08/2018	AMTE11	62.560,000000	42,058900	-	62.602,058900	Padrão - SND	Reg.	
16/08/2018	AMTE11	62.560,000000	21,025916	-	62.581,025916	Padrão - SND	Reg.	
15/08/2018	AMTE11	62.560,000000	-  	-	62.560,000000	Padrão - SND	Reg.	
14/08/2018	AMTE11	63.600,000000	450,396756	-	64.050,396756	Padrão - SND	Reg.	
13/08/2018	AMTE11	63.600,000000	428,877251	-	64.028,877251	Padrão - SND	Reg.	
10/08/2018	AMTE11	63.600,000000	407,364932	-	64.007,364932	Padrão - SND	Reg.	
09/08/2018	AMTE11	63.600,000000	385,859737	-	63.985,859737	Padrão - SND	Reg.	
08/08/2018	AMTE11	63.600,000000	364,361729	-	63.964,361729	Padrão - SND	Reg.	
07/08/2018	AMTE11	63.600,000000	342,870971	-	63.942,870971	Padrão - SND	Reg.	
06/08/2018	AMTE11	63.600,000000	321,387336	-	63.921,387336	Padrão - SND	Reg.	
03/08/2018	AMTE11	63.600,000000	299,910952	-	63.899,910952	Padrão - SND	Reg.	
02/08/2018	AMTE11	63.600,000000	278,442326	-	63.878,442326	Padrão - SND	Reg.	
