PU Histórico - Gerado em 07/10/2018 00:53:38

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	ANHB15	1.350,822520	31,260281	-	1.382,082801	Padrão - SND	Reg.	
04/10/2018	ANHB15	1.350,886460	31,000457	-	1.381,886917	Padrão - SND	Reg.	
03/10/2018	ANHB15	1.350,950410	30,740658	-	1.381,691068	Padrão - SND	Reg.	
02/10/2018	ANHB15	1.351,014370	30,480884	-	1.381,495254	Padrão - SND	Reg.	
01/10/2018	ANHB15	1.351,078320	30,221135	-	1.381,299455	Padrão - SND	Reg.	
28/09/2018	ANHB15	1.351,142280	29,961410	-	1.381,103690	Padrão - SND	Reg.	
27/09/2018	ANHB15	1.351,206230	29,701709	-	1.380,907939	Padrão - SND	Reg.	
26/09/2018	ANHB15	1.351,270210	29,442033	-	1.380,712243	Padrão - SND	Reg.	
25/09/2018	ANHB15	1.351,334170	29,182383	-	1.380,516553	Padrão - SND	Reg.	
24/09/2018	ANHB15	1.351,398130	28,922757	-	1.380,320887	Padrão - SND	Reg.	
21/09/2018	ANHB15	1.351,462110	28,663156	-	1.380,125266	Padrão - SND	Reg.	
20/09/2018	ANHB15	1.351,526090	28,403579	-	1.379,929669	Padrão - SND	Reg.	
19/09/2018	ANHB15	1.351,590070	28,144028	-	1.379,734098	Padrão - SND	Reg.	
18/09/2018	ANHB15	1.351,654060	27,884500	-	1.379,538560	Padrão - SND	Reg.	
17/09/2018	ANHB15	1.351,718050	27,624997	-	1.379,343047	Padrão - SND	Reg.	
14/09/2018	ANHB15	1.351,773310	27,365342	-	1.379,138652	Padrão - SND	Reg.	
13/09/2018	ANHB15	1.351,828580	27,105716	-	1.378,934296	Padrão - SND	Reg.	
12/09/2018	ANHB15	1.351,883850	26,846118	-	1.378,729968	Padrão - SND	Reg.	
11/09/2018	ANHB15	1.351,939120	26,586548	-	1.378,525668	Padrão - SND	Reg.	
10/09/2018	ANHB15	1.351,994380	26,327005	-	1.378,321385	Padrão - SND	Reg.	
06/09/2018	ANHB15	1.356,180580	26,147134	-	1.382,327714	Padrão - SND	Reg.	
05/09/2018	ANHB15	1.355,977460	25,881920	-	1.381,859380	Padrão - SND	Reg.	
04/09/2018	ANHB15	1.355,774370	25,616833	-	1.381,391203	Padrão - SND	Reg.	
03/09/2018	ANHB15	1.355,571310	25,351876	-	1.380,923186	Padrão - SND	Reg.	
31/08/2018	ANHB15	1.355,368290	25,087046	-	1.380,455336	Padrão - SND	Reg.	
30/08/2018	ANHB15	1.355,165300	24,822343	-	1.379,987643	Padrão - SND	Reg.	
29/08/2018	ANHB15	1.354,962330	24,557769	-	1.379,520100	Padrão - SND	Reg.	
28/08/2018	ANHB15	1.354,759400	24,293325	-	1.379,052725	Padrão - SND	Reg.	
27/08/2018	ANHB15	1.354,556490	24,029007	-	1.378,585497	Padrão - SND	Reg.	
24/08/2018	ANHB15	1.354,353620	23,764817	-	1.378,118437	Padrão - SND	Reg.	
23/08/2018	ANHB15	1.354,150770	23,500754	-	1.377,651524	Padrão - SND	Reg.	
22/08/2018	ANHB15	1.353,947970	23,236821	-	1.377,184791	Padrão - SND	Reg.	
21/08/2018	ANHB15	1.353,745170	22,973014	-	1.376,718184	Padrão - SND	Reg.	
20/08/2018	ANHB15	1.353,542420	22,709335	-	1.376,251755	Padrão - SND	Reg.	
17/08/2018	ANHB15	1.353,339700	22,445784	-	1.375,785484	Padrão - SND	Reg.	
16/08/2018	ANHB15	1.353,137020	22,182361	-	1.375,319381	Padrão - SND	Reg.	
15/08/2018	ANHB15	1.352,934360	21,919065	-	1.374,853425	Padrão - SND	Reg.	
14/08/2018	ANHB15	1.352,731720	21,655896	-	1.374,387616	Padrão - SND	Reg.	
13/08/2018	ANHB15	1.352,529130	21,392856	-	1.373,921986	Padrão - SND	Reg.	
10/08/2018	ANHB15	1.352,326560	21,129942	-	1.373,456502	Padrão - SND	Reg.	
09/08/2018	ANHB15	1.352,124020	20,867156	-	1.372,991176	Padrão - SND	Reg.	
08/08/2018	ANHB15	1.361,594250	20,751918	-	1.382,346168	Padrão - SND	Reg.	
07/08/2018	ANHB15	1.360,819510	20,478918	-	1.381,298428	Padrão - SND	Reg.	
06/08/2018	ANHB15	1.360,045210	20,206272	-	1.380,251482	Padrão - SND	Reg.	
03/08/2018	ANHB15	1.359,271360	19,933978	-	1.379,205338	Padrão - SND	Reg.	
02/08/2018	ANHB15	1.358,497950	19,662037	-	1.378,159987	Padrão - SND	Reg.	
01/08/2018	ANHB15	1.357,724970	19,390447	-	1.377,115417	Padrão - SND	Reg.	
31/07/2018	ANHB15	1.356,952420	19,119210	-	1.376,071630	Padrão - SND	Reg.	
30/07/2018	ANHB15	1.356,180340	18,848325	-	1.375,028665	Padrão - SND	Reg.	
27/07/2018	ANHB15	1.355,408680	18,577791	-	1.373,986471	Padrão - SND	Reg.	
26/07/2018	ANHB15	1.354,637460	18,307607	-	1.372,945067	Padrão - SND	Reg.	
25/07/2018	ANHB15	1.353,866680	18,037774	-	1.371,904454	Padrão - SND	Reg.	
24/07/2018	ANHB15	1.353,096340	17,768291	-	1.370,864631	Padrão - SND	Reg.	
23/07/2018	ANHB15	1.352,326440	17,499158	-	1.369,825598	Padrão - SND	Reg.	
20/07/2018	ANHB15	1.351,556970	17,230375	-	1.368,787345	Padrão - SND	Reg.	
19/07/2018	ANHB15	1.350,787940	16,961941	-	1.367,749881	Padrão - SND	Reg.	
18/07/2018	ANHB15	1.350,019340	16,693855	-	1.366,713195	Padrão - SND	Reg.	
