PU Histórico - Gerado em 07/10/2018 00:53:59

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	ARTR35	1.037,297270	48,759031	-	1.086,056301	Padrão - SND	Reg.	
04/10/2018	ARTR35	1.037,346370	48,547241	-	1.085,893611	Padrão - SND	Reg.	
03/10/2018	ARTR35	1.037,395480	48,335472	-	1.085,730952	Padrão - SND	Reg.	
02/10/2018	ARTR35	1.037,444590	48,123726	-	1.085,568316	Padrão - SND	Reg.	
01/10/2018	ARTR35	1.037,493700	47,912003	-	1.085,405703	Padrão - SND	Reg.	
28/09/2018	ARTR35	1.037,542820	47,700301	-	1.085,243121	Padrão - SND	Reg.	
27/09/2018	ARTR35	1.037,591930	47,488621	-	1.085,080551	Padrão - SND	Reg.	
26/09/2018	ARTR35	1.037,641050	47,276963	-	1.084,918013	Padrão - SND	Reg.	
25/09/2018	ARTR35	1.037,690170	47,065327	-	1.084,755497	Padrão - SND	Reg.	
24/09/2018	ARTR35	1.037,739290	46,853713	-	1.084,593003	Padrão - SND	Reg.	
21/09/2018	ARTR35	1.037,788420	46,642121	-	1.084,430541	Padrão - SND	Reg.	
20/09/2018	ARTR35	1.037,837540	46,430552	-	1.084,268092	Padrão - SND	Reg.	
19/09/2018	ARTR35	1.037,886670	46,219003	-	1.084,105673	Padrão - SND	Reg.	
18/09/2018	ARTR35	1.037,935810	46,007477	-	1.083,943287	Padrão - SND	Reg.	
17/09/2018	ARTR35	1.037,984950	45,795974	-	1.083,780924	Padrão - SND	Reg.	
14/09/2018	ARTR35	1.038,027390	45,584198	-	1.083,611588	Padrão - SND	Reg.	
13/09/2018	ARTR35	1.038,069830	45,372447	-	1.083,442277	Padrão - SND	Reg.	
12/09/2018	ARTR35	1.038,112270	45,160720	-	1.083,272990	Padrão - SND	Reg.	
11/09/2018	ARTR35	1.038,154710	44,949019	-	1.083,103729	Padrão - SND	Reg.	
10/09/2018	ARTR35	1.038,197150	44,737341	-	1.082,934491	Padrão - SND	Reg.	
06/09/2018	ARTR35	1.041,411730	44,661728	-	1.086,073458	Padrão - SND	Reg.	
05/09/2018	ARTR35	1.041,255760	44,440979	-	1.085,696739	Padrão - SND	Reg.	
04/09/2018	ARTR35	1.041,099800	44,220338	-	1.085,320138	Padrão - SND	Reg.	
03/09/2018	ARTR35	1.040,943870	43,999804	-	1.084,943674	Padrão - SND	Reg.	
31/08/2018	ARTR35	1.040,787970	43,779377	-	1.084,567347	Padrão - SND	Reg.	
30/08/2018	ARTR35	1.040,632090	43,559058	-	1.084,191148	Padrão - SND	Reg.	
29/08/2018	ARTR35	1.040,476230	43,338845	-	1.083,815075	Padrão - SND	Reg.	
28/08/2018	ARTR35	1.040,320410	43,118741	-	1.083,439151	Padrão - SND	Reg.	
27/08/2018	ARTR35	1.040,164590	42,898742	-	1.083,063332	Padrão - SND	Reg.	
24/08/2018	ARTR35	1.040,008800	42,678850	-	1.082,687650	Padrão - SND	Reg.	
23/08/2018	ARTR35	1.039,853040	42,459066	-	1.082,312106	Padrão - SND	Reg.	
22/08/2018	ARTR35	1.039,697300	42,239389	-	1.081,936689	Padrão - SND	Reg.	
21/08/2018	ARTR35	1.039,541580	42,019819	-	1.081,561399	Padrão - SND	Reg.	
20/08/2018	ARTR35	1.039,385890	41,800355	-	1.081,186245	Padrão - SND	Reg.	
17/08/2018	ARTR35	1.039,230220	41,580998	-	1.080,811218	Padrão - SND	Reg.	
16/08/2018	ARTR35	1.039,074580	41,361749	-	1.080,436329	Padrão - SND	Reg.	
15/08/2018	ARTR35	1.038,918960	41,142606	-	1.080,061566	Padrão - SND	Reg.	
14/08/2018	ARTR35	1.038,763350	40,923569	-	1.079,686919	Padrão - SND	Reg.	
13/08/2018	ARTR35	1.038,607780	40,704638	-	1.079,312418	Padrão - SND	Reg.	
10/08/2018	ARTR35	1.038,452230	40,485815	-	1.078,938045	Padrão - SND	Reg.	
09/08/2018	ARTR35	1.038,296690	40,267099	-	1.078,563789	Padrão - SND	Reg.	
08/08/2018	ARTR35	1.045,568890	40,335027	-	1.085,903917	Padrão - SND	Reg.	
07/08/2018	ARTR35	1.044,973970	40,098141	-	1.085,072111	Padrão - SND	Reg.	
06/08/2018	ARTR35	1.044,379380	39,861553	-	1.084,240933	Padrão - SND	Reg.	
03/08/2018	ARTR35	1.043,785140	39,625263	-	1.083,410403	Padrão - SND	Reg.	
02/08/2018	ARTR35	1.043,191240	39,389272	-	1.082,580512	Padrão - SND	Reg.	
01/08/2018	ARTR35	1.042,597670	39,153578	-	1.081,751248	Padrão - SND	Reg.	
31/07/2018	ARTR35	1.042,004430	38,918181	-	1.080,922611	Padrão - SND	Reg.	
30/07/2018	ARTR35	1.041,411540	38,683083	-	1.080,094623	Padrão - SND	Reg.	
27/07/2018	ARTR35	1.040,818990	38,448280	-	1.079,267270	Padrão - SND	Reg.	
26/07/2018	ARTR35	1.040,226760	38,213774	-	1.078,440534	Padrão - SND	Reg.	
25/07/2018	ARTR35	1.039,634880	37,979565	-	1.077,614445	Padrão - SND	Reg.	
24/07/2018	ARTR35	1.039,043340	37,745652	-	1.076,788992	Padrão - SND	Reg.	
23/07/2018	ARTR35	1.038,452130	37,512034	-	1.075,964164	Padrão - SND	Reg.	
20/07/2018	ARTR35	1.037,861250	37,278712	-	1.075,139962	Padrão - SND	Reg.	
19/07/2018	ARTR35	1.037,270720	37,045685	-	1.074,316405	Padrão - SND	Reg.	
18/07/2018	ARTR35	1.036,680510	36,812952	-	1.073,493462	Padrão - SND	Reg.	
17/07/2018	ARTR35	1.036,090650	36,580515	-	1.072,671165	Padrão - SND	Reg.	
16/07/2018	ARTR35	1.035,501130	36,348372	-	1.071,849502	Padrão - SND	Reg.	
13/07/2018	ARTR35	1.034,883890	36,115544	-	1.070,999434	Padrão - SND	Reg.	
12/07/2018	ARTR35	1.034,267010	35,883021	-	1.070,150031	Padrão - SND	Reg.	
11/07/2018	ARTR35	1.033,650500	35,650805	-	1.069,301305	Padrão - SND	Reg.	
10/07/2018	ARTR35	1.033,034370	35,418894	-	1.068,453264	Padrão - SND	Reg.	
09/07/2018	ARTR35	1.032,418600	35,187289	-	1.067,605889	Padrão - SND	Reg.	
06/07/2018	ARTR35	1.025,536500	34,743682	-	1.060,280182	Padrão - SND	Reg.	
05/07/2018	ARTR35	1.025,341540	34,528111	-	1.059,869651	Padrão - SND	Reg.	
