PU Histórico - Gerado em 07/10/2018 00:54:17

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	BCBF12	1.000,000000	10,074768	-	1.010,074768	Padrão - SND	Reg.	
04/10/2018	BCBF12	1.000,000000	9,736991	-	1.009,736991	Padrão - SND	Reg.	
03/10/2018	BCBF12	1.000,000000	9,399326	-	1.009,399326	Padrão - SND	Reg.	
02/10/2018	BCBF12	1.000,000000	9,061772	-	1.009,061772	Padrão - SND	Reg.	
01/10/2018	BCBF12	1.000,000000	8,724330	-	1.008,724330	Padrão - SND	Reg.	
28/09/2018	BCBF12	1.000,000000	8,387371	-	1.008,387371	Padrão - SND	Reg.	
27/09/2018	BCBF12	1.000,000000	8,050534	-	1.008,050534	Padrão - SND	Reg.	
26/09/2018	BCBF12	1.000,000000	7,713808	-	1.007,713808	Padrão - SND	Reg.	
25/09/2018	BCBF12	1.000,000000	7,377184	-	1.007,377184	Padrão - SND	Reg.	
24/09/2018	BCBF12	1.000,000000	7,040683	-	1.007,040683	Padrão - SND	Reg.	
21/09/2018	BCBF12	1.000,000000	6,704292	-	1.006,704292	Padrão - SND	Reg.	
20/09/2018	BCBF12	1.000,000000	6,368013	-	1.006,368013	Padrão - SND	Reg.	
19/09/2018	BCBF12	1.000,000000	6,031846	-	1.006,031846	Padrão - SND	Reg.	
18/09/2018	BCBF12	1.000,000000	5,695790	-	1.005,695790	Padrão - SND	Reg.	
17/09/2018	BCBF12	1.000,000000	5,359846	-	1.005,359846	Padrão - SND	Reg.	
14/09/2018	BCBF12	1.000,000000	5,024013	-	1.005,024013	Padrão - SND	Reg.	
13/09/2018	BCBF12	1.000,000000	4,688293	-	1.004,688293	Padrão - SND	Reg.	
12/09/2018	BCBF12	1.000,000000	4,352694	-	1.004,352694	Padrão - SND	Reg.	
11/09/2018	BCBF12	1.000,000000	4,017196	-	1.004,017196	Padrão - SND	Reg.	
10/09/2018	BCBF12	1.000,000000	3,681820	-	1.003,681820	Padrão - SND	Reg.	
