PU Histórico - Gerado em 07/10/2018 00:56:15

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	BNDP36	1.463,378210	31,172966	-	1.494,551176	Padrão - SND	Reg.	
04/10/2018	BNDP36	1.463,447480	30,862551	-	1.494,310031	Padrão - SND	Reg.	
03/10/2018	BNDP36	1.463,516750	30,552173	-	1.494,068923	Padrão - SND	Reg.	
02/10/2018	BNDP36	1.463,586050	30,241831	-	1.493,827881	Padrão - SND	Reg.	
01/10/2018	BNDP36	1.463,655330	29,931523	-	1.493,586853	Padrão - SND	Reg.	
28/09/2018	BNDP36	1.463,724620	29,621251	-	1.493,345871	Padrão - SND	Reg.	
27/09/2018	BNDP36	1.463,793900	29,311016	-	1.493,104916	Padrão - SND	Reg.	
26/09/2018	BNDP36	1.463,863210	29,000816	-	1.492,864026	Padrão - SND	Reg.	
25/09/2018	BNDP36	1.463,932500	28,690651	-	1.492,623151	Padrão - SND	Reg.	
24/09/2018	BNDP36	1.464,001790	28,380522	-	1.492,382312	Padrão - SND	Reg.	
21/09/2018	BNDP36	1.464,071100	28,070428	-	1.492,141528	Padrão - SND	Reg.	
20/09/2018	BNDP36	1.464,140410	27,760370	-	1.491,900780	Padrão - SND	Reg.	
19/09/2018	BNDP36	1.464,209710	27,450347	-	1.491,660057	Padrão - SND	Reg.	
18/09/2018	BNDP36	1.464,279040	27,140360	-	1.491,419400	Padrão - SND	Reg.	
17/09/2018	BNDP36	1.464,348360	26,830410	-	1.491,178770	Padrão - SND	Reg.	
14/09/2018	BNDP36	1.464,408230	26,520323	-	1.490,928553	Padrão - SND	Reg.	
13/09/2018	BNDP36	1.464,468100	26,210275	-	1.490,678375	Padrão - SND	Reg.	
12/09/2018	BNDP36	1.464,527980	25,900266	-	1.490,428246	Padrão - SND	Reg.	
11/09/2018	BNDP36	1.464,587850	25,590298	-	1.490,178148	Padrão - SND	Reg.	
10/09/2018	BNDP36	1.464,647720	25,280370	-	1.489,928090	Padrão - SND	Reg.	
06/09/2018	BNDP36	1.469,182730	25,046772	-	1.494,229502	Padrão - SND	Reg.	
05/09/2018	BNDP36	1.468,962690	24,731260	-	1.493,693950	Padrão - SND	Reg.	
04/09/2018	BNDP36	1.468,742670	24,415906	-	1.493,158576	Padrão - SND	Reg.	
03/09/2018	BNDP36	1.468,522690	24,100712	-	1.492,623402	Padrão - SND	Reg.	
31/08/2018	BNDP36	1.468,302750	23,785676	-	1.492,088426	Padrão - SND	Reg.	
30/08/2018	BNDP36	1.468,082850	23,470799	-	1.491,553649	Padrão - SND	Reg.	
29/08/2018	BNDP36	1.467,862970	23,156081	-	1.491,019051	Padrão - SND	Reg.	
28/08/2018	BNDP36	1.467,643130	22,841522	-	1.490,484652	Padrão - SND	Reg.	
27/08/2018	BNDP36	1.467,423310	22,527121	-	1.489,950431	Padrão - SND	Reg.	
24/08/2018	BNDP36	1.467,203530	22,212878	-	1.489,416408	Padrão - SND	Reg.	
23/08/2018	BNDP36	1.466,983790	21,898795	-	1.488,882585	Padrão - SND	Reg.	
22/08/2018	BNDP36	1.466,764080	21,584870	-	1.488,348950	Padrão - SND	Reg.	
21/08/2018	BNDP36	1.466,544400	21,271103	-	1.487,815503	Padrão - SND	Reg.	
20/08/2018	BNDP36	1.466,324750	20,957494	-	1.487,282244	Padrão - SND	Reg.	
17/08/2018	BNDP36	1.466,105130	20,644044	-	1.486,749174	Padrão - SND	Reg.	
16/08/2018	BNDP36	1.465,885560	20,330752	-	1.486,216312	Padrão - SND	Reg.	
15/08/2018	BNDP36	1.465,666020	20,017618	-	1.485,683638	Padrão - SND	Reg.	
14/08/2018	BNDP36	1.465,446500	19,704641	-	1.485,151141	Padrão - SND	Reg.	
13/08/2018	BNDP36	1.465,227020	19,391823	-	1.484,618843	Padrão - SND	Reg.	
10/08/2018	BNDP36	1.465,007580	19,079162	-	1.484,086742	Padrão - SND	Reg.	
09/08/2018	BNDP36	1.464,788160	18,766660	-	1.483,554820	Padrão - SND	Reg.	
08/08/2018	BNDP36	1.475,047490	18,586353	-	1.493,633843	Padrão - SND	Reg.	
07/08/2018	BNDP36	1.474,208190	18,264271	-	1.492,472461	Padrão - SND	Reg.	
06/08/2018	BNDP36	1.473,369370	17,942615	-	1.491,311985	Padrão - SND	Reg.	
03/08/2018	BNDP36	1.472,531040	17,621384	-	1.490,152424	Padrão - SND	Reg.	
02/08/2018	BNDP36	1.471,693190	17,300577	-	1.488,993767	Padrão - SND	Reg.	
01/08/2018	BNDP36	1.470,855800	16,980194	-	1.487,835994	Padrão - SND	Reg.	
31/07/2018	BNDP36	1.470,018880	16,660237	-	1.486,679117	Padrão - SND	Reg.	
30/07/2018	BNDP36	1.469,182460	16,340701	-	1.485,523161	Padrão - SND	Reg.	
27/07/2018	BNDP36	1.468,346510	16,021588	-	1.484,368098	Padrão - SND	Reg.	
26/07/2018	BNDP36	1.467,511020	15,702899	-	1.483,213919	Padrão - SND	Reg.	
25/07/2018	BNDP36	1.466,676020	15,384630	-	1.482,060650	Padrão - SND	Reg.	
24/07/2018	BNDP36	1.465,841500	15,066785	-	1.480,908285	Padrão - SND	Reg.	
23/07/2018	BNDP36	1.465,007440	14,749359	-	1.479,756799	Padrão - SND	Reg.	
20/07/2018	BNDP36	1.464,173860	14,432355	-	1.478,606215	Padrão - SND	Reg.	
19/07/2018	BNDP36	1.463,340750	14,115771	-	1.477,456521	Padrão - SND	Reg.	
18/07/2018	BNDP36	1.462,508110	13,799607	-	1.476,307717	Padrão - SND	Reg.	
17/07/2018	BNDP36	1.461,675960	13,483862	-	1.475,159822	Padrão - SND	Reg.	
16/07/2018	BNDP36	1.460,844290	13,168536	-	1.474,012826	Padrão - SND	Reg.	
13/07/2018	BNDP36	1.459,973510	12,853281	-	1.472,826791	Padrão - SND	Reg.	
12/07/2018	BNDP36	1.459,103230	12,538462	-	1.471,641692	Padrão - SND	Reg.	
11/07/2018	BNDP36	1.458,233490	12,224076	-	1.470,457566	Padrão - SND	Reg.	
10/07/2018	BNDP36	1.457,364270	11,910125	-	1.469,274395	Padrão - SND	Reg.	
09/07/2018	BNDP36	1.456,495570	11,596608	-	1.468,092178	Padrão - SND	Reg.	
06/07/2018	BNDP36	1.446,786580	11,214994	-	1.458,001574	Padrão - SND	Reg.	
05/07/2018	BNDP36	1.446,511540	10,908672	-	1.457,420212	Padrão - SND	Reg.	
04/07/2018	BNDP36	1.446,236550	10,602529	-	1.456,839079	Padrão - SND	Reg.	
03/07/2018	BNDP36	1.445,961620	10,296566	-	1.456,258186	Padrão - SND	Reg.	
02/07/2018	BNDP36	1.445,686740	9,990782	-	1.455,677522	Padrão - SND	Reg.	
29/06/2018	BNDP36	1.445,411910	9,685177	-	1.455,097087	Padrão - SND	Reg.	
28/06/2018	BNDP36	1.445,137120	9,379752	-	1.454,516872	Padrão - SND	Reg.	
27/06/2018	BNDP36	1.444,862400	9,074505	-	1.453,936905	Padrão - SND	Reg.	
26/06/2018	BNDP36	1.444,587730	8,769439	-	1.453,357169	Padrão - SND	Reg.	
25/06/2018	BNDP36	1.444,313100	8,464551	-	1.452,777651	Padrão - SND	Reg.	
22/06/2018	BNDP36	1.444,038530	8,159841	-	1.452,198371	Padrão - SND	Reg.	
21/06/2018	BNDP36	1.443,764020	7,855310	-	1.451,619330	Padrão - SND	Reg.	
20/06/2018	BNDP36	1.443,489560	7,550958	-	1.451,040518	Padrão - SND	Reg.	
19/06/2018	BNDP36	1.443,215150	7,246785	-	1.450,461935	Padrão - SND	Reg.	
18/06/2018	BNDP36	1.442,940780	6,942791	-	1.449,883571	Padrão - SND	Reg.	
15/06/2018	BNDP36	1.442,666490	6,638975	-	1.449,305465	Padrão - SND	Reg.	
14/06/2018	BNDP36	1.442,404690	6,335391	-	1.448,740081	Padrão - SND	Reg.	
13/06/2018	BNDP36	1.442,142940	6,031982	-	1.448,174922	Padrão - SND	Reg.	
12/06/2018	BNDP36	1.441,881250	5,728744	-	1.447,609994	Padrão - SND	Reg.	
11/06/2018	BNDP36	1.441,619600	5,425679	-	1.447,045279	Padrão - SND	Reg.	
08/06/2018	BNDP36	1.439,359720	5,115685	-	1.444,475405	Padrão - SND	Reg.	
07/06/2018	BNDP36	1.439,215990	4,813780	-	1.444,029770	Padrão - SND	Reg.	
06/06/2018	BNDP36	1.439,072250	4,511996	-	1.443,584246	Padrão - SND	Reg.	
