PU Histórico - Gerado em 17/02/2019 12:15:38

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	BPCH21	1.007,105110	-  	-	1.007,105110	Padrão - SND	Reg.	
14/02/2019	BPCH21	1.006,965240	27,009918	-	1.033,975158	Padrão - SND	Reg.	
13/02/2019	BPCH21	1.006,825390	26,680442	-	1.033,505832	Padrão - SND	Reg.	
12/02/2019	BPCH21	1.006,685560	26,351160	-	1.033,036720	Padrão - SND	Reg.	
11/02/2019	BPCH21	1.006,545750	26,022071	-	1.032,567821	Padrão - SND	Reg.	
08/02/2019	BPCH21	1.005,071410	25,659106	-	1.030,730516	Padrão - SND	Reg.	
07/02/2019	BPCH21	1.005,005900	25,332707	-	1.030,338607	Padrão - SND	Reg.	
06/02/2019	BPCH21	1.004,940410	25,006454	-	1.029,946864	Padrão - SND	Reg.	
05/02/2019	BPCH21	1.004,874920	24,680345	-	1.029,555265	Padrão - SND	Reg.	
04/02/2019	BPCH21	1.004,809430	24,354380	-	1.029,163810	Padrão - SND	Reg.	
01/02/2019	BPCH21	1.004,743950	24,028560	-	1.028,772510	Padrão - SND	Reg.	
31/01/2019	BPCH21	1.004,678460	23,702885	-	1.028,381345	Padrão - SND	Reg.	
30/01/2019	BPCH21	1.004,612990	23,377354	-	1.027,990344	Padrão - SND	Reg.	
29/01/2019	BPCH21	1.004,547520	23,051968	-	1.027,599488	Padrão - SND	Reg.	
28/01/2019	BPCH21	1.004,482050	22,726726	-	1.027,208776	Padrão - SND	Reg.	
25/01/2019	BPCH21	1.004,416590	22,401628	-	1.026,818218	Padrão - SND	Reg.	
24/01/2019	BPCH21	1.004,351130	22,076674	-	1.026,427804	Padrão - SND	Reg.	
23/01/2019	BPCH21	1.004,285670	21,751864	-	1.026,037534	Padrão - SND	Reg.	
22/01/2019	BPCH21	1.004,220220	21,427199	-	1.025,647419	Padrão - SND	Reg.	
21/01/2019	BPCH21	1.004,154770	21,102678	-	1.025,257448	Padrão - SND	Reg.	
18/01/2019	BPCH21	1.004,089330	20,778300	-	1.024,867630	Padrão - SND	Reg.	
17/01/2019	BPCH21	1.004,023900	20,454067	-	1.024,477967	Padrão - SND	Reg.	
16/01/2019	BPCH21	1.003,958460	20,129978	-	1.024,088438	Padrão - SND	Reg.	
15/01/2019	BPCH21	1.003,893040	19,806033	-	1.023,699073	Padrão - SND	Reg.	
14/01/2019	BPCH21	1.003,813840	19,481963	-	1.023,295803	Padrão - SND	Reg.	
11/01/2019	BPCH21	1.000,505310	19,096409	-	1.019,601719	Padrão - SND	Reg.	
10/01/2019	BPCH21	1.000,616040	18,777245	-	1.019,393285	Padrão - SND	Reg.	
09/01/2019	BPCH21	1.000,726780	18,458113	-	1.019,184893	Padrão - SND	Reg.	
08/01/2019	BPCH21	1.000,837530	18,139010	-	1.018,976540	Padrão - SND	Reg.	
