PU Histórico - Gerado em 07/10/2018 00:56:46

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	BRKN11	10.000,000000	290,388730	-	10.290,388730	Padrão - SND	Reg.	
04/10/2018	BRKN11	10.000,000000	286,657180	-	10.286,657180	Padrão - SND	Reg.	
03/10/2018	BRKN11	10.000,000000	282,926880	-	10.282,926880	Padrão - SND	Reg.	
02/10/2018	BRKN11	10.000,000000	279,198000	-	10.279,198000	Padrão - SND	Reg.	
01/10/2018	BRKN11	10.000,000000	275,470460	-	10.275,470460	Padrão - SND	Reg.	
28/09/2018	BRKN11	10.000,000000	271,748090	-	10.271,748090	Padrão - SND	Reg.	
27/09/2018	BRKN11	10.000,000000	268,026950	-	10.268,026950	Padrão - SND	Reg.	
26/09/2018	BRKN11	10.000,000000	264,307250	-	10.264,307250	Padrão - SND	Reg.	
25/09/2018	BRKN11	10.000,000000	260,588970	-	10.260,588970	Padrão - SND	Reg.	
24/09/2018	BRKN11	10.000,000000	256,871930	-	10.256,871930	Padrão - SND	Reg.	
21/09/2018	BRKN11	10.000,000000	253,156310	-	10.253,156310	Padrão - SND	Reg.	
20/09/2018	BRKN11	10.000,000000	249,441940	-	10.249,441940	Padrão - SND	Reg.	
19/09/2018	BRKN11	10.000,000000	245,728990	-	10.245,728990	Padrão - SND	Reg.	
18/09/2018	BRKN11	10.000,000000	242,017380	-	10.242,017380	Padrão - SND	Reg.	
17/09/2018	BRKN11	10.000,000000	238,307090	-	10.238,307090	Padrão - SND	Reg.	
14/09/2018	BRKN11	10.000,000000	234,598140	-	10.234,598140	Padrão - SND	Reg.	
13/09/2018	BRKN11	10.000,000000	230,890610	-	10.230,890610	Padrão - SND	Reg.	
12/09/2018	BRKN11	10.000,000000	227,184310	-	10.227,184310	Padrão - SND	Reg.	
11/09/2018	BRKN11	10.000,000000	223,479450	-	10.223,479450	Padrão - SND	Reg.	
10/09/2018	BRKN11	10.000,000000	219,775910	-	10.219,775910	Padrão - SND	Reg.	
06/09/2018	BRKN11	10.000,000000	216,073600	-	10.216,073600	Padrão - SND	Reg.	
05/09/2018	BRKN11	10.000,000000	212,372720	-	10.212,372720	Padrão - SND	Reg.	
04/09/2018	BRKN11	10.000,000000	208,673270	-	10.208,673270	Padrão - SND	Reg.	
03/09/2018	BRKN11	10.000,000000	204,975040	-	10.204,975040	Padrão - SND	Reg.	
31/08/2018	BRKN11	10.000,000000	201,278140	-	10.201,278140	Padrão - SND	Reg.	
30/08/2018	BRKN11	10.000,000000	197,582670	-	10.197,582670	Padrão - SND	Reg.	
29/08/2018	BRKN11	10.000,000000	193,888430	-	10.193,888430	Padrão - SND	Reg.	
28/08/2018	BRKN11	10.000,000000	190,195610	-	10.190,195610	Padrão - SND	Reg.	
27/08/2018	BRKN11	10.000,000000	186,504110	-	10.186,504110	Padrão - SND	Reg.	
24/08/2018	BRKN11	10.000,000000	182,813940	-	10.182,813940	Padrão - SND	Reg.	
23/08/2018	BRKN11	10.000,000000	179,125100	-	10.179,125100	Padrão - SND	Reg.	
22/08/2018	BRKN11	10.000,000000	175,437680	-	10.175,437680	Padrão - SND	Reg.	
21/08/2018	BRKN11	10.000,000000	171,751490	-	10.171,751490	Padrão - SND	Reg.	
20/08/2018	BRKN11	10.000,000000	168,066620	-	10.168,066620	Padrão - SND	Reg.	
17/08/2018	BRKN11	10.000,000000	164,383170	-	10.164,383170	Padrão - SND	Reg.	
16/08/2018	BRKN11	10.000,000000	160,701050	-	10.160,701050	Padrão - SND	Reg.	
15/08/2018	BRKN11	10.000,000000	157,020160	-	10.157,020160	Padrão - SND	Reg.	
14/08/2018	BRKN11	10.000,000000	153,340680	-	10.153,340680	Padrão - SND	Reg.	
13/08/2018	BRKN11	10.000,000000	149,662530	-	10.149,662530	Padrão - SND	Reg.	
10/08/2018	BRKN11	10.000,000000	145,985690	-	10.145,985690	Padrão - SND	Reg.	
09/08/2018	BRKN11	10.000,000000	142,310290	-	10.142,310290	Padrão - SND	Reg.	
08/08/2018	BRKN11	10.000,000000	138,636090	-	10.138,636090	Padrão - SND	Reg.	
07/08/2018	BRKN11	10.000,000000	134,963230	-	10.134,963230	Padrão - SND	Reg.	
06/08/2018	BRKN11	10.000,000000	131,291780	-	10.131,291780	Padrão - SND	Reg.	
03/08/2018	BRKN11	10.000,000000	127,621560	-	10.127,621560	Padrão - SND	Reg.	
02/08/2018	BRKN11	10.000,000000	123,952750	-	10.123,952750	Padrão - SND	Reg.	
01/08/2018	BRKN11	10.000,000000	120,285260	-	10.120,285260	Padrão - SND	Reg.	
31/07/2018	BRKN11	10.000,000000	116,619100	-	10.116,619100	Padrão - SND	Reg.	
30/07/2018	BRKN11	10.000,000000	112,954250	-	10.112,954250	Padrão - SND	Reg.	
27/07/2018	BRKN11	10.000,000000	109,290720	-	10.109,290720	Padrão - SND	Reg.	
26/07/2018	BRKN11	10.000,000000	105,628520	-	10.105,628520	Padrão - SND	Reg.	
25/07/2018	BRKN11	10.000,000000	101,967630	-	10.101,967630	Padrão - SND	Reg.	
24/07/2018	BRKN11	10.000,000000	98,308150	-	10.098,308150	Padrão - SND	Reg.	
23/07/2018	BRKN11	10.000,000000	94,649900	-	10.094,649900	Padrão - SND	Reg.	
20/07/2018	BRKN11	10.000,000000	90,992960	-	10.090,992960	Padrão - SND	Reg.	
19/07/2018	BRKN11	10.000,000000	87,337440	-	10.087,337440	Padrão - SND	Reg.	
18/07/2018	BRKN11	10.000,000000	83,683230	-	10.083,683230	Padrão - SND	Reg.	
17/07/2018	BRKN11	10.000,000000	80,030240	-	10.080,030240	Padrão - SND	Reg.	
