PU Histórico - Gerado em 07/10/2018 00:56:48

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	BRML22	7.381,709508	300,330564	-	7.682,040072	Padrão - SND	Reg.	
04/10/2018	BRML22	7.382,058914	298,453821	-	7.680,512735	Padrão - SND	Reg.	
03/10/2018	BRML22	7.382,408393	296,577368	-	7.678,985761	Padrão - SND	Reg.	
02/10/2018	BRML22	7.382,757944	294,701195	-	7.677,459139	Padrão - SND	Reg.	
01/10/2018	BRML22	7.383,107351	292,825311	-	7.675,932662	Padrão - SND	Reg.	
28/09/2018	BRML22	7.383,456901	290,949719	-	7.674,406620	Padrão - SND	Reg.	
27/09/2018	BRML22	7.383,806380	289,074410	-	7.672,880790	Padrão - SND	Reg.	
26/09/2018	BRML22	7.384,156003	287,199385	-	7.671,355388	Padrão - SND	Reg.	
25/09/2018	BRML22	7.384,505482	285,324649	-	7.669,830131	Padrão - SND	Reg.	
24/09/2018	BRML22	7.384,855032	283,450202	-	7.668,305234	Padrão - SND	Reg.	
21/09/2018	BRML22	7.385,204655	281,576037	-	7.666,780692	Padrão - SND	Reg.	
20/09/2018	BRML22	7.385,554278	279,702159	-	7.665,256437	Padrão - SND	Reg.	
19/09/2018	BRML22	7.385,903901	277,828574	-	7.663,732475	Padrão - SND	Reg.	
18/09/2018	BRML22	7.386,253524	275,955269	-	7.662,208793	Padrão - SND	Reg.	
17/09/2018	BRML22	7.386,603218	274,082253	-	7.660,685471	Padrão - SND	Reg.	
14/09/2018	BRML22	7.386,905231	272,207768	-	7.659,112999	Padrão - SND	Reg.	
13/09/2018	BRML22	7.387,207243	270,333593	-	7.657,540836	Padrão - SND	Reg.	
12/09/2018	BRML22	7.387,509256	268,459722	-	7.655,968978	Padrão - SND	Reg.	
11/09/2018	BRML22	7.387,811268	266,586170	-	7.654,397438	Padrão - SND	Reg.	
10/09/2018	BRML22	7.388,113281	264,712921	-	7.652,826202	Padrão - SND	Reg.	
06/09/2018	BRML22	7.410,989228	263,643044	-	7.674,632272	Padrão - SND	Reg.	
05/09/2018	BRML22	7.409,879280	261,714794	-	7.671,594074	Padrão - SND	Reg.	
04/09/2018	BRML22	7.408,769476	259,787575	-	7.668,557051	Padrão - SND	Reg.	
03/09/2018	BRML22	7.407,659816	257,861393	-	7.665,521209	Padrão - SND	Reg.	
31/08/2018	BRML22	7.406,550373	255,936251	-	7.662,486624	Padrão - SND	Reg.	
30/08/2018	BRML22	7.405,441073	254,012145	-	7.659,453218	Padrão - SND	Reg.	
29/08/2018	BRML22	7.404,331917	252,089069	-	7.656,420986	Padrão - SND	Reg.	
28/08/2018	BRML22	7.403,223050	250,167033	-	7.653,390083	Padrão - SND	Reg.	
27/08/2018	BRML22	7.402,114182	248,246028	-	7.650,360210	Padrão - SND	Reg.	
24/08/2018	BRML22	7.401,005603	246,326056	-	7.647,331659	Padrão - SND	Reg.	
23/08/2018	BRML22	7.399,897096	244,407116	-	7.644,304212	Padrão - SND	Reg.	
22/08/2018	BRML22	7.398,788876	242,489208	-	7.641,278084	Padrão - SND	Reg.	
21/08/2018	BRML22	7.397,680657	240,572330	-	7.638,252987	Padrão - SND	Reg.	
20/08/2018	BRML22	7.396,572726	238,656491	-	7.635,229217	Padrão - SND	Reg.	
17/08/2018	BRML22	7.395,464939	236,741678	-	7.632,206617	Padrão - SND	Reg.	
16/08/2018	BRML22	7.394,357368	234,827893	-	7.629,185261	Padrão - SND	Reg.	
15/08/2018	BRML22	7.393,249941	232,915149	-	7.626,165090	Padrão - SND	Reg.	
14/08/2018	BRML22	7.392,142586	231,003420	-	7.623,146006	Padrão - SND	Reg.	
13/08/2018	BRML22	7.391,035447	229,092734	-	7.620,128181	Padrão - SND	Reg.	
10/08/2018	BRML22	7.389,928524	227,183067	-	7.617,111591	Padrão - SND	Reg.	
09/08/2018	BRML22	7.388,821674	225,274429	-	7.614,096103	Padrão - SND	Reg.	
08/08/2018	BRML22	7.440,572833	224,964975	-	7.665,537808	Padrão - SND	Reg.	
07/08/2018	BRML22	7.436,339113	222,951232	-	7.659,290345	Padrão - SND	Reg.	
06/08/2018	BRML22	7.432,107914	220,940180	-	7.653,048094	Padrão - SND	Reg.	
03/08/2018	BRML22	7.427,879092	218,931796	-	7.646,810888	Padrão - SND	Reg.	
02/08/2018	BRML22	7.423,652718	216,926103	-	7.640,578821	Padrão - SND	Reg.	
01/08/2018	BRML22	7.419,428722	214,923073	-	7.634,351795	Padrão - SND	Reg.	
31/07/2018	BRML22	7.415,207030	212,922716	-	7.628,129746	Padrão - SND	Reg.	
30/07/2018	BRML22	7.410,987859	210,925029	-	7.621,912888	Padrão - SND	Reg.	
27/07/2018	BRML22	7.406,771066	208,930013	-	7.615,701079	Padrão - SND	Reg.	
26/07/2018	BRML22	7.402,556649	206,937656	-	7.609,494305	Padrão - SND	Reg.	
25/07/2018	BRML22	7.398,344609	204,947958	-	7.603,292567	Padrão - SND	Reg.	
24/07/2018	BRML22	7.394,135090	202,960926	-	7.597,096016	Padrão - SND	Reg.	
23/07/2018	BRML22	7.389,927876	200,976545	-	7.590,904421	Padrão - SND	Reg.	
20/07/2018	BRML22	7.385,722967	198,994811	-	7.584,717778	Padrão - SND	Reg.	
19/07/2018	BRML22	7.381,520579	197,015729	-	7.578,536308	Padrão - SND	Reg.	
18/07/2018	BRML22	7.377,320496	195,039290	-	7.572,359786	Padrão - SND	Reg.	
17/07/2018	BRML22	7.373,122861	193,065502	-	7.566,188363	Padrão - SND	Reg.	
16/07/2018	BRML22	7.368,927676	191,094355	-	7.560,022031	Padrão - SND	Reg.	
13/07/2018	BRML22	7.364,535206	189,120719	-	7.553,655925	Padrão - SND	Reg.	
12/07/2018	BRML22	7.360,145258	187,149821	-	7.547,295079	Padrão - SND	Reg.	
11/07/2018	BRML22	7.355,758047	185,181672	-	7.540,939719	Padrão - SND	Reg.	
10/07/2018	BRML22	7.351,373428	183,216250	-	7.534,589678	Padrão - SND	Reg.	
09/07/2018	BRML22	7.346,991475	181,253571	-	7.528,245046	Padrão - SND	Reg.	
06/07/2018	BRML22	7.298,016481	178,204666	-	7.476,221147	Padrão - SND	Reg.	
05/07/2018	BRML22	7.296,629083	176,330929	-	7.472,960012	Padrão - SND	Reg.	
04/07/2018	BRML22	7.295,241972	174,458350	-	7.469,700322	Padrão - SND	Reg.	
03/07/2018	BRML22	7.293,855149	172,586930	-	7.466,442079	Padrão - SND	Reg.	
02/07/2018	BRML22	7.292,468542	170,716666	-	7.463,185208	Padrão - SND	Reg.	
29/06/2018	BRML22	7.291,082224	168,847560	-	7.459,929784	Padrão - SND	Reg.	
28/06/2018	BRML22	7.289,696122	166,979609	-	7.456,675731	Padrão - SND	Reg.	
27/06/2018	BRML22	7.288,310307	165,112814	-	7.453,423121	Padrão - SND	Reg.	
26/06/2018	BRML22	7.286,924781	163,247168	-	7.450,171949	Padrão - SND	Reg.	
25/06/2018	BRML22	7.285,539543	161,382685	-	7.446,922228	Padrão - SND	Reg.	
22/06/2018	BRML22	7.284,154521	159,519356	-	7.443,673877	Padrão - SND	Reg.	
21/06/2018	BRML22	7.282,769787	157,657181	-	7.440,426968	Padrão - SND	Reg.	
20/06/2018	BRML22	7.281,385342	155,796154	-	7.437,181496	Padrão - SND	Reg.	
19/06/2018	BRML22	7.280,001112	153,936285	-	7.433,937397	Padrão - SND	Reg.	
18/06/2018	BRML22	7.278,617098	152,077562	-	7.430,694660	Padrão - SND	Reg.	
15/06/2018	BRML22	7.277,233517	150,220001	-	7.427,453518	Padrão - SND	Reg.	
14/06/2018	BRML22	7.275,912960	148,364865	-	7.424,277825	Padrão - SND	Reg.	
13/06/2018	BRML22	7.274,592619	146,510848	-	7.421,103467	Padrão - SND	Reg.	
12/06/2018	BRML22	7.273,272566	144,657950	-	7.417,930516	Padrão - SND	Reg.	
11/06/2018	BRML22	7.271,952729	142,806164	-	7.414,758893	Padrão - SND	Reg.	
08/06/2018	BRML22	7.260,553182	140,760083	-	7.401,313265	Padrão - SND	Reg.	
07/06/2018	BRML22	7.259,828151	138,924434	-	7.398,752585	Padrão - SND	Reg.	
06/06/2018	BRML22	7.259,103119	137,089599	-	7.396,192718	Padrão - SND	Reg.	
05/06/2018	BRML22	7.258,378232	135,255574	-	7.393,633806	Padrão - SND	Reg.	
04/06/2018	BRML22	7.257,653344	133,422369	-	7.391,075713	Padrão - SND	Reg.	
01/06/2018	BRML22	7.256,928601	131,589973	-	7.388,518574	Padrão - SND	Reg.	
30/05/2018	BRML22	7.256,203857	129,758390	-	7.385,962247	Padrão - SND	Reg.	
29/05/2018	BRML22	7.255,479114	127,927613	-	7.383,406727	Padrão - SND	Reg.	
28/05/2018	BRML22	7.254,754587	126,097653	-	7.380,852240	Padrão - SND	Reg.	
25/05/2018	BRML22	7.254,030059	124,268506	-	7.378,298565	Padrão - SND	Reg.	
24/05/2018	BRML22	7.253,305676	122,440173	-	7.375,745849	Padrão - SND	Reg.	
23/05/2018	BRML22	7.252,581293	120,612646	-	7.373,193939	Padrão - SND	Reg.	
22/05/2018	BRML22	7.251,856981	118,785924	-	7.370,642905	Padrão - SND	Reg.	
21/05/2018	BRML22	7.251,132814	116,960025	-	7.368,092839	Padrão - SND	Reg.	
18/05/2018	BRML22	7.250,408647	115,134930	-	7.365,543577	Padrão - SND	Reg.	
17/05/2018	BRML22	7.249,684624	113,310642	-	7.362,995266	Padrão - SND	Reg.	
16/05/2018	BRML22	7.248,960601	111,487165	-	7.360,447766	Padrão - SND	Reg.	
15/05/2018	BRML22	7.248,236722	109,664502	-	7.357,901224	Padrão - SND	Reg.	
14/05/2018	BRML22	7.247,440527	107,841567	-	7.355,282094	Padrão - SND	Reg.	
11/05/2018	BRML22	7.246,644404	106,019472	-	7.352,663876	Padrão - SND	Reg.	
10/05/2018	BRML22	7.237,858745	104,083332	-	7.341,942077	Padrão - SND	Reg.	
09/05/2018	BRML22	7.237,533323	102,271578	-	7.339,804901	Padrão - SND	Reg.	
08/05/2018	BRML22	7.237,207902	100,460428	-	7.337,668330	Padrão - SND	Reg.	
07/05/2018	BRML22	7.236,882552	98,649882	-	7.335,532434	Padrão - SND	Reg.	
04/05/2018	BRML22	7.236,557131	96,839947	-	7.333,397078	Padrão - SND	Reg.	
03/05/2018	BRML22	7.236,231781	95,030617	-	7.331,262398	Padrão - SND	Reg.	
02/05/2018	BRML22	7.235,906432	93,221897	-	7.329,128329	Padrão - SND	Reg.	
30/04/2018	BRML22	7.235,581155	91,413782	-	7.326,994937	Padrão - SND	Reg.	
27/04/2018	BRML22	7.235,255805	89,606269	-	7.324,862074	Padrão - SND	Reg.	
26/04/2018	BRML22	7.234,930528	87,799369	-	7.322,729897	Padrão - SND	Reg.	
25/04/2018	BRML22	7.234,605250	85,993071	-	7.320,598321	Padrão - SND	Reg.	
24/04/2018	BRML22	7.234,279973	84,187377	-	7.318,467350	Padrão - SND	Reg.	
23/04/2018	BRML22	7.233,954768	82,382295	-	7.316,337063	Padrão - SND	Reg.	
20/04/2018	BRML22	7.233,629490	80,577814	-	7.314,207304	Padrão - SND	Reg.	
19/04/2018	BRML22	7.233,304285	78,773938	-	7.312,078223	Padrão - SND	Reg.	
18/04/2018	BRML22	7.232,979007	76,970671	-	7.309,949678	Padrão - SND	Reg.	
17/04/2018	BRML22	7.232,653874	75,168002	-	7.307,821876	Padrão - SND	Reg.	
16/04/2018	BRML22	7.232,328669	73,365942	-	7.305,694611	Padrão - SND	Reg.	
13/04/2018	BRML22	7.232,019021	71,564646	-	7.303,583667	Padrão - SND	Reg.	
12/04/2018	BRML22	7.231,709374	69,763938	-	7.301,473312	Padrão - SND	Reg.	
11/04/2018	BRML22	7.231,399654	67,963832	-	7.299,363486	Padrão - SND	Reg.	
10/04/2018	BRML22	7.244,542778	66,287407	-	7.310,830185	Padrão - SND	Reg.	
09/04/2018	BRML22	7.243,440609	64,478095	-	7.307,918704	Padrão - SND	Reg.	
06/04/2018	BRML22	7.242,338584	62,669773	-	7.305,008357	Padrão - SND	Reg.	
05/04/2018	BRML22	7.241,236703	60,862442	-	7.302,099145	Padrão - SND	Reg.	
04/04/2018	BRML22	7.240,134966	59,056108	-	7.299,191074	Padrão - SND	Reg.	
03/04/2018	BRML22	7.239,033446	57,250757	-	7.296,284203	Padrão - SND	Reg.	
