PU Histórico - Gerado em 17/02/2019 12:15:41

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	BRND11	1.000,000000	10,566847	-	1.010,566847	Padrão - SND	Reg.	
14/02/2019	BRND11	1.000,000000	10,254478	-	1.010,254478	Padrão - SND	Reg.	
13/02/2019	BRND11	1.000,000000	9,942193	-	1.009,942193	Padrão - SND	Reg.	
12/02/2019	BRND11	1.000,000000	9,630005	-	1.009,630005	Padrão - SND	Reg.	
11/02/2019	BRND11	1.000,000000	9,317921	-	1.009,317921	Padrão - SND	Reg.	
08/02/2019	BRND11	1.000,000000	9,005923	-	1.009,005923	Padrão - SND	Reg.	
07/02/2019	BRND11	1.000,000000	8,694032	-	1.008,694032	Padrão - SND	Reg.	
06/02/2019	BRND11	1.000,000000	8,382234	-	1.008,382234	Padrão - SND	Reg.	
05/02/2019	BRND11	1.000,000000	8,070532	-	1.008,070532	Padrão - SND	Reg.	
04/02/2019	BRND11	1.000,000000	7,758927	-	1.007,758927	Padrão - SND	Reg.	
01/02/2019	BRND11	1.000,000000	7,447416	-	1.007,447416	Padrão - SND	Reg.	
31/01/2019	BRND11	1.000,000000	7,136000	-	1.007,136000	Padrão - SND	Reg.	
30/01/2019	BRND11	1.000,000000	6,824680	-	1.006,824680	Padrão - SND	Reg.	
29/01/2019	BRND11	1.000,000000	6,513464	-	1.006,513464	Padrão - SND	Reg.	
28/01/2019	BRND11	1.000,000000	6,202335	-	1.006,202335	Padrão - SND	Reg.	
25/01/2019	BRND11	1.000,000000	5,891311	-	1.005,891311	Padrão - SND	Reg.	
24/01/2019	BRND11	1.000,000000	5,580382	-	1.005,580382	Padrão - SND	Reg.	
23/01/2019	BRND11	1.000,000000	5,269538	-	1.005,269538	Padrão - SND	Reg.	
22/01/2019	BRND11	1.000,000000	4,958799	-	1.004,958799	Padrão - SND	Reg.	
21/01/2019	BRND11	1.000,000000	4,648156	-	1.004,648156	Padrão - SND	Reg.	
18/01/2019	BRND11	1.000,000000	4,337608	-	1.004,337608	Padrão - SND	Reg.	
17/01/2019	BRND11	1.000,000000	4,027155	-	1.004,027155	Padrão - SND	Reg.	
16/01/2019	BRND11	1.000,000000	3,716797	-	1.003,716797	Padrão - SND	Reg.	
15/01/2019	BRND11	1.000,000000	3,406543	-	1.003,406543	Padrão - SND	Reg.	
14/01/2019	BRND11	1.000,000000	3,096376	-	1.003,096376	Padrão - SND	Reg.	
11/01/2019	BRND11	1.000,000000	2,786304	-	1.002,786304	Padrão - SND	Reg.	
10/01/2019	BRND11	1.000,000000	2,476337	-	1.002,476337	Padrão - SND	Reg.	
09/01/2019	BRND11	1.000,000000	2,166455	-	1.002,166455	Padrão - SND	Reg.	
08/01/2019	BRND11	1.000,000000	1,856677	-	1.001,856677	Padrão - SND	Reg.	
07/01/2019	BRND11	1.000,000000	1,546995	-	1.001,546995	Padrão - SND	Reg.	
04/01/2019	BRND11	1.000,000000	1,237398	-	1.001,237398	Padrão - SND	Reg.	
03/01/2019	BRND11	1.000,000000	0,927906	-	1.000,927906	Padrão - SND	Reg.	
02/01/2019	BRND11	1.000,000000	0,618509	-	1.000,618509	Padrão - SND	Reg.	
31/12/2018	BRND11	1.000,000000	0,309207	-	1.000,309207	Padrão - SND	Reg.	
28/12/2018	BRND11	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
27/12/2018	BRND11	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
