PU Histórico - Gerado em 07/10/2018 00:58:18

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	CEAR26	1.014,356550	19,299330	-	1.033,655880	Padrão - SND	Reg.	
04/10/2018	CEAR26	1.014,404570	19,053656	-	1.033,458226	Padrão - SND	Reg.	
03/10/2018	CEAR26	1.014,452590	18,808019	-	1.033,260609	Padrão - SND	Reg.	
02/10/2018	CEAR26	1.014,500620	18,562417	-	1.033,063037	Padrão - SND	Reg.	
01/10/2018	CEAR26	1.014,548640	18,316850	-	1.032,865490	Padrão - SND	Reg.	
28/09/2018	CEAR26	1.014,596670	18,071318	-	1.032,667988	Padrão - SND	Reg.	
27/09/2018	CEAR26	1.014,644690	17,825823	-	1.032,470513	Padrão - SND	Reg.	
26/09/2018	CEAR26	1.014,692730	17,580362	-	1.032,273092	Padrão - SND	Reg.	
25/09/2018	CEAR26	1.014,740760	17,334937	-	1.032,075697	Padrão - SND	Reg.	
24/09/2018	CEAR26	1.014,788790	17,089548	-	1.031,878338	Padrão - SND	Reg.	
21/09/2018	CEAR26	1.014,836840	16,844194	-	1.031,681034	Padrão - SND	Reg.	
20/09/2018	CEAR26	1.014,884880	16,598876	-	1.031,483756	Padrão - SND	Reg.	
19/09/2018	CEAR26	1.014,932920	16,353593	-	1.031,286513	Padrão - SND	Reg.	
18/09/2018	CEAR26	1.014,980970	16,108345	-	1.031,089315	Padrão - SND	Reg.	
17/09/2018	CEAR26	1.015,029020	15,863133	-	1.030,892153	Padrão - SND	Reg.	
14/09/2018	CEAR26	1.015,070520	15,617856	-	1.030,688376	Padrão - SND	Reg.	
13/09/2018	CEAR26	1.015,112020	15,372617	-	1.030,484637	Padrão - SND	Reg.	
12/09/2018	CEAR26	1.015,153520	15,127416	-	1.030,280936	Padrão - SND	Reg.	
11/09/2018	CEAR26	1.015,195030	14,882255	-	1.030,077285	Padrão - SND	Reg.	
10/09/2018	CEAR26	1.015,236530	14,637131	-	1.029,873661	Padrão - SND	Reg.	
06/09/2018	CEAR26	1.018,380020	14,436018	-	1.032,816038	Padrão - SND	Reg.	
05/09/2018	CEAR26	1.018,227490	14,187519	-	1.032,415009	Padrão - SND	Reg.	
04/09/2018	CEAR26	1.018,074990	13,939151	-	1.032,014141	Padrão - SND	Reg.	
03/09/2018	CEAR26	1.017,922510	13,690916	-	1.031,613426	Padrão - SND	Reg.	
31/08/2018	CEAR26	1.017,770050	13,442815	-	1.031,212865	Padrão - SND	Reg.	
30/08/2018	CEAR26	1.017,617620	13,194845	-	1.030,812465	Padrão - SND	Reg.	
29/08/2018	CEAR26	1.017,465210	12,947009	-	1.030,412219	Padrão - SND	Reg.	
28/08/2018	CEAR26	1.017,312830	12,699305	-	1.030,012135	Padrão - SND	Reg.	
27/08/2018	CEAR26	1.017,160460	12,451735	-	1.029,612195	Padrão - SND	Reg.	
24/08/2018	CEAR26	1.017,008120	12,204296	-	1.029,212416	Padrão - SND	Reg.	
23/08/2018	CEAR26	1.016,855800	11,956989	-	1.028,812789	Padrão - SND	Reg.	
22/08/2018	CEAR26	1.016,703510	11,709815	-	1.028,413325	Padrão - SND	Reg.	
21/08/2018	CEAR26	1.016,551230	11,462773	-	1.028,014003	Padrão - SND	Reg.	
20/08/2018	CEAR26	1.016,398980	11,215863	-	1.027,614843	Padrão - SND	Reg.	
17/08/2018	CEAR26	1.016,246750	10,969086	-	1.027,215836	Padrão - SND	Reg.	
16/08/2018	CEAR26	1.016,094550	10,722441	-	1.026,816991	Padrão - SND	Reg.	
15/08/2018	CEAR26	1.015,942370	10,475928	-	1.026,418298	Padrão - SND	Reg.	
14/08/2018	CEAR26	1.015,790210	10,229547	-	1.026,019757	Padrão - SND	Reg.	
13/08/2018	CEAR26	1.015,638080	9,983298	-	1.025,621378	Padrão - SND	Reg.	
10/08/2018	CEAR26	1.015,485960	9,737180	-	1.025,223140	Padrão - SND	Reg.	
09/08/2018	CEAR26	1.015,333870	9,491195	-	1.024,825065	Padrão - SND	Reg.	
08/08/2018	CEAR26	1.022,445240	9,311490	-	1.031,756730	Padrão - SND	Reg.	
07/08/2018	CEAR26	1.021,863470	9,060209	-	1.030,923679	Padrão - SND	Reg.	
06/08/2018	CEAR26	1.021,282040	8,809270	-	1.030,091310	Padrão - SND	Reg.	
03/08/2018	CEAR26	1.020,700940	8,558673	-	1.029,259613	Padrão - SND	Reg.	
02/08/2018	CEAR26	1.020,120170	8,308417	-	1.028,428587	Padrão - SND	Reg.	
01/08/2018	CEAR26	1.019,539730	8,058500	-	1.027,598230	Padrão - SND	Reg.	
31/07/2018	CEAR26	1.018,959610	7,808924	-	1.026,768534	Padrão - SND	Reg.	
30/07/2018	CEAR26	1.018,379830	7,559688	-	1.025,939518	Padrão - SND	Reg.	
27/07/2018	CEAR26	1.017,800380	7,310791	-	1.025,111171	Padrão - SND	Reg.	
26/07/2018	CEAR26	1.017,221260	7,062234	-	1.024,283494	Padrão - SND	Reg.	
25/07/2018	CEAR26	1.016,642470	6,814015	-	1.023,456485	Padrão - SND	Reg.	
24/07/2018	CEAR26	1.016,064010	6,566134	-	1.022,630144	Padrão - SND	Reg.	
23/07/2018	CEAR26	1.015,485870	6,318592	-	1.021,804462	Padrão - SND	Reg.	
20/07/2018	CEAR26	1.014,908060	6,071387	-	1.020,979447	Padrão - SND	Reg.	
