PU Histórico - Gerado em 07/10/2018 00:58:29

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	CEEBB0	10.000,000000	5,712700	-	10.005,712700	Padrão - SND	Reg.	
04/10/2018	CEEBB0	10.000,000000	2,855900	-	10.002,855900	Padrão - SND	Reg.	
03/10/2018	CEEBB0	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
02/10/2018	CEEBB0	10.000,000000	368,745400	-	10.368,745400	Padrão - SND	Reg.	
01/10/2018	CEEBB0	10.000,000000	365,785100	-	10.365,785100	Padrão - SND	Reg.	
28/09/2018	CEEBB0	10.000,000000	362,830000	-	10.362,830000	Padrão - SND	Reg.	
27/09/2018	CEEBB0	10.000,000000	359,875700	-	10.359,875700	Padrão - SND	Reg.	
26/09/2018	CEEBB0	10.000,000000	356,922300	-	10.356,922300	Padrão - SND	Reg.	
25/09/2018	CEEBB0	10.000,000000	353,969700	-	10.353,969700	Padrão - SND	Reg.	
24/09/2018	CEEBB0	10.000,000000	351,018000	-	10.351,018000	Padrão - SND	Reg.	
21/09/2018	CEEBB0	10.000,000000	348,067100	-	10.348,067100	Padrão - SND	Reg.	
20/09/2018	CEEBB0	10.000,000000	345,117100	-	10.345,117100	Padrão - SND	Reg.	
19/09/2018	CEEBB0	10.000,000000	342,167900	-	10.342,167900	Padrão - SND	Reg.	
18/09/2018	CEEBB0	10.000,000000	339,219500	-	10.339,219500	Padrão - SND	Reg.	
17/09/2018	CEEBB0	10.000,000000	336,272000	-	10.336,272000	Padrão - SND	Reg.	
14/09/2018	CEEBB0	10.000,000000	333,325300	-	10.333,325300	Padrão - SND	Reg.	
13/09/2018	CEEBB0	10.000,000000	330,379500	-	10.330,379500	Padrão - SND	Reg.	
12/09/2018	CEEBB0	10.000,000000	327,434500	-	10.327,434500	Padrão - SND	Reg.	
11/09/2018	CEEBB0	10.000,000000	324,490300	-	10.324,490300	Padrão - SND	Reg.	
10/09/2018	CEEBB0	10.000,000000	321,547000	-	10.321,547000	Padrão - SND	Reg.	
