PU Histórico - Gerado em 07/10/2018 00:58:34

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	CELP15	1.000,000000	29,047373	-	1.029,047373	Padrão - SND	Reg.	
04/10/2018	CELP15	1.000,000000	28,749416	-	1.028,749416	Padrão - SND	Reg.	
03/10/2018	CELP15	1.000,000000	28,451552	-	1.028,451552	Padrão - SND	Reg.	
02/10/2018	CELP15	1.000,000000	28,153784	-	1.028,153784	Padrão - SND	Reg.	
01/10/2018	CELP15	1.000,000000	27,856088	-	1.027,856088	Padrão - SND	Reg.	
28/09/2018	CELP15	1.000,000000	27,558859	-	1.027,558859	Padrão - SND	Reg.	
27/09/2018	CELP15	1.000,000000	27,261723	-	1.027,261723	Padrão - SND	Reg.	
26/09/2018	CELP15	1.000,000000	26,964672	-	1.026,964672	Padrão - SND	Reg.	
25/09/2018	CELP15	1.000,000000	26,667704	-	1.026,667704	Padrão - SND	Reg.	
24/09/2018	CELP15	1.000,000000	26,370821	-	1.026,370821	Padrão - SND	Reg.	
21/09/2018	CELP15	1.000,000000	26,074023	-	1.026,074023	Padrão - SND	Reg.	
20/09/2018	CELP15	1.000,000000	25,777307	-	1.025,777307	Padrão - SND	Reg.	
19/09/2018	CELP15	1.000,000000	25,480686	-	1.025,480686	Padrão - SND	Reg.	
18/09/2018	CELP15	1.000,000000	25,184150	-	1.025,184150	Padrão - SND	Reg.	
17/09/2018	CELP15	1.000,000000	24,887697	-	1.024,887697	Padrão - SND	Reg.	
14/09/2018	CELP15	1.000,000000	24,591329	-	1.024,591329	Padrão - SND	Reg.	
13/09/2018	CELP15	1.000,000000	24,295044	-	1.024,295044	Padrão - SND	Reg.	
12/09/2018	CELP15	1.000,000000	23,998852	-	1.023,998852	Padrão - SND	Reg.	
11/09/2018	CELP15	1.000,000000	23,702736	-	1.023,702736	Padrão - SND	Reg.	
10/09/2018	CELP15	1.000,000000	23,406714	-	1.023,406714	Padrão - SND	Reg.	
06/09/2018	CELP15	1.000,000000	23,110775	-	1.023,110775	Padrão - SND	Reg.	
05/09/2018	CELP15	1.000,000000	22,814919	-	1.022,814919	Padrão - SND	Reg.	
04/09/2018	CELP15	1.000,000000	22,519159	-	1.022,519159	Padrão - SND	Reg.	
03/09/2018	CELP15	1.000,000000	22,223472	-	1.022,223472	Padrão - SND	Reg.	
31/08/2018	CELP15	1.000,000000	21,927880	-	1.021,927880	Padrão - SND	Reg.	
30/08/2018	CELP15	1.000,000000	21,632371	-	1.021,632371	Padrão - SND	Reg.	
29/08/2018	CELP15	1.000,000000	21,336935	-	1.021,336935	Padrão - SND	Reg.	
28/08/2018	CELP15	1.000,000000	21,041594	-	1.021,041594	Padrão - SND	Reg.	
