PU Histórico - Gerado em 17/02/2019 12:15:58

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	CERO11	10.000,000000	156,772010	-	10.156,772010	Padrão - SND	Reg.	
14/02/2019	CERO11	10.000,000000	153,612590	-	10.153,612590	Padrão - SND	Reg.	
13/02/2019	CERO11	10.000,000000	150,454140	-	10.150,454140	Padrão - SND	Reg.	
12/02/2019	CERO11	10.000,000000	147,296750	-	10.147,296750	Padrão - SND	Reg.	
11/02/2019	CERO11	10.000,000000	144,140240	-	10.144,140240	Padrão - SND	Reg.	
08/02/2019	CERO11	10.000,000000	140,984800	-	10.140,984800	Padrão - SND	Reg.	
07/02/2019	CERO11	10.000,000000	137,830320	-	10.137,830320	Padrão - SND	Reg.	
06/02/2019	CERO11	10.000,000000	134,676820	-	10.134,676820	Padrão - SND	Reg.	
05/02/2019	CERO11	10.000,000000	131,524280	-	10.131,524280	Padrão - SND	Reg.	
04/02/2019	CERO11	10.000,000000	128,372710	-	10.128,372710	Padrão - SND	Reg.	
01/02/2019	CERO11	10.000,000000	125,222210	-	10.125,222210	Padrão - SND	Reg.	
31/01/2019	CERO11	10.000,000000	122,072580	-	10.122,072580	Padrão - SND	Reg.	
30/01/2019	CERO11	10.000,000000	118,924010	-	10.118,924010	Padrão - SND	Reg.	
29/01/2019	CERO11	10.000,000000	115,776410	-	10.115,776410	Padrão - SND	Reg.	
28/01/2019	CERO11	10.000,000000	112,629680	-	10.112,629680	Padrão - SND	Reg.	
25/01/2019	CERO11	10.000,000000	109,484020	-	10.109,484020	Padrão - SND	Reg.	
24/01/2019	CERO11	10.000,000000	106,339330	-	10.106,339330	Padrão - SND	Reg.	
23/01/2019	CERO11	10.000,000000	103,195690	-	10.103,195690	Padrão - SND	Reg.	
22/01/2019	CERO11	10.000,000000	100,052930	-	10.100,052930	Padrão - SND	Reg.	
21/01/2019	CERO11	10.000,000000	96,911140	-	10.096,911140	Padrão - SND	Reg.	
18/01/2019	CERO11	10.000,000000	93,770410	-	10.093,770410	Padrão - SND	Reg.	
17/01/2019	CERO11	10.000,000000	90,630550	-	10.090,630550	Padrão - SND	Reg.	
16/01/2019	CERO11	10.000,000000	87,491750	-	10.087,491750	Padrão - SND	Reg.	
15/01/2019	CERO11	10.000,000000	84,353920	-	10.084,353920	Padrão - SND	Reg.	
14/01/2019	CERO11	10.000,000000	81,217060	-	10.081,217060	Padrão - SND	Reg.	
11/01/2019	CERO11	10.000,000000	78,081170	-	10.078,081170	Padrão - SND	Reg.	
10/01/2019	CERO11	10.000,000000	74,946230	-	10.074,946230	Padrão - SND	Reg.	
09/01/2019	CERO11	10.000,000000	71,812260	-	10.071,812260	Padrão - SND	Reg.	
08/01/2019	CERO11	10.000,000000	68,679270	-	10.068,679270	Padrão - SND	Reg.	
07/01/2019	CERO11	10.000,000000	65,547330	-	10.065,547330	Padrão - SND	Reg.	
04/01/2019	CERO11	10.000,000000	62,416270	-	10.062,416270	Padrão - SND	Reg.	
03/01/2019	CERO11	10.000,000000	59,286250	-	10.059,286250	Padrão - SND	Reg.	
02/01/2019	CERO11	10.000,000000	56,157210	-	10.056,157210	Padrão - SND	Reg.	
31/12/2018	CERO11	10.000,000000	53,029040	-	10.053,029040	Padrão - SND	Reg.	
28/12/2018	CERO11	10.000,000000	49,901930	-	10.049,901930	Padrão - SND	Reg.	
27/12/2018	CERO11	10.000,000000	46,775780	-	10.046,775780	Padrão - SND	Reg.	
26/12/2018	CERO11	10.000,000000	43,650600	-	10.043,650600	Padrão - SND	Reg.	
24/12/2018	CERO11	10.000,000000	40,526380	-	10.040,526380	Padrão - SND	Reg.	
21/12/2018	CERO11	10.000,000000	37,403120	-	10.037,403120	Padrão - SND	Reg.	
20/12/2018	CERO11	10.000,000000	34,280940	-	10.034,280940	Padrão - SND	Reg.	
19/12/2018	CERO11	10.000,000000	31,159610	-	10.031,159610	Padrão - SND	Reg.	
18/12/2018	CERO11	10.000,000000	28,039250	-	10.028,039250	Padrão - SND	Reg.	
17/12/2018	CERO11	10.000,000000	24,919940	-	10.024,919940	Padrão - SND	Reg.	
14/12/2018	CERO11	10.000,000000	21,801510	-	10.021,801510	Padrão - SND	Reg.	
13/12/2018	CERO11	10.000,000000	18,684130	-	10.018,684130	Padrão - SND	Reg.	
12/12/2018	CERO11	10.000,000000	15,567720	-	10.015,567720	Padrão - SND	Reg.	
11/12/2018	CERO11	10.000,000000	12,452170	-	10.012,452170	Padrão - SND	Reg.	
10/12/2018	CERO11	10.000,000000	9,337690	-	10.009,337690	Padrão - SND	Reg.	
07/12/2018	CERO11	10.000,000000	6,224160	-	10.006,224160	Padrão - SND	Reg.	
06/12/2018	CERO11	10.000,000000	3,111600	-	10.003,111600	Padrão - SND	Reg.	
05/12/2018	CERO11	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
04/12/2018	CERO11	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
