PU Histórico - Gerado em 17/02/2019 12:16:02

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	CGEP12	1.010,919340	33,153907	-	1.044,073247	Padrão - SND	Reg.	
14/02/2019	CGEP12	1.010,778950	32,812487	-	1.043,591437	Padrão - SND	Reg.	
13/02/2019	CGEP12	1.010,638570	32,471269	-	1.043,109839	Padrão - SND	Reg.	
12/02/2019	CGEP12	1.010,498210	32,130255	-	1.042,628465	Padrão - SND	Reg.	
11/02/2019	CGEP12	1.010,357870	31,789442	-	1.042,147312	Padrão - SND	Reg.	
08/02/2019	CGEP12	1.010,769470	31,466015	-	1.042,235485	Padrão - SND	Reg.	
07/02/2019	CGEP12	1.010,598420	31,124477	-	1.041,722897	Padrão - SND	Reg.	
06/02/2019	CGEP12	1.010,427410	30,783162	-	1.041,210572	Padrão - SND	Reg.	
05/02/2019	CGEP12	1.010,256420	30,442071	-	1.040,698491	Padrão - SND	Reg.	
04/02/2019	CGEP12	1.010,085470	30,101203	-	1.040,186673	Padrão - SND	Reg.	
01/02/2019	CGEP12	1.009,914540	29,760557	-	1.039,675097	Padrão - SND	Reg.	
31/01/2019	CGEP12	1.009,743640	29,420134	-	1.039,163774	Padrão - SND	Reg.	
30/01/2019	CGEP12	1.009,572770	29,079933	-	1.038,652703	Padrão - SND	Reg.	
29/01/2019	CGEP12	1.009,401930	28,739955	-	1.038,141885	Padrão - SND	Reg.	
28/01/2019	CGEP12	1.009,231110	28,400198	-	1.037,631308	Padrão - SND	Reg.	
25/01/2019	CGEP12	1.009,060340	28,060665	-	1.037,121005	Padrão - SND	Reg.	
24/01/2019	CGEP12	1.008,889570	27,721354	-	1.036,610924	Padrão - SND	Reg.	
23/01/2019	CGEP12	1.008,745060	27,382976	-	1.036,128036	Padrão - SND	Reg.	
22/01/2019	CGEP12	1.008,569990	27,043982	-	1.035,613972	Padrão - SND	Reg.	
21/01/2019	CGEP12	1.008,394960	26,705213	-	1.035,100173	Padrão - SND	Reg.	
18/01/2019	CGEP12	1.008,219950	26,366669	-	1.034,586619	Padrão - SND	Reg.	
17/01/2019	CGEP12	1.008,044970	26,028349	-	1.034,073319	Padrão - SND	Reg.	
16/01/2019	CGEP12	1.007,870030	25,690253	-	1.033,560283	Padrão - SND	Reg.	
15/01/2019	CGEP12	1.007,695110	25,352382	-	1.033,047492	Padrão - SND	Reg.	
14/01/2019	CGEP12	1.007,615610	25,017103	-	1.032,632713	Padrão - SND	Reg.	
11/01/2019	CGEP12	1.007,085950	24,670955	-	1.031,756905	Padrão - SND	Reg.	
10/01/2019	CGEP12	1.007,032970	24,336787	-	1.031,369757	Padrão - SND	Reg.	
09/01/2019	CGEP12	1.006,980010	24,002759	-	1.030,982769	Padrão - SND	Reg.	
08/01/2019	CGEP12	1.006,927030	23,668875	-	1.030,595905	Padrão - SND	Reg.	
07/01/2019	CGEP12	1.006,874070	23,335133	-	1.030,209203	Padrão - SND	Reg.	
04/01/2019	CGEP12	1.006,821100	23,001534	-	1.029,822634	Padrão - SND	Reg.	
03/01/2019	CGEP12	1.006,768130	22,668076	-	1.029,436206	Padrão - SND	Reg.	
02/01/2019	CGEP12	1.006,715180	22,334760	-	1.029,049940	Padrão - SND	Reg.	
31/12/2018	CGEP12	1.006,662210	22,001587	-	1.028,663797	Padrão - SND	Reg.	
28/12/2018	CGEP12	1.006,609270	21,668557	-	1.028,277827	Padrão - SND	Reg.	
27/12/2018	CGEP12	1.006,556310	21,335668	-	1.027,891978	Padrão - SND	Reg.	
26/12/2018	CGEP12	1.006,503370	21,002921	-	1.027,506291	Padrão - SND	Reg.	
24/12/2018	CGEP12	1.006,450420	20,670316	-	1.027,120736	Padrão - SND	Reg.	
21/12/2018	CGEP12	1.006,397480	20,337853	-	1.026,735333	Padrão - SND	Reg.	
20/12/2018	CGEP12	1.006,344530	20,005531	-	1.026,350061	Padrão - SND	Reg.	
19/12/2018	CGEP12	1.006,291590	19,673352	-	1.025,964942	Padrão - SND	Reg.	
18/12/2018	CGEP12	1.006,238660	19,341315	-	1.025,579975	Padrão - SND	Reg.	
