PU Histórico - Gerado em 07/10/2018 00:59:15

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	CLCD11	3.334,000000	101,549149	-	3.435,549149	Padrão - SND	Reg.	
04/10/2018	CLCD11	3.334,000000	100,527478	-	3.434,527478	Padrão - SND	Reg.	
03/10/2018	CLCD11	3.334,000000	99,506131	-	3.433,506131	Padrão - SND	Reg.	
02/10/2018	CLCD11	3.334,000000	98,485080	-	3.432,485080	Padrão - SND	Reg.	
01/10/2018	CLCD11	3.334,000000	97,464332	-	3.431,464332	Padrão - SND	Reg.	
28/09/2018	CLCD11	3.334,000000	96,445149	-	3.430,445148	Padrão - SND	Reg.	
27/09/2018	CLCD11	3.334,000000	95,426265	-	3.429,426265	Padrão - SND	Reg.	
26/09/2018	CLCD11	3.334,000000	94,407674	-	3.428,407674	Padrão - SND	Reg.	
25/09/2018	CLCD11	3.334,000000	93,389417	-	3.427,389417	Padrão - SND	Reg.	
24/09/2018	CLCD11	3.334,000000	92,371454	-	3.426,371454	Padrão - SND	Reg.	
21/09/2018	CLCD11	3.334,000000	91,353787	-	3.425,353787	Padrão - SND	Reg.	
20/09/2018	CLCD11	3.334,000000	90,336417	-	3.424,336417	Padrão - SND	Reg.	
19/09/2018	CLCD11	3.334,000000	89,319344	-	3.423,319344	Padrão - SND	Reg.	
18/09/2018	CLCD11	3.334,000000	88,302567	-	3.422,302567	Padrão - SND	Reg.	
17/09/2018	CLCD11	3.334,000000	87,286120	-	3.421,286120	Padrão - SND	Reg.	
14/09/2018	CLCD11	3.334,000000	86,269967	-	3.420,269967	Padrão - SND	Reg.	
13/09/2018	CLCD11	3.334,000000	85,254111	-	3.419,254111	Padrão - SND	Reg.	
12/09/2018	CLCD11	3.334,000000	84,238551	-	3.418,238551	Padrão - SND	Reg.	
11/09/2018	CLCD11	3.334,000000	83,223288	-	3.417,223288	Padrão - SND	Reg.	
10/09/2018	CLCD11	3.334,000000	82,208352	-	3.416,208352	Padrão - SND	Reg.	
06/09/2018	CLCD11	3.334,000000	81,193682	-	3.415,193682	Padrão - SND	Reg.	
05/09/2018	CLCD11	3.334,000000	80,179339	-	3.414,179339	Padrão - SND	Reg.	
04/09/2018	CLCD11	3.334,000000	79,165293	-	3.413,165293	Padrão - SND	Reg.	
03/09/2018	CLCD11	3.334,000000	78,151541	-	3.412,151541	Padrão - SND	Reg.	
31/08/2018	CLCD11	3.334,000000	77,138118	-	3.411,138118	Padrão - SND	Reg.	
30/08/2018	CLCD11	3.334,000000	76,124962	-	3.410,124962	Padrão - SND	Reg.	
29/08/2018	CLCD11	3.334,000000	75,112133	-	3.409,112133	Padrão - SND	Reg.	
28/08/2018	CLCD11	3.334,000000	74,099597	-	3.408,099597	Padrão - SND	Reg.	
27/08/2018	CLCD11	3.334,000000	73,087325	-	3.407,087325	Padrão - SND	Reg.	
24/08/2018	CLCD11	3.334,000000	72,075382	-	3.406,075382	Padrão - SND	Reg.	
23/08/2018	CLCD11	3.334,000000	71,063770	-	3.405,063770	Padrão - SND	Reg.	
22/08/2018	CLCD11	3.334,000000	70,052414	-	3.404,052414	Padrão - SND	Reg.	
21/08/2018	CLCD11	3.334,000000	69,041392	-	3.403,041392	Padrão - SND	Reg.	
20/08/2018	CLCD11	3.334,000000	68,030630	-	3.402,030630	Padrão - SND	Reg.	
17/08/2018	CLCD11	3.334,000000	67,020201	-	3.401,020201	Padrão - SND	Reg.	
16/08/2018	CLCD11	3.334,000000	66,010063	-	3.400,010063	Padrão - SND	Reg.	
