PU Histórico - Gerado em 17/02/2019 12:16:29

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	CLGP11	1.003,054034	7,060691	-	1.010,114725	Padrão - SND	Reg.	
14/02/2019	CLGP11	1.002,914726	6,686911	-	1.009,601637	Padrão - SND	Reg.	
13/02/2019	CLGP11	1.002,775439	6,313372	-	1.009,088811	Padrão - SND	Reg.	
12/02/2019	CLGP11	1.002,636172	5,940074	-	1.008,576246	Padrão - SND	Reg.	
11/02/2019	CLGP11	1.002,496925	5,567018	-	1.008,063943	Padrão - SND	Reg.	
08/02/2019	CLGP11	1.002,783603	5,196409	-	1.007,980011	Padrão - SND	Reg.	
07/02/2019	CLGP11	1.002,613913	4,823529	-	1.007,437442	Padrão - SND	Reg.	
06/02/2019	CLGP11	1.002,444243	4,450913	-	1.006,895156	Padrão - SND	Reg.	
05/02/2019	CLGP11	1.002,274614	4,078559	-	1.006,353173	Padrão - SND	Reg.	
04/02/2019	CLGP11	1.002,105004	3,706469	-	1.005,811473	Padrão - SND	Reg.	
01/02/2019	CLGP11	1.001,935425	3,334641	-	1.005,270066	Padrão - SND	Reg.	
31/01/2019	CLGP11	1.001,765885	2,963077	-	1.004,728962	Padrão - SND	Reg.	
30/01/2019	CLGP11	1.001,596355	2,591775	-	1.004,188130	Padrão - SND	Reg.	
29/01/2019	CLGP11	1.001,426866	2,220735	-	1.003,647601	Padrão - SND	Reg.	
28/01/2019	CLGP11	1.001,257406	1,849958	-	1.003,107365	Padrão - SND	Reg.	
25/01/2019	CLGP11	1.001,087977	1,479443	-	1.002,567420	Padrão - SND	Reg.	
24/01/2019	CLGP11	1.000,918567	1,109190	-	1.002,027757	Padrão - SND	Reg.	
23/01/2019	CLGP11	1.000,757861	0,739205	-	1.001,497066	Padrão - SND	Reg.	
22/01/2019	CLGP11	1.000,584180	0,369470	-	1.000,953650	Padrão - SND	Reg.	
21/01/2019	CLGP11	1.000,410529	-  	-	1.000,410529	Padrão - SND	Reg.	
18/01/2019	CLGP11	1.003,813840	6,692906	-	1.010,506746	Padrão - SND	Reg.	
17/01/2019	CLGP11	1.003,734650	6,319411	-	1.010,054061	Padrão - SND	Reg.	
16/01/2019	CLGP11	1.003,655460	5,946113	-	1.009,601573	Padrão - SND	Reg.	
15/01/2019	CLGP11	1.003,576280	5,573012	-	1.009,149292	Padrão - SND	Reg.	
14/01/2019	CLGP11	1.003,497120	5,200106	-	1.008,697226	Padrão - SND	Reg.	
11/01/2019	CLGP11	1.003,075090	4,825747	-	1.007,900837	Padrão - SND	Reg.	
10/01/2019	CLGP11	1.003,022320	4,453479	-	1.007,475799	Padrão - SND	Reg.	
09/01/2019	CLGP11	1.002,969560	4,081387	-	1.007,050947	Padrão - SND	Reg.	
08/01/2019	CLGP11	1.002,916800	3,709471	-	1.006,626271	Padrão - SND	Reg.	
07/01/2019	CLGP11	1.002,864040	3,337732	-	1.006,201772	Padrão - SND	Reg.	
04/01/2019	CLGP11	1.002,811290	2,966169	-	1.005,777459	Padrão - SND	Reg.	
03/01/2019	CLGP11	1.002,758530	2,594782	-	1.005,353312	Padrão - SND	Reg.	
02/01/2019	CLGP11	1.002,705790	2,223571	-	1.004,929361	Padrão - SND	Reg.	
31/12/2018	CLGP11	1.002,653040	1,852537	-	1.004,505577	Padrão - SND	Reg.	
28/12/2018	CLGP11	1.002,600300	1,481678	-	1.004,081978	Padrão - SND	Reg.	
27/12/2018	CLGP11	1.002,547550	1,110994	-	1.003,658544	Padrão - SND	Reg.	
26/12/2018	CLGP11	1.002,494820	0,740488	-	1.003,235308	Padrão - SND	Reg.	
24/12/2018	CLGP11	1.002,442080	0,370156	-	1.002,812236	Padrão - SND	Reg.	
21/12/2018	CLGP11	1.002,389350	-  	-	1.002,389350	Padrão - SND	Reg.	
20/12/2018	CLGP11	1.002,485160	7,802379	-	1.010,287539	Padrão - SND	Reg.	
19/12/2018	CLGP11	1.002,580980	7,430174	-	1.010,011154	Padrão - SND	Reg.	
18/12/2018	CLGP11	1.002,676810	7,058036	-	1.009,734846	Padrão - SND	Reg.	
17/12/2018	CLGP11	1.002,772640	6,685964	-	1.009,458604	Padrão - SND	Reg.	
14/12/2018	CLGP11	1.002,868490	6,313958	-	1.009,182448	Padrão - SND	Reg.	
13/12/2018	CLGP11	1.002,964340	5,942018	-	1.008,906358	Padrão - SND	Reg.	
12/12/2018	CLGP11	1.003,060210	5,570145	-	1.008,630355	Padrão - SND	Reg.	
11/12/2018	CLGP11	1.003,156080	5,198339	-	1.008,354419	Padrão - SND	Reg.	
10/12/2018	CLGP11	1.003,251960	4,826598	-	1.008,078558	Padrão - SND	Reg.	
07/12/2018	CLGP11	1.004,060840	4,458090	-	1.008,518930	Padrão - SND	Reg.	
06/12/2018	CLGP11	1.004,097360	4,085976	-	1.008,183336	Padrão - SND	Reg.	
05/12/2018	CLGP11	1.004,133900	3,713973	-	1.007,847873	Padrão - SND	Reg.	
04/12/2018	CLGP11	1.004,170420	3,342080	-	1.007,512500	Padrão - SND	Reg.	
03/12/2018	CLGP11	1.004,206960	2,970298	-	1.007,177258	Padrão - SND	Reg.	
30/11/2018	CLGP11	1.004,243490	2,598625	-	1.006,842115	Padrão - SND	Reg.	
29/11/2018	CLGP11	1.004,280020	2,227062	-	1.006,507082	Padrão - SND	Reg.	
28/11/2018	CLGP11	1.004,316560	1,855610	-	1.006,172170	Padrão - SND	Reg.	
27/11/2018	CLGP11	1.004,353090	1,484268	-	1.005,837358	Padrão - SND	Reg.	
26/11/2018	CLGP11	1.004,389630	1,113035	-	1.005,502665	Padrão - SND	Reg.	
23/11/2018	CLGP11	1.004,453580	0,741935	-	1.005,195515	Padrão - SND	Reg.	
22/11/2018	CLGP11	1.004,476410	0,370907	-	1.004,847317	Padrão - SND	Reg.	
21/11/2018	CLGP11	1.004,499260	-  	-	1.004,499260	Padrão - SND	Reg.	
20/11/2018	CLGP11	1.004,273820	7,069277	-	1.011,343097	Padrão - SND	Reg.	
19/11/2018	CLGP11	1.004,048420	6,694470	-	1.010,742890	Padrão - SND	Reg.	
16/11/2018	CLGP11	1.003,823080	6,319968	-	1.010,143048	Padrão - SND	Reg.	
14/11/2018	CLGP11	1.003,597790	5,945771	-	1.009,543561	Padrão - SND	Reg.	
13/11/2018	CLGP11	1.003,372550	5,571879	-	1.008,944429	Padrão - SND	Reg.	
12/11/2018	CLGP11	1.003,147360	5,198294	-	1.008,345654	Padrão - SND	Reg.	
09/11/2018	CLGP11	1.002,922220	4,825012	-	1.007,747232	Padrão - SND	Reg.	
08/11/2018	CLGP11	1.002,697130	4,452034	-	1.007,149164	Padrão - SND	Reg.	
07/11/2018	CLGP11	1.002,966400	4,081374	-	1.007,047774	Padrão - SND	Reg.	
06/11/2018	CLGP11	1.002,696360	3,708656	-	1.006,405016	Padrão - SND	Reg.	
05/11/2018	CLGP11	1.002,426400	3,336276	-	1.005,762676	Padrão - SND	Reg.	
01/11/2018	CLGP11	1.002,156510	2,964232	-	1.005,120742	Padrão - SND	Reg.	
31/10/2018	CLGP11	1.001,886690	2,592526	-	1.004,479216	Padrão - SND	Reg.	
30/10/2018	CLGP11	1.001,616940	2,221157	-	1.003,838097	Padrão - SND	Reg.	
29/10/2018	CLGP11	1.001,347270	1,850124	-	1.003,197394	Padrão - SND	Reg.	
26/10/2018	CLGP11	1.001,077670	1,479428	-	1.002,557098	Padrão - SND	Reg.	
25/10/2018	CLGP11	1.000,808140	1,109067	-	1.001,917207	Padrão - SND	Reg.	
24/10/2018	CLGP11	1.000,538690	0,739043	-	1.001,277733	Padrão - SND	Reg.	
23/10/2018	CLGP11	1.000,244430	0,369344	-	1.000,613774	Padrão - SND	Reg.	
22/10/2018	CLGP11	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
19/10/2018	CLGP11	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
