PU Histórico - Gerado em 07/10/2018 00:59:42

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	CMTG12	5.833,676710	16,617403	-	5.850,294113	Padrão - SND	Reg.	
04/10/2018	CMTG12	5.833,676710	14,767136	-	5.848,443846	Padrão - SND	Reg.	
03/10/2018	CMTG12	5.833,676710	12,917452	-	5.846,594162	Padrão - SND	Reg.	
02/10/2018	CMTG12	5.833,676710	11,068351	-	5.844,745062	Padrão - SND	Reg.	
01/10/2018	CMTG12	5.833,676710	9,219893	-	5.842,896603	Padrão - SND	Reg.	
28/09/2018	CMTG12	5.833,676710	7,374759	-	5.841,051469	Padrão - SND	Reg.	
27/09/2018	CMTG12	5.833,676710	5,530151	-	5.839,206861	Padrão - SND	Reg.	
26/09/2018	CMTG12	5.833,676710	3,686184	-	5.837,362894	Padrão - SND	Reg.	
25/09/2018	CMTG12	5.833,676710	1,842800	-	5.835,519510	Padrão - SND	Reg.	
24/09/2018	CMTG12	5.833,676710	-  	-	5.833,676710	Padrão - SND	Reg.	
21/09/2018	CMTG12	6.667,059097	44,367412	-	6.711,426509	Padrão - SND	Reg.	
20/09/2018	CMTG12	6.667,059097	42,248020	-	6.709,307117	Padrão - SND	Reg.	
19/09/2018	CMTG12	6.667,059097	40,129229	-	6.707,188326	Padrão - SND	Reg.	
18/09/2018	CMTG12	6.667,059097	38,011171	-	6.705,070268	Padrão - SND	Reg.	
17/09/2018	CMTG12	6.667,059097	35,893779	-	6.702,952877	Padrão - SND	Reg.	
14/09/2018	CMTG12	6.667,059097	33,777055	-	6.700,836152	Padrão - SND	Reg.	
13/09/2018	CMTG12	6.667,059097	31,660997	-	6.698,720094	Padrão - SND	Reg.	
12/09/2018	CMTG12	6.667,059097	29,545539	-	6.696,604636	Padrão - SND	Reg.	
11/09/2018	CMTG12	6.667,059097	27,430815	-	6.694,489912	Padrão - SND	Reg.	
10/09/2018	CMTG12	6.667,059097	25,316757	-	6.692,375854	Padrão - SND	Reg.	
06/09/2018	CMTG12	6.667,059097	23,203366	-	6.690,262463	Padrão - SND	Reg.	
05/09/2018	CMTG12	6.667,059097	21,090641	-	6.688,149739	Padrão - SND	Reg.	
04/09/2018	CMTG12	6.667,059097	18,978584	-	6.686,037681	Padrão - SND	Reg.	
03/09/2018	CMTG12	6.667,059097	16,867193	-	6.683,926290	Padrão - SND	Reg.	
31/08/2018	CMTG12	6.667,059097	14,756469	-	6.681,815566	Padrão - SND	Reg.	
30/08/2018	CMTG12	6.667,059097	12,646411	-	6.679,705508	Padrão - SND	Reg.	
29/08/2018	CMTG12	6.667,059097	10,537020	-	6.677,596117	Padrão - SND	Reg.	
28/08/2018	CMTG12	6.667,059097	8,428296	-	6.675,487393	Padrão - SND	Reg.	
27/08/2018	CMTG12	6.667,059097	6,320172	-	6.673,379269	Padrão - SND	Reg.	
24/08/2018	CMTG12	6.667,059097	4,212781	-	6.671,271878	Padrão - SND	Reg.	
23/08/2018	CMTG12	6.667,059097	2,106057	-	6.669,165154	Padrão - SND	Reg.	
22/08/2018	CMTG12	6.667,059097	-  	-	6.667,059097	Padrão - SND	Reg.	
21/08/2018	CMTG12	7.500,347730	49,912714	-	7.550,260444	Padrão - SND	Reg.	
20/08/2018	CMTG12	7.500,347730	47,528428	-	7.547,876159	Padrão - SND	Reg.	
17/08/2018	CMTG12	7.500,347730	45,144818	-	7.545,492548	Padrão - SND	Reg.	
16/08/2018	CMTG12	7.500,347730	42,762033	-	7.543,109763	Padrão - SND	Reg.	
15/08/2018	CMTG12	7.500,347730	40,379997	-	7.540,727727	Padrão - SND	Reg.	
14/08/2018	CMTG12	7.500,347730	37,998712	-	7.538,346442	Padrão - SND	Reg.	
13/08/2018	CMTG12	7.500,347730	35,618176	-	7.535,965906	Padrão - SND	Reg.	
10/08/2018	CMTG12	7.500,347730	33,238316	-	7.533,586046	Padrão - SND	Reg.	
09/08/2018	CMTG12	7.500,347730	30,859281	-	7.531,207011	Padrão - SND	Reg.	
08/08/2018	CMTG12	7.500,347730	28,480995	-	7.528,828725	Padrão - SND	Reg.	
07/08/2018	CMTG12	7.500,347730	26,103460	-	7.526,451190	Padrão - SND	Reg.	
06/08/2018	CMTG12	7.500,347730	23,726675	-	7.524,074405	Padrão - SND	Reg.	
03/08/2018	CMTG12	7.500,347730	21,350640	-	7.521,698370	Padrão - SND	Reg.	
02/08/2018	CMTG12	7.500,347730	18,975355	-	7.519,323085	Padrão - SND	Reg.	
01/08/2018	CMTG12	7.500,347730	16,600820	-	7.516,948550	Padrão - SND	Reg.	
31/07/2018	CMTG12	7.500,347730	14,227035	-	7.514,574765	Padrão - SND	Reg.	
30/07/2018	CMTG12	7.500,347730	11,854000	-	7.512,201730	Padrão - SND	Reg.	
27/07/2018	CMTG12	7.500,347730	9,481715	-	7.509,829445	Padrão - SND	Reg.	
26/07/2018	CMTG12	7.500,347730	7,110105	-	7.507,457835	Padrão - SND	Reg.	
25/07/2018	CMTG12	7.500,347730	4,739320	-	7.505,087050	Padrão - SND	Reg.	
24/07/2018	CMTG12	7.500,347730	2,369285	-	7.502,717015	Padrão - SND	Reg.	
23/07/2018	CMTG12	7.500,347730	-  	-	7.500,347730	Padrão - SND	Reg.	
20/07/2018	CMTG12	8.333,719700	52,809365	-	8.386,529065	Padrão - SND	Reg.	
19/07/2018	CMTG12	8.333,719700	50,160909	-	8.383,880609	Padrão - SND	Reg.	
18/07/2018	CMTG12	8.333,719700	47,513369	-	8.381,233069	Padrão - SND	Reg.	
17/07/2018	CMTG12	8.333,719700	44,866663	-	8.378,586363	Padrão - SND	Reg.	
16/07/2018	CMTG12	8.333,719700	42,220791	-	8.375,940491	Padrão - SND	Reg.	
13/07/2018	CMTG12	8.333,719700	39,575751	-	8.373,295451	Padrão - SND	Reg.	
12/07/2018	CMTG12	8.333,719700	36,931462	-	8.370,651162	Padrão - SND	Reg.	
11/07/2018	CMTG12	8.333,719700	34,288090	-	8.368,007790	Padrão - SND	Reg.	
10/07/2018	CMTG12	8.333,719700	31,645550	-	8.365,365250	Padrão - SND	Reg.	
09/07/2018	CMTG12	8.333,719700	29,003845	-	8.362,723545	Padrão - SND	Reg.	
06/07/2018	CMTG12	8.333,719700	26,362972	-	8.360,082672	Padrão - SND	Reg.	
05/07/2018	CMTG12	8.333,719700	23,722933	-	8.357,442633	Padrão - SND	Reg.	
04/07/2018	CMTG12	8.333,719700	21,083727	-	8.354,803427	Padrão - SND	Reg.	
03/07/2018	CMTG12	8.333,719700	18,445355	-	8.352,165055	Padrão - SND	Reg.	
02/07/2018	CMTG12	8.333,719700	15,807816	-	8.349,527516	Padrão - SND	Reg.	
29/06/2018	CMTG12	8.333,719700	13,171111	-	8.346,890811	Padrão - SND	Reg.	
28/06/2018	CMTG12	8.333,719700	10,535238	-	8.344,254938	Padrão - SND	Reg.	
27/06/2018	CMTG12	8.333,719700	7,900116	-	8.341,619816	Padrão - SND	Reg.	
26/06/2018	CMTG12	8.333,719700	5,265911	-	8.338,985611	Padrão - SND	Reg.	
25/06/2018	CMTG12	8.333,719700	2,632539	-	8.336,352239	Padrão - SND	Reg.	
22/06/2018	CMTG12	8.333,719700	-  	-	8.333,719700	Padrão - SND	Reg.	
21/06/2018	CMTG12	9.167,000000	61,003818	-	9.228,003818	Padrão - SND	Reg.	
20/06/2018	CMTG12	9.167,000000	58,089721	-	9.225,089721	Padrão - SND	Reg.	
19/06/2018	CMTG12	9.167,000000	55,176448	-	9.222,176448	Padrão - SND	Reg.	
18/06/2018	CMTG12	9.167,000000	52,264184	-	9.219,264184	Padrão - SND	Reg.	
15/06/2018	CMTG12	9.167,000000	49,352836	-	9.216,352836	Padrão - SND	Reg.	
14/06/2018	CMTG12	9.167,000000	46,442405	-	9.213,442405	Padrão - SND	Reg.	
13/06/2018	CMTG12	9.167,000000	43,532891	-	9.210,532891	Padrão - SND	Reg.	
12/06/2018	CMTG12	9.167,000000	40,624202	-	9.207,624202	Padrão - SND	Reg.	
11/06/2018	CMTG12	9.167,000000	37,716521	-	9.204,716521	Padrão - SND	Reg.	
08/06/2018	CMTG12	9.167,000000	34,809757	-	9.201,809757	Padrão - SND	Reg.	
07/06/2018	CMTG12	9.167,000000	31,903910	-	9.198,903910	Padrão - SND	Reg.	
06/06/2018	CMTG12	9.167,000000	28,998979	-	9.195,998979	Padrão - SND	Reg.	
05/06/2018	CMTG12	9.167,000000	26,094966	-	9.193,094966	Padrão - SND	Reg.	
04/06/2018	CMTG12	9.167,000000	23,191868	-	9.190,191868	Padrão - SND	Reg.	
01/06/2018	CMTG12	9.167,000000	20,289688	-	9.187,289688	Padrão - SND	Reg.	
30/05/2018	CMTG12	9.167,000000	17,388424	-	9.184,388424	Padrão - SND	Reg.	
29/05/2018	CMTG12	9.167,000000	14,488077	-	9.181,488077	Padrão - SND	Reg.	
28/05/2018	CMTG12	9.167,000000	11,588646	-	9.178,588646	Padrão - SND	Reg.	
25/05/2018	CMTG12	9.167,000000	8,690041	-	9.175,690041	Padrão - SND	Reg.	
24/05/2018	CMTG12	9.167,000000	5,792444	-	9.172,792444	Padrão - SND	Reg.	
23/05/2018	CMTG12	9.167,000000	2,895764	-	9.169,895764	Padrão - SND	Reg.	
22/05/2018	CMTG12	9.167,000000	-  	-	9.167,000000	Padrão - SND	Reg.	
21/05/2018	CMTG12	10.000,000000	60,190300	-	10.060,190300	Padrão - SND	Reg.	
18/05/2018	CMTG12	10.000,000000	57,013400	-	10.057,013400	Padrão - SND	Reg.	
17/05/2018	CMTG12	10.000,000000	53,837500	-	10.053,837500	Padrão - SND	Reg.	
16/05/2018	CMTG12	10.000,000000	50,662600	-	10.050,662600	Padrão - SND	Reg.	
15/05/2018	CMTG12	10.000,000000	47,488700	-	10.047,488700	Padrão - SND	Reg.	
14/05/2018	CMTG12	10.000,000000	44,315700	-	10.044,315700	Padrão - SND	Reg.	
11/05/2018	CMTG12	10.000,000000	41,143800	-	10.041,143800	Padrão - SND	Reg.	
10/05/2018	CMTG12	10.000,000000	37,972900	-	10.037,972900	Padrão - SND	Reg.	
09/05/2018	CMTG12	10.000,000000	34,803000	-	10.034,803000	Padrão - SND	Reg.	
08/05/2018	CMTG12	10.000,000000	31,634100	-	10.031,634100	Padrão - SND	Reg.	
07/05/2018	CMTG12	10.000,000000	28,466200	-	10.028,466200	Padrão - SND	Reg.	
04/05/2018	CMTG12	10.000,000000	25,299300	-	10.025,299300	Padrão - SND	Reg.	
03/05/2018	CMTG12	10.000,000000	22,133400	-	10.022,133400	Padrão - SND	Reg.	
02/05/2018	CMTG12	10.000,000000	18,968500	-	10.018,968500	Padrão - SND	Reg.	
30/04/2018	CMTG12	10.000,000000	15,804600	-	10.015,804600	Padrão - SND	Reg.	
27/04/2018	CMTG12	10.000,000000	12,641700	-	10.012,641700	Padrão - SND	Reg.	
26/04/2018	CMTG12	10.000,000000	9,479700	-	10.009,479700	Padrão - SND	Reg.	
25/04/2018	CMTG12	10.000,000000	6,318800	-	10.006,318800	Padrão - SND	Reg.	
24/04/2018	CMTG12	10.000,000000	3,158900	-	10.003,158900	Padrão - SND	Reg.	
23/04/2018	CMTG12	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
20/04/2018	CMTG12	10.000,000000	63,368300	-	10.063,368300	Padrão - SND	Reg.	
19/04/2018	CMTG12	10.000,000000	60,190300	-	10.060,190300	Padrão - SND	Reg.	
18/04/2018	CMTG12	10.000,000000	57,013400	-	10.057,013400	Padrão - SND	Reg.	
17/04/2018	CMTG12	10.000,000000	53,837500	-	10.053,837500	Padrão - SND	Reg.	
16/04/2018	CMTG12	10.000,000000	50,662600	-	10.050,662600	Padrão - SND	Reg.	
13/04/2018	CMTG12	10.000,000000	47,488700	-	10.047,488700	Padrão - SND	Reg.	
12/04/2018	CMTG12	10.000,000000	44,315700	-	10.044,315700	Padrão - SND	Reg.	
11/04/2018	CMTG12	10.000,000000	41,143800	-	10.041,143800	Padrão - SND	Reg.	
10/04/2018	CMTG12	10.000,000000	37,972900	-	10.037,972900	Padrão - SND	Reg.	
09/04/2018	CMTG12	10.000,000000	34,803000	-	10.034,803000	Padrão - SND	Reg.	
06/04/2018	CMTG12	10.000,000000	31,634100	-	10.031,634100	Padrão - SND	Reg.	
05/04/2018	CMTG12	10.000,000000	28,466200	-	10.028,466200	Padrão - SND	Reg.	
04/04/2018	CMTG12	10.000,000000	25,299300	-	10.025,299300	Padrão - SND	Reg.	
03/04/2018	CMTG12	10.000,000000	22,133400	-	10.022,133400	Padrão - SND	Reg.	
02/04/2018	CMTG12	10.000,000000	18,968500	-	10.018,968500	Padrão - SND	Reg.	
29/03/2018	CMTG12	10.000,000000	15,804600	-	10.015,804600	Padrão - SND	Reg.	
28/03/2018	CMTG12	10.000,000000	12,641700	-	10.012,641700	Padrão - SND	Reg.	
27/03/2018	CMTG12	10.000,000000	9,479700	-	10.009,479700	Padrão - SND	Reg.	
26/03/2018	CMTG12	10.000,000000	6,318800	-	10.006,318800	Padrão - SND	Reg.	
23/03/2018	CMTG12	10.000,000000	3,158900	-	10.003,158900	Padrão - SND	Reg.	
22/03/2018	CMTG12	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
21/03/2018	CMTG12	10.000,000000	62,479000	-	10.062,479000	Padrão - SND	Reg.	
20/03/2018	CMTG12	10.000,000000	59,181000	-	10.059,181000	Padrão - SND	Reg.	
19/03/2018	CMTG12	10.000,000000	55,884000	-	10.055,884000	Padrão - SND	Reg.	
16/03/2018	CMTG12	10.000,000000	52,588000	-	10.052,588000	Padrão - SND	Reg.	
15/03/2018	CMTG12	10.000,000000	49,293200	-	10.049,293200	Padrão - SND	Reg.	
14/03/2018	CMTG12	10.000,000000	45,999400	-	10.045,999400	Padrão - SND	Reg.	
13/03/2018	CMTG12	10.000,000000	42,706800	-	10.042,706800	Padrão - SND	Reg.	
12/03/2018	CMTG12	10.000,000000	39,415200	-	10.039,415200	Padrão - SND	Reg.	
09/03/2018	CMTG12	10.000,000000	36,124600	-	10.036,124600	Padrão - SND	Reg.	
08/03/2018	CMTG12	10.000,000000	32,835200	-	10.032,835200	Padrão - SND	Reg.	
07/03/2018	CMTG12	10.000,000000	29,546800	-	10.029,546800	Padrão - SND	Reg.	
06/03/2018	CMTG12	10.000,000000	26,259500	-	10.026,259500	Padrão - SND	Reg.	
05/03/2018	CMTG12	10.000,000000	22,973300	-	10.022,973300	Padrão - SND	Reg.	
02/03/2018	CMTG12	10.000,000000	19,688200	-	10.019,688200	Padrão - SND	Reg.	
01/03/2018	CMTG12	10.000,000000	16,404100	-	10.016,404100	Padrão - SND	Reg.	
28/02/2018	CMTG12	10.000,000000	13,121200	-	10.013,121200	Padrão - SND	Reg.	
27/02/2018	CMTG12	10.000,000000	9,839300	-	10.009,839300	Padrão - SND	Reg.	
26/02/2018	CMTG12	10.000,000000	6,558400	-	10.006,558400	Padrão - SND	Reg.	
23/02/2018	CMTG12	10.000,000000	3,278700	-	10.003,278700	Padrão - SND	Reg.	
22/02/2018	CMTG12	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
21/02/2018	CMTG12	10.000,000000	67,339900	-	10.067,339900	Padrão - SND	Reg.	
20/02/2018	CMTG12	10.000,000000	64,040200	-	10.064,040200	Padrão - SND	Reg.	
19/02/2018	CMTG12	10.000,000000	60,741600	-	10.060,741600	Padrão - SND	Reg.	
16/02/2018	CMTG12	10.000,000000	57,444100	-	10.057,444100	Padrão - SND	Reg.	
15/02/2018	CMTG12	10.000,000000	54,147700	-	10.054,147700	Padrão - SND	Reg.	
14/02/2018	CMTG12	10.000,000000	50,852300	-	10.050,852300	Padrão - SND	Reg.	
09/02/2018	CMTG12	10.000,000000	47,558100	-	10.047,558100	Padrão - SND	Reg.	
08/02/2018	CMTG12	10.000,000000	44,264900	-	10.044,264900	Padrão - SND	Reg.	
07/02/2018	CMTG12	10.000,000000	40,852900	-	10.040,852900	Padrão - SND	Reg.	
06/02/2018	CMTG12	10.000,000000	37,442200	-	10.037,442200	Padrão - SND	Reg.	
05/02/2018	CMTG12	10.000,000000	34,032500	-	10.034,032500	Padrão - SND	Reg.	
02/02/2018	CMTG12	10.000,000000	30,624100	-	10.030,624100	Padrão - SND	Reg.	
