PU Histórico - Gerado em 07/10/2018 00:59:58

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	CNLM25	1.021,135450	10,019082	-	1.031,154532	Padrão - SND	Reg.	
04/10/2018	CNLM25	1.021,183780	9,739912	-	1.030,923692	Padrão - SND	Reg.	
03/10/2018	CNLM25	1.021,232130	9,460792	-	1.030,692922	Padrão - SND	Reg.	
02/10/2018	CNLM25	1.021,280480	9,181721	-	1.030,462201	Padrão - SND	Reg.	
01/10/2018	CNLM25	1.021,328820	8,902700	-	1.030,231520	Padrão - SND	Reg.	
28/09/2018	CNLM25	1.021,377170	8,623727	-	1.030,000897	Padrão - SND	Reg.	
27/09/2018	CNLM25	1.021,425520	8,344804	-	1.029,770324	Padrão - SND	Reg.	
26/09/2018	CNLM25	1.021,473880	8,065931	-	1.029,539811	Padrão - SND	Reg.	
25/09/2018	CNLM25	1.021,522230	7,787106	-	1.029,309336	Padrão - SND	Reg.	
24/09/2018	CNLM25	1.021,570580	7,508331	-	1.029,078911	Padrão - SND	Reg.	
21/09/2018	CNLM25	1.021,618940	7,229606	-	1.028,848546	Padrão - SND	Reg.	
20/09/2018	CNLM25	1.021,667310	6,950929	-	1.028,618239	Padrão - SND	Reg.	
19/09/2018	CNLM25	1.021,715670	6,672302	-	1.028,387972	Padrão - SND	Reg.	
18/09/2018	CNLM25	1.021,764040	6,393724	-	1.028,157764	Padrão - SND	Reg.	
17/09/2018	CNLM25	1.021,812410	6,115196	-	1.027,927606	Padrão - SND	Reg.	
14/09/2018	CNLM25	1.021,854190	5,836678	-	1.027,690868	Padrão - SND	Reg.	
13/09/2018	CNLM25	1.021,895970	5,558214	-	1.027,454184	Padrão - SND	Reg.	
12/09/2018	CNLM25	1.021,937750	5,279803	-	1.027,217553	Padrão - SND	Reg.	
11/09/2018	CNLM25	1.021,979530	5,001444	-	1.026,980974	Padrão - SND	Reg.	
10/09/2018	CNLM25	1.022,021310	4,723138	-	1.026,744448	Padrão - SND	Reg.	
06/09/2018	CNLM25	1.025,185800	4,458465	-	1.029,644265	Padrão - SND	Reg.	
05/09/2018	CNLM25	1.025,032260	4,178618	-	1.029,210878	Padrão - SND	Reg.	
