PU Histórico - Gerado em 07/10/2018 01:00:46

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	CPLD13	10.000,000000	369,010600	-	10.369,010600	Padrão - SND	Reg.	
04/10/2018	CPLD13	10.000,000000	365,795000	-	10.365,795000	Padrão - SND	Reg.	
03/10/2018	CPLD13	10.000,000000	362,580400	-	10.362,580400	Padrão - SND	Reg.	
02/10/2018	CPLD13	10.000,000000	359,366800	-	10.359,366800	Padrão - SND	Reg.	
01/10/2018	CPLD13	10.000,000000	356,154200	-	10.356,154200	Padrão - SND	Reg.	
28/09/2018	CPLD13	10.000,000000	352,947400	-	10.352,947400	Padrão - SND	Reg.	
27/09/2018	CPLD13	10.000,000000	349,741600	-	10.349,741600	Padrão - SND	Reg.	
26/09/2018	CPLD13	10.000,000000	346,536800	-	10.346,536800	Padrão - SND	Reg.	
25/09/2018	CPLD13	10.000,000000	343,333000	-	10.343,333000	Padrão - SND	Reg.	
24/09/2018	CPLD13	10.000,000000	340,130200	-	10.340,130200	Padrão - SND	Reg.	
21/09/2018	CPLD13	10.000,000000	336,928400	-	10.336,928400	Padrão - SND	Reg.	
20/09/2018	CPLD13	10.000,000000	333,727500	-	10.333,727500	Padrão - SND	Reg.	
19/09/2018	CPLD13	10.000,000000	330,527700	-	10.330,527700	Padrão - SND	Reg.	
18/09/2018	CPLD13	10.000,000000	327,328900	-	10.327,328900	Padrão - SND	Reg.	
17/09/2018	CPLD13	10.000,000000	324,131000	-	10.324,131000	Padrão - SND	Reg.	
14/09/2018	CPLD13	10.000,000000	320,934100	-	10.320,934100	Padrão - SND	Reg.	
13/09/2018	CPLD13	10.000,000000	317,738300	-	10.317,738300	Padrão - SND	Reg.	
12/09/2018	CPLD13	10.000,000000	314,543400	-	10.314,543400	Padrão - SND	Reg.	
11/09/2018	CPLD13	10.000,000000	311,349500	-	10.311,349500	Padrão - SND	Reg.	
10/09/2018	CPLD13	10.000,000000	308,156600	-	10.308,156600	Padrão - SND	Reg.	
06/09/2018	CPLD13	10.000,000000	304,964600	-	10.304,964600	Padrão - SND	Reg.	
05/09/2018	CPLD13	10.000,000000	301,773700	-	10.301,773700	Padrão - SND	Reg.	
04/09/2018	CPLD13	10.000,000000	298,583800	-	10.298,583800	Padrão - SND	Reg.	
03/09/2018	CPLD13	10.000,000000	295,394800	-	10.295,394800	Padrão - SND	Reg.	
31/08/2018	CPLD13	10.000,000000	292,206800	-	10.292,206800	Padrão - SND	Reg.	
30/08/2018	CPLD13	10.000,000000	289,019900	-	10.289,019900	Padrão - SND	Reg.	
29/08/2018	CPLD13	10.000,000000	285,833900	-	10.285,833900	Padrão - SND	Reg.	
28/08/2018	CPLD13	10.000,000000	282,648900	-	10.282,648900	Padrão - SND	Reg.	
27/08/2018	CPLD13	10.000,000000	279,464800	-	10.279,464800	Padrão - SND	Reg.	
24/08/2018	CPLD13	10.000,000000	276,281800	-	10.276,281800	Padrão - SND	Reg.	
23/08/2018	CPLD13	10.000,000000	273,099800	-	10.273,099800	Padrão - SND	Reg.	
22/08/2018	CPLD13	10.000,000000	269,918700	-	10.269,918700	Padrão - SND	Reg.	
21/08/2018	CPLD13	10.000,000000	266,738600	-	10.266,738600	Padrão - SND	Reg.	
20/08/2018	CPLD13	10.000,000000	263,559500	-	10.263,559500	Padrão - SND	Reg.	
17/08/2018	CPLD13	10.000,000000	260,381400	-	10.260,381400	Padrão - SND	Reg.	
16/08/2018	CPLD13	10.000,000000	257,204300	-	10.257,204300	Padrão - SND	Reg.	
15/08/2018	CPLD13	10.000,000000	254,028100	-	10.254,028100	Padrão - SND	Reg.	
14/08/2018	CPLD13	10.000,000000	250,853000	-	10.250,853000	Padrão - SND	Reg.	
13/08/2018	CPLD13	10.000,000000	247,678800	-	10.247,678800	Padrão - SND	Reg.	
10/08/2018	CPLD13	10.000,000000	244,505600	-	10.244,505600	Padrão - SND	Reg.	
09/08/2018	CPLD13	10.000,000000	241,333400	-	10.241,333400	Padrão - SND	Reg.	
08/08/2018	CPLD13	10.000,000000	238,162200	-	10.238,162200	Padrão - SND	Reg.	
07/08/2018	CPLD13	10.000,000000	234,991900	-	10.234,991900	Padrão - SND	Reg.	
06/08/2018	CPLD13	10.000,000000	231,822700	-	10.231,822700	Padrão - SND	Reg.	
03/08/2018	CPLD13	10.000,000000	228,654400	-	10.228,654400	Padrão - SND	Reg.	
02/08/2018	CPLD13	10.000,000000	225,487100	-	10.225,487100	Padrão - SND	Reg.	
01/08/2018	CPLD13	10.000,000000	222,320800	-	10.222,320800	Padrão - SND	Reg.	
31/07/2018	CPLD13	10.000,000000	219,155400	-	10.219,155400	Padrão - SND	Reg.	
30/07/2018	CPLD13	10.000,000000	215,991100	-	10.215,991100	Padrão - SND	Reg.	
27/07/2018	CPLD13	10.000,000000	212,827700	-	10.212,827700	Padrão - SND	Reg.	
26/07/2018	CPLD13	10.000,000000	209,665300	-	10.209,665300	Padrão - SND	Reg.	
25/07/2018	CPLD13	10.000,000000	206,503900	-	10.206,503900	Padrão - SND	Reg.	
24/07/2018	CPLD13	10.000,000000	203,343400	-	10.203,343400	Padrão - SND	Reg.	
23/07/2018	CPLD13	10.000,000000	200,184000	-	10.200,184000	Padrão - SND	Reg.	
20/07/2018	CPLD13	10.000,000000	197,025500	-	10.197,025500	Padrão - SND	Reg.	
19/07/2018	CPLD13	10.000,000000	193,868000	-	10.193,868000	Padrão - SND	Reg.	
18/07/2018	CPLD13	10.000,000000	190,711400	-	10.190,711400	Padrão - SND	Reg.	
17/07/2018	CPLD13	10.000,000000	187,555900	-	10.187,555900	Padrão - SND	Reg.	
