PU Histórico - Gerado em 17/02/2019 12:16:48

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	CRFB22	1.000,000000	7,329830	-	1.007,329830	Padrão - SND	Reg.	
14/02/2019	CRFB22	1.000,000000	7,076180	-	1.007,076180	Padrão - SND	Reg.	
13/02/2019	CRFB22	1.000,000000	6,822600	-	1.006,822600	Padrão - SND	Reg.	
12/02/2019	CRFB22	1.000,000000	6,569090	-	1.006,569090	Padrão - SND	Reg.	
11/02/2019	CRFB22	1.000,000000	6,315630	-	1.006,315630	Padrão - SND	Reg.	
08/02/2019	CRFB22	1.000,000000	6,062240	-	1.006,062240	Padrão - SND	Reg.	
07/02/2019	CRFB22	1.000,000000	5,808920	-	1.005,808920	Padrão - SND	Reg.	
06/02/2019	CRFB22	1.000,000000	5,555660	-	1.005,555660	Padrão - SND	Reg.	
05/02/2019	CRFB22	1.000,000000	5,302460	-	1.005,302460	Padrão - SND	Reg.	
04/02/2019	CRFB22	1.000,000000	5,049320	-	1.005,049320	Padrão - SND	Reg.	
01/02/2019	CRFB22	1.000,000000	4,796250	-	1.004,796250	Padrão - SND	Reg.	
31/01/2019	CRFB22	1.000,000000	4,543250	-	1.004,543250	Padrão - SND	Reg.	
30/01/2019	CRFB22	1.000,000000	4,290300	-	1.004,290300	Padrão - SND	Reg.	
29/01/2019	CRFB22	1.000,000000	4,037420	-	1.004,037420	Padrão - SND	Reg.	
28/01/2019	CRFB22	1.000,000000	3,784610	-	1.003,784610	Padrão - SND	Reg.	
25/01/2019	CRFB22	1.000,000000	3,531850	-	1.003,531850	Padrão - SND	Reg.	
24/01/2019	CRFB22	1.000,000000	3,279170	-	1.003,279170	Padrão - SND	Reg.	
23/01/2019	CRFB22	1.000,000000	3,026540	-	1.003,026540	Padrão - SND	Reg.	
22/01/2019	CRFB22	1.000,000000	2,773980	-	1.002,773980	Padrão - SND	Reg.	
21/01/2019	CRFB22	1.000,000000	2,521480	-	1.002,521480	Padrão - SND	Reg.	
18/01/2019	CRFB22	1.000,000000	2,269050	-	1.002,269050	Padrão - SND	Reg.	
17/01/2019	CRFB22	1.000,000000	2,016680	-	1.002,016680	Padrão - SND	Reg.	
16/01/2019	CRFB22	1.000,000000	1,764370	-	1.001,764370	Padrão - SND	Reg.	
15/01/2019	CRFB22	1.000,000000	1,512130	-	1.001,512130	Padrão - SND	Reg.	
14/01/2019	CRFB22	1.000,000000	1,259950	-	1.001,259950	Padrão - SND	Reg.	
11/01/2019	CRFB22	1.000,000000	1,007830	-	1.001,007830	Padrão - SND	Reg.	
10/01/2019	CRFB22	1.000,000000	0,755780	-	1.000,755780	Padrão - SND	Reg.	
09/01/2019	CRFB22	1.000,000000	0,503790	-	1.000,503790	Padrão - SND	Reg.	
08/01/2019	CRFB22	1.000,000000	0,251860	-	1.000,251860	Padrão - SND	Reg.	
07/01/2019	CRFB22	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
