PU Histórico - Gerado em 07/10/2018 01:01:32

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	CSMGC3	1.000,534930	12,582002	-	1.013,116932	Padrão - SND	Reg.	
04/10/2018	CSMGC3	1.000,582290	12,329401	-	1.012,911691	Padrão - SND	Reg.	
03/10/2018	CSMGC3	1.000,629660	12,076841	-	1.012,706501	Padrão - SND	Reg.	
02/10/2018	CSMGC3	1.000,677030	11,824319	-	1.012,501349	Padrão - SND	Reg.	
01/10/2018	CSMGC3	1.000,724400	11,571837	-	1.012,296237	Padrão - SND	Reg.	
28/09/2018	CSMGC3	1.000,771780	11,319393	-	1.012,091173	Padrão - SND	Reg.	
27/09/2018	CSMGC3	1.000,819140	11,066989	-	1.011,886129	Padrão - SND	Reg.	
26/09/2018	CSMGC3	1.000,866530	10,814625	-	1.011,681155	Padrão - SND	Reg.	
25/09/2018	CSMGC3	1.000,913910	10,562299	-	1.011,476209	Padrão - SND	Reg.	
24/09/2018	CSMGC3	1.000,961280	10,310013	-	1.011,271293	Padrão - SND	Reg.	
21/09/2018	CSMGC3	1.001,008670	10,057767	-	1.011,066437	Padrão - SND	Reg.	
20/09/2018	CSMGC3	1.001,056060	9,805559	-	1.010,861619	Padrão - SND	Reg.	
19/09/2018	CSMGC3	1.001,103440	9,553391	-	1.010,656831	Padrão - SND	Reg.	
18/09/2018	CSMGC3	1.001,150840	9,301262	-	1.010,452102	Padrão - SND	Reg.	
17/09/2018	CSMGC3	1.001,198240	9,049173	-	1.010,247413	Padrão - SND	Reg.	
14/09/2018	CSMGC3	1.001,239170	8,797066	-	1.010,036236	Padrão - SND	Reg.	
13/09/2018	CSMGC3	1.001,280110	8,545001	-	1.009,825111	Padrão - SND	Reg.	
12/09/2018	CSMGC3	1.001,321050	8,292978	-	1.009,614028	Padrão - SND	Reg.	
11/09/2018	CSMGC3	1.001,361980	8,040999	-	1.009,402979	Padrão - SND	Reg.	
10/09/2018	CSMGC3	1.001,402920	7,789061	-	1.009,191981	Padrão - SND	Reg.	
06/09/2018	CSMGC3	1.004,503570	7,560194	-	1.012,063764	Padrão - SND	Reg.	
05/09/2018	CSMGC3	1.004,353130	7,306179	-	1.011,659309	Padrão - SND	Reg.	
04/09/2018	CSMGC3	1.004,202700	7,052303	-	1.011,255003	Padrão - SND	Reg.	
03/09/2018	CSMGC3	1.004,052300	6,798566	-	1.010,850866	Padrão - SND	Reg.	
31/08/2018	CSMGC3	1.003,901920	6,544968	-	1.010,446888	Padrão - SND	Reg.	
30/08/2018	CSMGC3	1.003,751570	6,291509	-	1.010,043079	Padrão - SND	Reg.	
29/08/2018	CSMGC3	1.003,601230	6,038188	-	1.009,639418	Padrão - SND	Reg.	
28/08/2018	CSMGC3	1.003,450930	5,785007	-	1.009,235937	Padrão - SND	Reg.	
27/08/2018	CSMGC3	1.003,300630	5,531964	-	1.008,832594	Padrão - SND	Reg.	
24/08/2018	CSMGC3	1.003,150370	5,279060	-	1.008,429430	Padrão - SND	Reg.	
23/08/2018	CSMGC3	1.003,000120	5,026294	-	1.008,026414	Padrão - SND	Reg.	
22/08/2018	CSMGC3	1.002,849910	4,773667	-	1.007,623577	Padrão - SND	Reg.	
21/08/2018	CSMGC3	1.002,699700	4,521179	-	1.007,220879	Padrão - SND	Reg.	
20/08/2018	CSMGC3	1.002,549530	4,268829	-	1.006,818359	Padrão - SND	Reg.	
17/08/2018	CSMGC3	1.002,399370	4,016617	-	1.006,415987	Padrão - SND	Reg.	
16/08/2018	CSMGC3	1.002,249250	3,764543	-	1.006,013793	Padrão - SND	Reg.	
15/08/2018	CSMGC3	1.002,099150	3,512609	-	1.005,611759	Padrão - SND	Reg.	
14/08/2018	CSMGC3	1.001,949060	3,260812	-	1.005,209872	Padrão - SND	Reg.	
13/08/2018	CSMGC3	1.001,799000	3,009153	-	1.004,808153	Padrão - SND	Reg.	
10/08/2018	CSMGC3	1.001,648960	2,757633	-	1.004,406593	Padrão - SND	Reg.	
09/08/2018	CSMGC3	1.001,498940	2,506250	-	1.004,005190	Padrão - SND	Reg.	
08/08/2018	CSMGC3	1.005,135540	2,263532	-	1.007,399072	Padrão - SND	Reg.	
07/08/2018	CSMGC3	1.004,563620	2,010632	-	1.006,574252	Padrão - SND	Reg.	
06/08/2018	CSMGC3	1.003,992030	1,758082	-	1.005,750112	Padrão - SND	Reg.	
03/08/2018	CSMGC3	1.003,420770	1,505883	-	1.004,926653	Padrão - SND	Reg.	
02/08/2018	CSMGC3	1.002,849830	1,254031	-	1.004,103861	Padrão - SND	Reg.	
01/08/2018	CSMGC3	1.002,279210	1,002529	-	1.003,281739	Padrão - SND	Reg.	
31/07/2018	CSMGC3	1.001,708920	0,751375	-	1.002,460295	Padrão - SND	Reg.	
30/07/2018	CSMGC3	1.001,138950	0,500568	-	1.001,639518	Padrão - SND	Reg.	
27/07/2018	CSMGC3	1.000,569310	0,250110	-	1.000,819420	Padrão - SND	Reg.	
26/07/2018	CSMGC3	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
25/07/2018	CSMGC3	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
