PU Histórico - Gerado em 07/10/2018 01:01:44

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	CSRN27	1.038,333140	48,693746	-	1.087,026886	Padrão - SND	Reg.	
04/10/2018	CSRN27	1.038,382290	48,486570	-	1.086,868860	Padrão - SND	Reg.	
03/10/2018	CSRN27	1.038,431440	48,279415	-	1.086,710855	Padrão - SND	Reg.	
02/10/2018	CSRN27	1.038,480610	48,072280	-	1.086,552890	Padrão - SND	Reg.	
01/10/2018	CSRN27	1.038,529770	47,865167	-	1.086,394937	Padrão - SND	Reg.	
28/09/2018	CSRN27	1.038,578930	47,658074	-	1.086,237004	Padrão - SND	Reg.	
27/09/2018	CSRN27	1.038,628090	47,451001	-	1.086,079091	Padrão - SND	Reg.	
26/09/2018	CSRN27	1.038,677270	47,243949	-	1.085,921219	Padrão - SND	Reg.	
25/09/2018	CSRN27	1.038,726430	47,036917	-	1.085,763347	Padrão - SND	Reg.	
24/09/2018	CSRN27	1.038,775600	46,829906	-	1.085,605506	Padrão - SND	Reg.	
21/09/2018	CSRN27	1.038,824780	46,622916	-	1.085,447696	Padrão - SND	Reg.	
20/09/2018	CSRN27	1.038,873950	46,415947	-	1.085,289897	Padrão - SND	Reg.	
19/09/2018	CSRN27	1.038,923130	46,208999	-	1.085,132129	Padrão - SND	Reg.	
18/09/2018	CSRN27	1.038,972320	46,002070	-	1.084,974390	Padrão - SND	Reg.	
17/09/2018	CSRN27	1.039,021510	45,795163	-	1.084,816673	Padrão - SND	Reg.	
14/09/2018	CSRN27	1.039,063990	45,587982	-	1.084,651972	Padrão - SND	Reg.	
13/09/2018	CSRN27	1.039,106470	45,380824	-	1.084,487294	Padrão - SND	Reg.	
12/09/2018	CSRN27	1.039,148950	45,173689	-	1.084,322639	Padrão - SND	Reg.	
11/09/2018	CSRN27	1.039,191430	44,966577	-	1.084,158007	Padrão - SND	Reg.	
10/09/2018	CSRN27	1.039,233920	44,759489	-	1.083,993409	Padrão - SND	Reg.	
06/09/2018	CSRN27	1.042,451710	44,688545	-	1.087,140255	Padrão - SND	Reg.	
05/09/2018	CSRN27	1.042,295580	44,472391	-	1.086,767971	Padrão - SND	Reg.	
04/09/2018	CSRN27	1.042,139470	44,256341	-	1.086,395811	Padrão - SND	Reg.	
03/09/2018	CSRN27	1.041,983380	44,040393	-	1.086,023773	Padrão - SND	Reg.	
31/08/2018	CSRN27	1.041,827330	43,824552	-	1.085,651882	Padrão - SND	Reg.	
30/08/2018	CSRN27	1.041,671290	43,608813	-	1.085,280103	Padrão - SND	Reg.	
29/08/2018	CSRN27	1.041,515280	43,393179	-	1.084,908459	Padrão - SND	Reg.	
28/08/2018	CSRN27	1.041,359300	43,177649	-	1.084,536949	Padrão - SND	Reg.	
27/08/2018	CSRN27	1.041,203320	42,962222	-	1.084,165542	Padrão - SND	Reg.	
24/08/2018	CSRN27	1.041,047380	42,746898	-	1.083,794278	Padrão - SND	Reg.	
23/08/2018	CSRN27	1.040,891460	42,531681	-	1.083,423141	Padrão - SND	Reg.	
22/08/2018	CSRN27	1.040,735570	42,316564	-	1.083,052134	Padrão - SND	Reg.	
21/08/2018	CSRN27	1.040,579690	42,101554	-	1.082,681244	Padrão - SND	Reg.	
20/08/2018	CSRN27	1.040,423840	41,886645	-	1.082,310485	Padrão - SND	Reg.	
17/08/2018	CSRN27	1.040,268020	41,671842	-	1.081,939862	Padrão - SND	Reg.	
16/08/2018	CSRN27	1.040,112220	41,457141	-	1.081,569361	Padrão - SND	Reg.	
15/08/2018	CSRN27	1.039,956450	41,242544	-	1.081,198994	Padrão - SND	Reg.	
14/08/2018	CSRN27	1.039,800690	41,028050	-	1.080,828740	Padrão - SND	Reg.	
13/08/2018	CSRN27	1.039,644960	40,813659	-	1.080,458619	Padrão - SND	Reg.	
10/08/2018	CSRN27	1.039,489250	40,599373	-	1.080,088623	Padrão - SND	Reg.	
09/08/2018	CSRN27	1.039,333560	40,385190	-	1.079,718750	Padrão - SND	Reg.	
08/08/2018	CSRN27	1.046,613020	40,458527	-	1.087,071547	Padrão - SND	Reg.	
07/08/2018	CSRN27	1.046,017500	40,226145	-	1.086,243645	Padrão - SND	Reg.	
06/08/2018	CSRN27	1.045,422320	39,994056	-	1.085,416376	Padrão - SND	Reg.	
03/08/2018	CSRN27	1.044,827490	39,762258	-	1.084,589748	Padrão - SND	Reg.	
02/08/2018	CSRN27	1.044,232990	39,530751	-	1.083,763741	Padrão - SND	Reg.	
01/08/2018	CSRN27	1.043,638830	39,299535	-	1.082,938365	Padrão - SND	Reg.	
31/07/2018	CSRN27	1.043,045000	39,068610	-	1.082,113610	Padrão - SND	Reg.	
30/07/2018	CSRN27	1.042,451520	38,837974	-	1.081,289494	Padrão - SND	Reg.	
27/07/2018	CSRN27	1.041,858370	38,607629	-	1.080,465999	Padrão - SND	Reg.	
26/07/2018	CSRN27	1.041,265560	38,377573	-	1.079,643133	Padrão - SND	Reg.	
25/07/2018	CSRN27	1.040,673090	38,147807	-	1.078,820897	Padrão - SND	Reg.	
24/07/2018	CSRN27	1.040,080960	37,918330	-	1.077,999290	Padrão - SND	Reg.	
23/07/2018	CSRN27	1.039,489160	37,689142	-	1.077,178302	Padrão - SND	Reg.	
20/07/2018	CSRN27	1.038,897690	37,460241	-	1.076,357931	Padrão - SND	Reg.	
19/07/2018	CSRN27	1.038,306560	37,231630	-	1.075,538190	Padrão - SND	Reg.	
18/07/2018	CSRN27	1.037,715770	37,003306	-	1.074,719076	Padrão - SND	Reg.	
17/07/2018	CSRN27	1.037,125320	36,775270	-	1.073,900590	Padrão - SND	Reg.	
16/07/2018	CSRN27	1.036,535210	36,547521	-	1.073,082731	Padrão - SND	Reg.	
13/07/2018	CSRN27	1.035,917350	36,319076	-	1.072,236426	Padrão - SND	Reg.	
12/07/2018	CSRN27	1.035,299850	36,090929	-	1.071,390779	Padrão - SND	Reg.	
11/07/2018	CSRN27	1.034,682730	35,863081	-	1.070,545811	Padrão - SND	Reg.	
10/07/2018	CSRN27	1.034,065980	35,635532	-	1.069,701512	Padrão - SND	Reg.	
09/07/2018	CSRN27	1.033,449600	35,408281	-	1.068,857881	Padrão - SND	Reg.	
06/07/2018	CSRN27	1.026,560630	34,967653	-	1.061,528283	Padrão - SND	Reg.	
05/07/2018	CSRN27	1.026,365470	34,756487	-	1.061,121957	Padrão - SND	Reg.	
04/07/2018	CSRN27	1.026,170360	34,545439	-	1.060,715799	Padrão - SND	Reg.	
03/07/2018	CSRN27	1.025,975280	34,334511	-	1.060,309791	Padrão - SND	Reg.	
02/07/2018	CSRN27	1.025,780240	34,123699	-	1.059,903939	Padrão - SND	Reg.	
29/06/2018	CSRN27	1.025,585240	33,913008	-	1.059,498248	Padrão - SND	Reg.	
28/06/2018	CSRN27	1.025,390260	33,702433	-	1.059,092693	Padrão - SND	Reg.	
27/06/2018	CSRN27	1.025,195330	33,491977	-	1.058,687307	Padrão - SND	Reg.	
26/06/2018	CSRN27	1.025,000440	33,281638	-	1.058,282078	Padrão - SND	Reg.	
25/06/2018	CSRN27	1.024,805580	33,071419	-	1.057,876999	Padrão - SND	Reg.	
22/06/2018	CSRN27	1.024,610760	32,861316	-	1.057,472076	Padrão - SND	Reg.	
21/06/2018	CSRN27	1.024,415990	32,651332	-	1.057,067322	Padrão - SND	Reg.	
20/06/2018	CSRN27	1.024,221240	32,441466	-	1.056,662706	Padrão - SND	Reg.	
19/06/2018	CSRN27	1.024,026530	32,231717	-	1.056,258247	Padrão - SND	Reg.	
18/06/2018	CSRN27	1.023,831860	32,022087	-	1.055,853947	Padrão - SND	Reg.	
15/06/2018	CSRN27	1.023,637230	31,812575	-	1.055,449805	Padrão - SND	Reg.	
14/06/2018	CSRN27	1.023,451480	31,603453	-	1.055,054933	Padrão - SND	Reg.	
13/06/2018	CSRN27	1.023,265760	31,394445	-	1.054,660205	Padrão - SND	Reg.	
12/06/2018	CSRN27	1.023,080080	31,185552	-	1.054,265632	Padrão - SND	Reg.	
11/06/2018	CSRN27	1.022,894420	30,976771	-	1.053,871191	Padrão - SND	Reg.	
08/06/2018	CSRN27	1.021,290930	30,725448	-	1.052,016378	Padrão - SND	Reg.	
07/06/2018	CSRN27	1.021,188950	30,519677	-	1.051,708627	Padrão - SND	Reg.	
06/06/2018	CSRN27	1.021,086960	30,313983	-	1.051,400943	Padrão - SND	Reg.	
05/06/2018	CSRN27	1.020,985000	30,108371	-	1.051,093371	Padrão - SND	Reg.	
04/06/2018	CSRN27	1.020,883030	29,902838	-	1.050,785868	Padrão - SND	Reg.	
01/06/2018	CSRN27	1.020,781080	29,697385	-	1.050,478465	Padrão - SND	Reg.	
30/05/2018	CSRN27	1.020,679140	29,492011	-	1.050,171151	Padrão - SND	Reg.	
29/05/2018	CSRN27	1.020,577200	29,286717	-	1.049,863917	Padrão - SND	Reg.	
28/05/2018	CSRN27	1.020,475290	29,081503	-	1.049,556793	Padrão - SND	Reg.	
25/05/2018	CSRN27	1.020,373370	28,876367	-	1.049,249737	Padrão - SND	Reg.	
24/05/2018	CSRN27	1.020,271480	28,671314	-	1.048,942794	Padrão - SND	Reg.	
23/05/2018	CSRN27	1.020,169580	28,466338	-	1.048,635918	Padrão - SND	Reg.	
22/05/2018	CSRN27	1.020,067700	28,261443	-	1.048,329143	Padrão - SND	Reg.	
21/05/2018	CSRN27	1.019,965830	28,056626	-	1.048,022456	Padrão - SND	Reg.	
18/05/2018	CSRN27	1.019,863970	27,851889	-	1.047,715859	Padrão - SND	Reg.	
