PU Histórico - Gerado em 07/10/2018 01:02:08

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	CVCB12	1.000,000000	25,963460	-	1.025,963460	Padrão - SND	Reg.	
04/10/2018	CVCB12	1.000,000000	25,691990	-	1.025,691990	Padrão - SND	Reg.	
03/10/2018	CVCB12	1.000,000000	25,420600	-	1.025,420600	Padrão - SND	Reg.	
02/10/2018	CVCB12	1.000,000000	25,149280	-	1.025,149280	Padrão - SND	Reg.	
01/10/2018	CVCB12	1.000,000000	24,878030	-	1.024,878030	Padrão - SND	Reg.	
28/09/2018	CVCB12	1.000,000000	24,607260	-	1.024,607260	Padrão - SND	Reg.	
27/09/2018	CVCB12	1.000,000000	24,336560	-	1.024,336560	Padrão - SND	Reg.	
26/09/2018	CVCB12	1.000,000000	24,065930	-	1.024,065930	Padrão - SND	Reg.	
25/09/2018	CVCB12	1.000,000000	23,795380	-	1.023,795380	Padrão - SND	Reg.	
24/09/2018	CVCB12	1.000,000000	23,524890	-	1.023,524890	Padrão - SND	Reg.	
21/09/2018	CVCB12	1.000,000000	23,254480	-	1.023,254480	Padrão - SND	Reg.	
20/09/2018	CVCB12	1.000,000000	22,984140	-	1.022,984140	Padrão - SND	Reg.	
19/09/2018	CVCB12	1.000,000000	22,713870	-	1.022,713870	Padrão - SND	Reg.	
18/09/2018	CVCB12	1.000,000000	22,443670	-	1.022,443670	Padrão - SND	Reg.	
17/09/2018	CVCB12	1.000,000000	22,173540	-	1.022,173540	Padrão - SND	Reg.	
14/09/2018	CVCB12	1.000,000000	21,903490	-	1.021,903490	Padrão - SND	Reg.	
13/09/2018	CVCB12	1.000,000000	21,633500	-	1.021,633500	Padrão - SND	Reg.	
12/09/2018	CVCB12	1.000,000000	21,363590	-	1.021,363590	Padrão - SND	Reg.	
11/09/2018	CVCB12	1.000,000000	21,093750	-	1.021,093750	Padrão - SND	Reg.	
10/09/2018	CVCB12	1.000,000000	20,823980	-	1.020,823980	Padrão - SND	Reg.	
06/09/2018	CVCB12	1.000,000000	20,554280	-	1.020,554280	Padrão - SND	Reg.	
05/09/2018	CVCB12	1.000,000000	20,284650	-	1.020,284650	Padrão - SND	Reg.	
04/09/2018	CVCB12	1.000,000000	20,015090	-	1.020,015090	Padrão - SND	Reg.	
03/09/2018	CVCB12	1.000,000000	19,745610	-	1.019,745610	Padrão - SND	Reg.	
