PU Histórico - Gerado em 07/10/2018 01:02:20

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	CXER12	1.021,295489	22,077459	-	1.043,372948	Padrão - SND	Reg.	
04/10/2018	CXER12	1.021,343838	21,796068	-	1.043,139906	Padrão - SND	Reg.	
03/10/2018	CXER12	1.021,392186	21,514728	-	1.042,906914	Padrão - SND	Reg.	
02/10/2018	CXER12	1.021,440545	21,233436	-	1.042,673981	Padrão - SND	Reg.	
01/10/2018	CXER12	1.021,488893	20,952195	-	1.042,441088	Padrão - SND	Reg.	
28/09/2018	CXER12	1.021,537252	20,671003	-	1.042,208255	Padrão - SND	Reg.	
27/09/2018	CXER12	1.021,585600	20,389862	-	1.041,975462	Padrão - SND	Reg.	
26/09/2018	CXER12	1.021,633969	20,108769	-	1.041,742738	Padrão - SND	Reg.	
25/09/2018	CXER12	1.021,682328	19,827727	-	1.041,510054	Padrão - SND	Reg.	
24/09/2018	CXER12	1.021,730686	19,546734	-	1.041,277420	Padrão - SND	Reg.	
21/09/2018	CXER12	1.021,779065	19,265791	-	1.041,044856	Padrão - SND	Reg.	
20/09/2018	CXER12	1.021,827433	18,984898	-	1.040,812331	Padrão - SND	Reg.	
19/09/2018	CXER12	1.021,875802	18,704054	-	1.040,579856	Padrão - SND	Reg.	
18/09/2018	CXER12	1.021,924181	18,423259	-	1.040,347440	Padrão - SND	Reg.	
17/09/2018	CXER12	1.021,972559	18,142515	-	1.040,115074	Padrão - SND	Reg.	
14/09/2018	CXER12	1.022,014343	17,861705	-	1.039,876048	Padrão - SND	Reg.	
13/09/2018	CXER12	1.022,056127	17,580948	-	1.039,637075	Padrão - SND	Reg.	
12/09/2018	CXER12	1.022,097911	17,300244	-	1.039,398155	Padrão - SND	Reg.	
11/09/2018	CXER12	1.022,139705	17,019593	-	1.039,159298	Padrão - SND	Reg.	
10/09/2018	CXER12	1.022,181489	16,738996	-	1.038,920485	Padrão - SND	Reg.	
06/09/2018	CXER12	1.025,346483	16,508738	-	1.041,855220	Padrão - SND	Reg.	
05/09/2018	CXER12	1.025,192909	16,224295	-	1.041,417204	Padrão - SND	Reg.	
04/09/2018	CXER12	1.025,039366	15,940015	-	1.040,979381	Padrão - SND	Reg.	
03/09/2018	CXER12	1.024,885843	15,655895	-	1.040,541738	Padrão - SND	Reg.	
31/08/2018	CXER12	1.024,732340	15,371936	-	1.040,104276	Padrão - SND	Reg.	
30/08/2018	CXER12	1.024,578867	15,088139	-	1.039,667006	Padrão - SND	Reg.	
