PU Histórico - Gerado em 07/10/2018 01:02:24

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	DASA14	5.000,000000	179,308125	-	5.179,308125	Padrão - SND	Reg.	
04/10/2018	DASA14	5.000,000000	177,798345	-	5.177,798345	Padrão - SND	Reg.	
03/10/2018	DASA14	5.000,000000	176,288995	-	5.176,288995	Padrão - SND	Reg.	
02/10/2018	DASA14	5.000,000000	174,780130	-	5.174,780130	Padrão - SND	Reg.	
01/10/2018	DASA14	5.000,000000	173,271685	-	5.173,271685	Padrão - SND	Reg.	
28/09/2018	DASA14	5.000,000000	171,765585	-	5.171,765585	Padrão - SND	Reg.	
27/09/2018	DASA14	5.000,000000	170,259910	-	5.170,259910	Padrão - SND	Reg.	
26/09/2018	DASA14	5.000,000000	168,754660	-	5.168,754660	Padrão - SND	Reg.	
25/09/2018	DASA14	5.000,000000	167,249885	-	5.167,249885	Padrão - SND	Reg.	
24/09/2018	DASA14	5.000,000000	165,745540	-	5.165,745540	Padrão - SND	Reg.	
21/09/2018	DASA14	5.000,000000	164,241630	-	5.164,241630	Padrão - SND	Reg.	
20/09/2018	DASA14	5.000,000000	162,738140	-	5.162,738140	Padrão - SND	Reg.	
19/09/2018	DASA14	5.000,000000	161,235080	-	5.161,235080	Padrão - SND	Reg.	
18/09/2018	DASA14	5.000,000000	159,732495	-	5.159,732495	Padrão - SND	Reg.	
17/09/2018	DASA14	5.000,000000	158,230340	-	5.158,230340	Padrão - SND	Reg.	
14/09/2018	DASA14	5.000,000000	156,728610	-	5.156,728610	Padrão - SND	Reg.	
13/09/2018	DASA14	5.000,000000	155,227305	-	5.155,227305	Padrão - SND	Reg.	
12/09/2018	DASA14	5.000,000000	153,726480	-	5.153,726480	Padrão - SND	Reg.	
11/09/2018	DASA14	5.000,000000	152,226035	-	5.152,226035	Padrão - SND	Reg.	
10/09/2018	DASA14	5.000,000000	150,726060	-	5.150,726060	Padrão - SND	Reg.	
06/09/2018	DASA14	5.000,000000	149,226520	-	5.149,226520	Padrão - SND	Reg.	
05/09/2018	DASA14	5.000,000000	147,727450	-	5.147,727450	Padrão - SND	Reg.	
04/09/2018	DASA14	5.000,000000	146,228760	-	5.146,228760	Padrão - SND	Reg.	
03/09/2018	DASA14	5.000,000000	144,730550	-	5.144,730550	Padrão - SND	Reg.	
31/08/2018	DASA14	5.000,000000	143,232760	-	5.143,232760	Padrão - SND	Reg.	
