PU Histórico - Gerado em 17/02/2019 12:17:02

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	DEET11	1,000000	0,001315	-	1,001315	Padrão - SND	Reg.	
14/02/2019	DEET11	1,000000	0,000986	-	1,000986	Padrão - SND	Reg.	
13/02/2019	DEET11	1,000000	0,000657	-	1,000657	Padrão - SND	Reg.	
12/02/2019	DEET11	1,000000	0,000329	-	1,000329	Padrão - SND	Reg.	
11/02/2019	DEET11	1,000000	-  	-	1,000000	Padrão - SND	Reg.	
08/02/2019	DEET11	1,000000	-  	-	1,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
