PU Histórico - Gerado em 07/10/2018 01:02:34

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	DENG11	0,727458	0,025760	-	0,753217	Padrão - SND	Reg.	
04/10/2018	DENG11	0,727458	0,025512	-	0,752970	Padrão - SND	Reg.	
03/10/2018	DENG11	0,727458	0,025265	-	0,752722	Padrão - SND	Reg.	
02/10/2018	DENG11	0,727458	0,025017	-	0,752475	Padrão - SND	Reg.	
01/10/2018	DENG11	0,727458	0,024770	-	0,752228	Padrão - SND	Reg.	
28/09/2018	DENG11	0,727458	0,024523	-	0,751981	Padrão - SND	Reg.	
27/09/2018	DENG11	0,727458	0,024277	-	0,751734	Padrão - SND	Reg.	
26/09/2018	DENG11	0,727458	0,024030	-	0,751487	Padrão - SND	Reg.	
25/09/2018	DENG11	0,727458	0,023783	-	0,751241	Padrão - SND	Reg.	
24/09/2018	DENG11	0,727458	0,023537	-	0,750994	Padrão - SND	Reg.	
21/09/2018	DENG11	0,727458	0,023290	-	0,750748	Padrão - SND	Reg.	
20/09/2018	DENG11	0,727458	0,023044	-	0,750501	Padrão - SND	Reg.	
19/09/2018	DENG11	0,727458	0,022797	-	0,750255	Padrão - SND	Reg.	
18/09/2018	DENG11	0,727458	0,022551	-	0,750009	Padrão - SND	Reg.	
17/09/2018	DENG11	0,727458	0,022305	-	0,749762	Padrão - SND	Reg.	
14/09/2018	DENG11	0,727458	0,022059	-	0,749516	Padrão - SND	Reg.	
13/09/2018	DENG11	0,727458	0,021813	-	0,749270	Padrão - SND	Reg.	
12/09/2018	DENG11	0,727458	0,021567	-	0,749024	Padrão - SND	Reg.	
11/09/2018	DENG11	0,727458	0,021321	-	0,748779	Padrão - SND	Reg.	
10/09/2018	DENG11	0,727458	0,021075	-	0,748533	Padrão - SND	Reg.	
06/09/2018	DENG11	0,727458	0,020830	-	0,748287	Padrão - SND	Reg.	
05/09/2018	DENG11	0,727458	0,020584	-	0,748042	Padrão - SND	Reg.	
04/09/2018	DENG11	0,727458	0,020339	-	0,747796	Padrão - SND	Reg.	
03/09/2018	DENG11	0,727458	0,020093	-	0,747551	Padrão - SND	Reg.	
31/08/2018	DENG11	0,727458	0,019848	-	0,747305	Padrão - SND	Reg.	
30/08/2018	DENG11	0,727458	0,019602	-	0,747060	Padrão - SND	Reg.	
29/08/2018	DENG11	0,727458	0,019357	-	0,746815	Padrão - SND	Reg.	
28/08/2018	DENG11	0,727458	0,019112	-	0,746570	Padrão - SND	Reg.	
27/08/2018	DENG11	0,727458	0,018867	-	0,746325	Padrão - SND	Reg.	
24/08/2018	DENG11	0,727458	0,018622	-	0,746080	Padrão - SND	Reg.	
23/08/2018	DENG11	0,727458	0,018377	-	0,745835	Padrão - SND	Reg.	
22/08/2018	DENG11	0,727458	0,018132	-	0,745590	Padrão - SND	Reg.	
21/08/2018	DENG11	0,727458	0,017888	-	0,745345	Padrão - SND	Reg.	
20/08/2018	DENG11	0,727458	0,017643	-	0,745101	Padrão - SND	Reg.	
17/08/2018	DENG11	0,727458	0,017399	-	0,744856	Padrão - SND	Reg.	
16/08/2018	DENG11	0,727458	0,017154	-	0,744612	Padrão - SND	Reg.	
15/08/2018	DENG11	0,727458	0,016910	-	0,744367	Padrão - SND	Reg.	
14/08/2018	DENG11	0,727458	0,016665	-	0,744123	Padrão - SND	Reg.	
13/08/2018	DENG11	0,727458	0,016421	-	0,743879	Padrão - SND	Reg.	
10/08/2018	DENG11	0,727458	0,016177	-	0,743635	Padrão - SND	Reg.	
09/08/2018	DENG11	0,727458	0,015933	-	0,743390	Padrão - SND	Reg.	
08/08/2018	DENG11	0,727458	0,015689	-	0,743146	Padrão - SND	Reg.	
07/08/2018	DENG11	0,727458	0,015445	-	0,742903	Padrão - SND	Reg.	
06/08/2018	DENG11	0,727458	0,015201	-	0,742659	Padrão - SND	Reg.	
03/08/2018	DENG11	0,727458	0,014957	-	0,742415	Padrão - SND	Reg.	
02/08/2018	DENG11	0,727458	0,014714	-	0,742171	Padrão - SND	Reg.	
01/08/2018	DENG11	0,727458	0,014470	-	0,741928	Padrão - SND	Reg.	
31/07/2018	DENG11	0,727458	0,014227	-	0,741684	Padrão - SND	Reg.	
30/07/2018	DENG11	0,727458	0,013983	-	0,741441	Padrão - SND	Reg.	
27/07/2018	DENG11	0,727458	0,013740	-	0,741197	Padrão - SND	Reg.	
26/07/2018	DENG11	0,727458	0,013497	-	0,740954	Padrão - SND	Reg.	
25/07/2018	DENG11	0,727458	0,013253	-	0,740711	Padrão - SND	Reg.	
24/07/2018	DENG11	0,727458	0,013010	-	0,740468	Padrão - SND	Reg.	
23/07/2018	DENG11	0,727458	0,017551	-	0,727458	Padrão - SND	Reg.	
20/07/2018	DENG11	1,000000	0,017217	-	1,017217	Padrão - SND	Reg.	
19/07/2018	DENG11	1,000000	0,016883	-	1,016883	Padrão - SND	Reg.	
18/07/2018	DENG11	1,000000	0,016549	-	1,016549	Padrão - SND	Reg.	
17/07/2018	DENG11	1,000000	0,016215	-	1,016215	Padrão - SND	Reg.	
16/07/2018	DENG11	1,000000	0,015882	-	1,015882	Padrão - SND	Reg.	
13/07/2018	DENG11	1,000000	0,015548	-	1,015548	Padrão - SND	Reg.	
12/07/2018	DENG11	1,000000	0,015215	-	1,015215	Padrão - SND	Reg.	
11/07/2018	DENG11	1,000000	0,014882	-	1,014882	Padrão - SND	Reg.	
