PU Histórico - Gerado em 07/10/2018 01:02:36

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	DGSP12	1.000,000000	10,142040	-	1.010,142040	Padrão - SND	Reg.	
04/10/2018	DGSP12	1.000,000000	9,880360	-	1.009,880360	Padrão - SND	Reg.	
03/10/2018	DGSP12	1.000,000000	9,618740	-	1.009,618740	Padrão - SND	Reg.	
02/10/2018	DGSP12	1.000,000000	9,357190	-	1.009,357190	Padrão - SND	Reg.	
01/10/2018	DGSP12	1.000,000000	9,095710	-	1.009,095710	Padrão - SND	Reg.	
28/09/2018	DGSP12	1.000,000000	8,834690	-	1.008,834690	Padrão - SND	Reg.	
27/09/2018	DGSP12	1.000,000000	8,573730	-	1.008,573730	Padrão - SND	Reg.	
26/09/2018	DGSP12	1.000,000000	8,312840	-	1.008,312840	Padrão - SND	Reg.	
25/09/2018	DGSP12	1.000,000000	8,052030	-	1.008,052030	Padrão - SND	Reg.	
24/09/2018	DGSP12	1.000,000000	7,791270	-	1.007,791270	Padrão - SND	Reg.	
21/09/2018	DGSP12	1.000,000000	7,530590	-	1.007,530590	Padrão - SND	Reg.	
20/09/2018	DGSP12	1.000,000000	7,269970	-	1.007,269970	Padrão - SND	Reg.	
19/09/2018	DGSP12	1.000,000000	7,009420	-	1.007,009420	Padrão - SND	Reg.	
18/09/2018	DGSP12	1.000,000000	6,748940	-	1.006,748940	Padrão - SND	Reg.	
17/09/2018	DGSP12	1.000,000000	6,488530	-	1.006,488530	Padrão - SND	Reg.	
14/09/2018	DGSP12	1.000,000000	6,228180	-	1.006,228180	Padrão - SND	Reg.	
13/09/2018	DGSP12	1.000,000000	5,967900	-	1.005,967900	Padrão - SND	Reg.	
12/09/2018	DGSP12	1.000,000000	5,707680	-	1.005,707680	Padrão - SND	Reg.	
11/09/2018	DGSP12	1.000,000000	5,447540	-	1.005,447540	Padrão - SND	Reg.	
10/09/2018	DGSP12	1.000,000000	5,187460	-	1.005,187460	Padrão - SND	Reg.	
06/09/2018	DGSP12	1.000,000000	4,927450	-	1.004,927450	Padrão - SND	Reg.	
05/09/2018	DGSP12	1.000,000000	4,667510	-	1.004,667510	Padrão - SND	Reg.	
04/09/2018	DGSP12	1.000,000000	4,407630	-	1.004,407630	Padrão - SND	Reg.	
03/09/2018	DGSP12	1.000,000000	4,147820	-	1.004,147820	Padrão - SND	Reg.	
31/08/2018	DGSP12	1.000,000000	3,888080	-	1.003,888080	Padrão - SND	Reg.	
30/08/2018	DGSP12	1.000,000000	3,628400	-	1.003,628400	Padrão - SND	Reg.	
29/08/2018	DGSP12	1.000,000000	3,368800	-	1.003,368800	Padrão - SND	Reg.	
28/08/2018	DGSP12	1.000,000000	3,109260	-	1.003,109260	Padrão - SND	Reg.	
27/08/2018	DGSP12	1.000,000000	2,849780	-	1.002,849780	Padrão - SND	Reg.	
24/08/2018	DGSP12	1.000,000000	2,590380	-	1.002,590380	Padrão - SND	Reg.	
23/08/2018	DGSP12	1.000,000000	2,331040	-	1.002,331040	Padrão - SND	Reg.	
22/08/2018	DGSP12	1.000,000000	2,071760	-	1.002,071760	Padrão - SND	Reg.	
21/08/2018	DGSP12	1.000,000000	1,812560	-	1.001,812560	Padrão - SND	Reg.	
20/08/2018	DGSP12	1.000,000000	1,553420	-	1.001,553420	Padrão - SND	Reg.	
17/08/2018	DGSP12	1.000,000000	1,294350	-	1.001,294350	Padrão - SND	Reg.	
16/08/2018	DGSP12	1.000,000000	1,035350	-	1.001,035350	Padrão - SND	Reg.	
15/08/2018	DGSP12	1.000,000000	0,776410	-	1.000,776410	Padrão - SND	Reg.	
14/08/2018	DGSP12	1.000,000000	0,517540	-	1.000,517540	Padrão - SND	Reg.	
13/08/2018	DGSP12	1.000,000000	0,258740	-	1.000,258740	Padrão - SND	Reg.	
10/08/2018	DGSP12	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
09/08/2018	DGSP12	1.000,000000	32,595360	-	1.032,595360	Padrão - SND	Reg.	
08/08/2018	DGSP12	1.000,000000	32,328250	-	1.032,328250	Padrão - SND	Reg.	
07/08/2018	DGSP12	1.000,000000	32,061220	-	1.032,061220	Padrão - SND	Reg.	
06/08/2018	DGSP12	1.000,000000	31,794260	-	1.031,794260	Padrão - SND	Reg.	
03/08/2018	DGSP12	1.000,000000	31,527370	-	1.031,527370	Padrão - SND	Reg.	
02/08/2018	DGSP12	1.000,000000	31,260540	-	1.031,260540	Padrão - SND	Reg.	
01/08/2018	DGSP12	1.000,000000	30,993790	-	1.030,993790	Padrão - SND	Reg.	
31/07/2018	DGSP12	1.000,000000	30,727100	-	1.030,727100	Padrão - SND	Reg.	
30/07/2018	DGSP12	1.000,000000	30,460480	-	1.030,460480	Padrão - SND	Reg.	
27/07/2018	DGSP12	1.000,000000	30,193940	-	1.030,193940	Padrão - SND	Reg.	
26/07/2018	DGSP12	1.000,000000	29,927460	-	1.029,927460	Padrão - SND	Reg.	
25/07/2018	DGSP12	1.000,000000	29,661050	-	1.029,661050	Padrão - SND	Reg.	
24/07/2018	DGSP12	1.000,000000	29,394700	-	1.029,394700	Padrão - SND	Reg.	
23/07/2018	DGSP12	1.000,000000	29,128430	-	1.029,128430	Padrão - SND	Reg.	
20/07/2018	DGSP12	1.000,000000	28,862230	-	1.028,862230	Padrão - SND	Reg.	
19/07/2018	DGSP12	1.000,000000	28,596090	-	1.028,596090	Padrão - SND	Reg.	
18/07/2018	DGSP12	1.000,000000	28,330030	-	1.028,330030	Padrão - SND	Reg.	
17/07/2018	DGSP12	1.000,000000	28,064030	-	1.028,064030	Padrão - SND	Reg.	
16/07/2018	DGSP12	1.000,000000	27,798100	-	1.027,798100	Padrão - SND	Reg.	
13/07/2018	DGSP12	1.000,000000	27,532240	-	1.027,532240	Padrão - SND	Reg.	
12/07/2018	DGSP12	1.000,000000	27,266450	-	1.027,266450	Padrão - SND	Reg.	
11/07/2018	DGSP12	1.000,000000	27,000730	-	1.027,000730	Padrão - SND	Reg.	
10/07/2018	DGSP12	1.000,000000	26,735080	-	1.026,735080	Padrão - SND	Reg.	
09/07/2018	DGSP12	1.000,000000	26,469490	-	1.026,469490	Padrão - SND	Reg.	
06/07/2018	DGSP12	1.000,000000	26,203970	-	1.026,203970	Padrão - SND	Reg.	
05/07/2018	DGSP12	1.000,000000	25,938530	-	1.025,938530	Padrão - SND	Reg.	
04/07/2018	DGSP12	1.000,000000	25,673150	-	1.025,673150	Padrão - SND	Reg.	
03/07/2018	DGSP12	1.000,000000	25,407840	-	1.025,407840	Padrão - SND	Reg.	
02/07/2018	DGSP12	1.000,000000	25,142600	-	1.025,142600	Padrão - SND	Reg.	
29/06/2018	DGSP12	1.000,000000	24,877420	-	1.024,877420	Padrão - SND	Reg.	
28/06/2018	DGSP12	1.000,000000	24,612320	-	1.024,612320	Padrão - SND	Reg.	
27/06/2018	DGSP12	1.000,000000	24,347280	-	1.024,347280	Padrão - SND	Reg.	
26/06/2018	DGSP12	1.000,000000	24,082320	-	1.024,082320	Padrão - SND	Reg.	
25/06/2018	DGSP12	1.000,000000	23,817420	-	1.023,817420	Padrão - SND	Reg.	
22/06/2018	DGSP12	1.000,000000	23,552590	-	1.023,552590	Padrão - SND	Reg.	
21/06/2018	DGSP12	1.000,000000	23,287830	-	1.023,287830	Padrão - SND	Reg.	
20/06/2018	DGSP12	1.000,000000	23,023130	-	1.023,023130	Padrão - SND	Reg.	
19/06/2018	DGSP12	1.000,000000	22,758510	-	1.022,758510	Padrão - SND	Reg.	
18/06/2018	DGSP12	1.000,000000	22,493950	-	1.022,493950	Padrão - SND	Reg.	
15/06/2018	DGSP12	1.000,000000	22,229470	-	1.022,229470	Padrão - SND	Reg.	
14/06/2018	DGSP12	1.000,000000	21,965050	-	1.021,965050	Padrão - SND	Reg.	
13/06/2018	DGSP12	1.000,000000	21,700700	-	1.021,700700	Padrão - SND	Reg.	
12/06/2018	DGSP12	1.000,000000	21,436410	-	1.021,436410	Padrão - SND	Reg.	
11/06/2018	DGSP12	1.000,000000	21,172200	-	1.021,172200	Padrão - SND	Reg.	
08/06/2018	DGSP12	1.000,000000	20,908050	-	1.020,908050	Padrão - SND	Reg.	
07/06/2018	DGSP12	1.000,000000	20,643980	-	1.020,643980	Padrão - SND	Reg.	
06/06/2018	DGSP12	1.000,000000	20,379970	-	1.020,379970	Padrão - SND	Reg.	
05/06/2018	DGSP12	1.000,000000	20,116030	-	1.020,116030	Padrão - SND	Reg.	
04/06/2018	DGSP12	1.000,000000	19,852150	-	1.019,852150	Padrão - SND	Reg.	
01/06/2018	DGSP12	1.000,000000	19,588350	-	1.019,588350	Padrão - SND	Reg.	
