PU Histórico - Gerado em 07/10/2018 01:03:26

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	DTRA11	10.000,000000	27,586900	-	10.027,586900	Padrão - SND	Reg.	
04/10/2018	DTRA11	10.000,000000	24,131800	-	10.024,131800	Padrão - SND	Reg.	
03/10/2018	DTRA11	10.000,000000	20,677900	-	10.020,677900	Padrão - SND	Reg.	
02/10/2018	DTRA11	10.000,000000	17,225100	-	10.017,225100	Padrão - SND	Reg.	
01/10/2018	DTRA11	10.000,000000	13,773600	-	10.013,773600	Padrão - SND	Reg.	
28/09/2018	DTRA11	10.000,000000	10,328400	-	10.010,328400	Padrão - SND	Reg.	
27/09/2018	DTRA11	10.000,000000	6,884400	-	10.006,884400	Padrão - SND	Reg.	
26/09/2018	DTRA11	10.000,000000	3,441600	-	10.003,441600	Padrão - SND	Reg.	
25/09/2018	DTRA11	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
24/09/2018	DTRA11	10.000,000000	65,593700	-	10.065,593700	Padrão - SND	Reg.	
21/09/2018	DTRA11	10.000,000000	62,130700	-	10.062,130700	Padrão - SND	Reg.	
20/09/2018	DTRA11	10.000,000000	58,668900	-	10.058,668900	Padrão - SND	Reg.	
19/09/2018	DTRA11	10.000,000000	55,208300	-	10.055,208300	Padrão - SND	Reg.	
18/09/2018	DTRA11	10.000,000000	51,748900	-	10.051,748900	Padrão - SND	Reg.	
17/09/2018	DTRA11	10.000,000000	48,290600	-	10.048,290600	Padrão - SND	Reg.	
14/09/2018	DTRA11	10.000,000000	44,833600	-	10.044,833600	Padrão - SND	Reg.	
13/09/2018	DTRA11	10.000,000000	41,377700	-	10.041,377700	Padrão - SND	Reg.	
12/09/2018	DTRA11	10.000,000000	37,923000	-	10.037,923000	Padrão - SND	Reg.	
11/09/2018	DTRA11	10.000,000000	34,469600	-	10.034,469600	Padrão - SND	Reg.	
10/09/2018	DTRA11	10.000,000000	31,017300	-	10.031,017300	Padrão - SND	Reg.	
