PU Histórico - Gerado em 07/10/2018 01:03:37

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	EBEN17	10.000,000000	342,556200	-	10.342,556200	Padrão - SND	Reg.	
04/10/2018	EBEN17	10.000,000000	339,787800	-	10.339,787800	Padrão - SND	Reg.	
03/10/2018	EBEN17	10.000,000000	337,020200	-	10.337,020200	Padrão - SND	Reg.	
02/10/2018	EBEN17	10.000,000000	334,253200	-	10.334,253200	Padrão - SND	Reg.	
01/10/2018	EBEN17	10.000,000000	331,487100	-	10.331,487100	Padrão - SND	Reg.	
28/09/2018	EBEN17	10.000,000000	328,725800	-	10.328,725800	Padrão - SND	Reg.	
27/09/2018	EBEN17	10.000,000000	325,965200	-	10.325,965200	Padrão - SND	Reg.	
26/09/2018	EBEN17	10.000,000000	323,205400	-	10.323,205400	Padrão - SND	Reg.	
25/09/2018	EBEN17	10.000,000000	320,446400	-	10.320,446400	Padrão - SND	Reg.	
24/09/2018	EBEN17	10.000,000000	317,688000	-	10.317,688000	Padrão - SND	Reg.	
21/09/2018	EBEN17	10.000,000000	314,930400	-	10.314,930400	Padrão - SND	Reg.	
20/09/2018	EBEN17	10.000,000000	312,173600	-	10.312,173600	Padrão - SND	Reg.	
19/09/2018	EBEN17	10.000,000000	309,417500	-	10.309,417500	Padrão - SND	Reg.	
18/09/2018	EBEN17	10.000,000000	306,662100	-	10.306,662100	Padrão - SND	Reg.	
17/09/2018	EBEN17	10.000,000000	303,907400	-	10.303,907400	Padrão - SND	Reg.	
14/09/2018	EBEN17	10.000,000000	301,153500	-	10.301,153500	Padrão - SND	Reg.	
13/09/2018	EBEN17	10.000,000000	298,400300	-	10.298,400300	Padrão - SND	Reg.	
12/09/2018	EBEN17	10.000,000000	295,647900	-	10.295,647900	Padrão - SND	Reg.	
11/09/2018	EBEN17	10.000,000000	292,896200	-	10.292,896200	Padrão - SND	Reg.	
10/09/2018	EBEN17	10.000,000000	290,145200	-	10.290,145200	Padrão - SND	Reg.	
06/09/2018	EBEN17	10.000,000000	287,395000	-	10.287,395000	Padrão - SND	Reg.	
05/09/2018	EBEN17	10.000,000000	284,645500	-	10.284,645500	Padrão - SND	Reg.	
04/09/2018	EBEN17	10.000,000000	281,896700	-	10.281,896700	Padrão - SND	Reg.	
03/09/2018	EBEN17	10.000,000000	279,148700	-	10.279,148700	Padrão - SND	Reg.	
31/08/2018	EBEN17	10.000,000000	276,401400	-	10.276,401400	Padrão - SND	Reg.	
30/08/2018	EBEN17	10.000,000000	273,654900	-	10.273,654900	Padrão - SND	Reg.	
29/08/2018	EBEN17	10.000,000000	270,909000	-	10.270,909000	Padrão - SND	Reg.	
28/08/2018	EBEN17	10.000,000000	268,163900	-	10.268,163900	Padrão - SND	Reg.	
27/08/2018	EBEN17	10.000,000000	265,419600	-	10.265,419600	Padrão - SND	Reg.	
24/08/2018	EBEN17	10.000,000000	262,675900	-	10.262,675900	Padrão - SND	Reg.	
23/08/2018	EBEN17	10.000,000000	259,933100	-	10.259,933100	Padrão - SND	Reg.	
22/08/2018	EBEN17	10.000,000000	257,190900	-	10.257,190900	Padrão - SND	Reg.	
21/08/2018	EBEN17	10.000,000000	254,449500	-	10.254,449500	Padrão - SND	Reg.	
20/08/2018	EBEN17	10.000,000000	251,708800	-	10.251,708800	Padrão - SND	Reg.	
17/08/2018	EBEN17	10.000,000000	248,968800	-	10.248,968800	Padrão - SND	Reg.	
16/08/2018	EBEN17	10.000,000000	246,229600	-	10.246,229600	Padrão - SND	Reg.	
15/08/2018	EBEN17	10.000,000000	243,491100	-	10.243,491100	Padrão - SND	Reg.	
14/08/2018	EBEN17	10.000,000000	240,753300	-	10.240,753300	Padrão - SND	Reg.	
13/08/2018	EBEN17	10.000,000000	238,016300	-	10.238,016300	Padrão - SND	Reg.	
10/08/2018	EBEN17	10.000,000000	235,280000	-	10.235,280000	Padrão - SND	Reg.	
09/08/2018	EBEN17	10.000,000000	232,544400	-	10.232,544400	Padrão - SND	Reg.	
08/08/2018	EBEN17	10.000,000000	229,809600	-	10.229,809600	Padrão - SND	Reg.	
07/08/2018	EBEN17	10.000,000000	227,075500	-	10.227,075500	Padrão - SND	Reg.	
06/08/2018	EBEN17	10.000,000000	224,342100	-	10.224,342100	Padrão - SND	Reg.	
03/08/2018	EBEN17	10.000,000000	221,609500	-	10.221,609500	Padrão - SND	Reg.	
02/08/2018	EBEN17	10.000,000000	218,877500	-	10.218,877500	Padrão - SND	Reg.	
01/08/2018	EBEN17	10.000,000000	216,146400	-	10.216,146400	Padrão - SND	Reg.	
31/07/2018	EBEN17	10.000,000000	213,415900	-	10.213,415900	Padrão - SND	Reg.	
30/07/2018	EBEN17	10.000,000000	210,686200	-	10.210,686200	Padrão - SND	Reg.	
27/07/2018	EBEN17	10.000,000000	207,957200	-	10.207,957200	Padrão - SND	Reg.	
26/07/2018	EBEN17	10.000,000000	205,228900	-	10.205,228900	Padrão - SND	Reg.	
25/07/2018	EBEN17	10.000,000000	202,501400	-	10.202,501400	Padrão - SND	Reg.	
24/07/2018	EBEN17	10.000,000000	199,774600	-	10.199,774600	Padrão - SND	Reg.	
23/07/2018	EBEN17	10.000,000000	197,048500	-	10.197,048500	Padrão - SND	Reg.	
20/07/2018	EBEN17	10.000,000000	194,323100	-	10.194,323100	Padrão - SND	Reg.	
19/07/2018	EBEN17	10.000,000000	191,598500	-	10.191,598500	Padrão - SND	Reg.	
18/07/2018	EBEN17	10.000,000000	188,874600	-	10.188,874600	Padrão - SND	Reg.	
17/07/2018	EBEN17	10.000,000000	186,151400	-	10.186,151400	Padrão - SND	Reg.	
16/07/2018	EBEN17	10.000,000000	183,429000	-	10.183,429000	Padrão - SND	Reg.	
13/07/2018	EBEN17	10.000,000000	180,707300	-	10.180,707300	Padrão - SND	Reg.	
12/07/2018	EBEN17	10.000,000000	177,986300	-	10.177,986300	Padrão - SND	Reg.	
11/07/2018	EBEN17	10.000,000000	175,266100	-	10.175,266100	Padrão - SND	Reg.	
10/07/2018	EBEN17	10.000,000000	172,546500	-	10.172,546500	Padrão - SND	Reg.	
09/07/2018	EBEN17	10.000,000000	169,827700	-	10.169,827700	Padrão - SND	Reg.	
06/07/2018	EBEN17	10.000,000000	167,109600	-	10.167,109600	Padrão - SND	Reg.	
05/07/2018	EBEN17	10.000,000000	164,392300	-	10.164,392300	Padrão - SND	Reg.	
04/07/2018	EBEN17	10.000,000000	161,675700	-	10.161,675700	Padrão - SND	Reg.	
03/07/2018	EBEN17	10.000,000000	158,959800	-	10.158,959800	Padrão - SND	Reg.	
02/07/2018	EBEN17	10.000,000000	156,244600	-	10.156,244600	Padrão - SND	Reg.	
29/06/2018	EBEN17	10.000,000000	153,530200	-	10.153,530200	Padrão - SND	Reg.	
28/06/2018	EBEN17	10.000,000000	150,816400	-	10.150,816400	Padrão - SND	Reg.	
27/06/2018	EBEN17	10.000,000000	148,103400	-	10.148,103400	Padrão - SND	Reg.	
26/06/2018	EBEN17	10.000,000000	145,391200	-	10.145,391200	Padrão - SND	Reg.	
25/06/2018	EBEN17	10.000,000000	142,679600	-	10.142,679600	Padrão - SND	Reg.	
22/06/2018	EBEN17	10.000,000000	139,968800	-	10.139,968800	Padrão - SND	Reg.	
21/06/2018	EBEN17	10.000,000000	137,258700	-	10.137,258700	Padrão - SND	Reg.	
20/06/2018	EBEN17	10.000,000000	134,549300	-	10.134,549300	Padrão - SND	Reg.	
19/06/2018	EBEN17	10.000,000000	131,840700	-	10.131,840700	Padrão - SND	Reg.	
18/06/2018	EBEN17	10.000,000000	129,132800	-	10.129,132800	Padrão - SND	Reg.	
15/06/2018	EBEN17	10.000,000000	126,425600	-	10.126,425600	Padrão - SND	Reg.	
14/06/2018	EBEN17	10.000,000000	123,719100	-	10.123,719100	Padrão - SND	Reg.	
13/06/2018	EBEN17	10.000,000000	121,013300	-	10.121,013300	Padrão - SND	Reg.	
12/06/2018	EBEN17	10.000,000000	118,308300	-	10.118,308300	Padrão - SND	Reg.	
11/06/2018	EBEN17	10.000,000000	115,604000	-	10.115,604000	Padrão - SND	Reg.	
08/06/2018	EBEN17	10.000,000000	112,900400	-	10.112,900400	Padrão - SND	Reg.	
07/06/2018	EBEN17	10.000,000000	110,197600	-	10.110,197600	Padrão - SND	Reg.	
06/06/2018	EBEN17	10.000,000000	107,495400	-	10.107,495400	Padrão - SND	Reg.	
05/06/2018	EBEN17	10.000,000000	104,794000	-	10.104,794000	Padrão - SND	Reg.	
04/06/2018	EBEN17	10.000,000000	102,093300	-	10.102,093300	Padrão - SND	Reg.	
01/06/2018	EBEN17	10.000,000000	99,393300	-	10.099,393300	Padrão - SND	Reg.	
30/05/2018	EBEN17	10.000,000000	96,694100	-	10.096,694100	Padrão - SND	Reg.	
29/05/2018	EBEN17	10.000,000000	93,995500	-	10.093,995500	Padrão - SND	Reg.	
28/05/2018	EBEN17	10.000,000000	91,297700	-	10.091,297700	Padrão - SND	Reg.	
25/05/2018	EBEN17	10.000,000000	88,600700	-	10.088,600700	Padrão - SND	Reg.	
24/05/2018	EBEN17	10.000,000000	85,904300	-	10.085,904300	Padrão - SND	Reg.	
23/05/2018	EBEN17	10.000,000000	83,208600	-	10.083,208600	Padrão - SND	Reg.	
22/05/2018	EBEN17	10.000,000000	80,513700	-	10.080,513700	Padrão - SND	Reg.	
21/05/2018	EBEN17	10.000,000000	77,819500	-	10.077,819500	Padrão - SND	Reg.	
18/05/2018	EBEN17	10.000,000000	75,126000	-	10.075,126000	Padrão - SND	Reg.	
17/05/2018	EBEN17	10.000,000000	72,433300	-	10.072,433300	Padrão - SND	Reg.	
16/05/2018	EBEN17	10.000,000000	69,741200	-	10.069,741200	Padrão - SND	Reg.	
15/05/2018	EBEN17	10.000,000000	67,049900	-	10.067,049900	Padrão - SND	Reg.	
14/05/2018	EBEN17	10.000,000000	64,359300	-	10.064,359300	Padrão - SND	Reg.	
11/05/2018	EBEN17	10.000,000000	61,669400	-	10.061,669400	Padrão - SND	Reg.	
10/05/2018	EBEN17	10.000,000000	58,980200	-	10.058,980200	Padrão - SND	Reg.	
09/05/2018	EBEN17	10.000,000000	56,291800	-	10.056,291800	Padrão - SND	Reg.	
08/05/2018	EBEN17	10.000,000000	53,604000	-	10.053,604000	Padrão - SND	Reg.	
07/05/2018	EBEN17	10.000,000000	50,917000	-	10.050,917000	Padrão - SND	Reg.	
04/05/2018	EBEN17	10.000,000000	48,230700	-	10.048,230700	Padrão - SND	Reg.	
03/05/2018	EBEN17	10.000,000000	45,545200	-	10.045,545200	Padrão - SND	Reg.	
02/05/2018	EBEN17	10.000,000000	42,860300	-	10.042,860300	Padrão - SND	Reg.	
30/04/2018	EBEN17	10.000,000000	40,176200	-	10.040,176200	Padrão - SND	Reg.	
27/04/2018	EBEN17	10.000,000000	37,492700	-	10.037,492700	Padrão - SND	Reg.	
26/04/2018	EBEN17	10.000,000000	34,810000	-	10.034,810000	Padrão - SND	Reg.	
25/04/2018	EBEN17	10.000,000000	32,128000	-	10.032,128000	Padrão - SND	Reg.	
24/04/2018	EBEN17	10.000,000000	29,446800	-	10.029,446800	Padrão - SND	Reg.	
23/04/2018	EBEN17	10.000,000000	26,766200	-	10.026,766200	Padrão - SND	Reg.	
20/04/2018	EBEN17	10.000,000000	24,086400	-	10.024,086400	Padrão - SND	Reg.	
19/04/2018	EBEN17	10.000,000000	21,407200	-	10.021,407200	Padrão - SND	Reg.	
18/04/2018	EBEN17	10.000,000000	18,728800	-	10.018,728800	Padrão - SND	Reg.	
17/04/2018	EBEN17	10.000,000000	16,051100	-	10.016,051100	Padrão - SND	Reg.	
16/04/2018	EBEN17	10.000,000000	13,374200	-	10.013,374200	Padrão - SND	Reg.	
13/04/2018	EBEN17	10.000,000000	10,697900	-	10.010,697900	Padrão - SND	Reg.	
12/04/2018	EBEN17	10.000,000000	8,022300	-	10.008,022300	Padrão - SND	Reg.	
11/04/2018	EBEN17	10.000,000000	5,347500	-	10.005,347500	Padrão - SND	Reg.	
10/04/2018	EBEN17	10.000,000000	2,673400	-	10.002,673400	Padrão - SND	Reg.	
09/04/2018	EBEN17	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
06/04/2018	EBEN17	10.000,000000	361,093700	-	10.361,093700	Padrão - SND	Reg.	
05/04/2018	EBEN17	10.000,000000	358,324500	-	10.358,324500	Padrão - SND	Reg.	
04/04/2018	EBEN17	10.000,000000	355,556000	-	10.355,556000	Padrão - SND	Reg.	
03/04/2018	EBEN17	10.000,000000	352,788300	-	10.352,788300	Padrão - SND	Reg.	
02/04/2018	EBEN17	10.000,000000	350,021300	-	10.350,021300	Padrão - SND	Reg.	
29/03/2018	EBEN17	10.000,000000	347,255100	-	10.347,255100	Padrão - SND	Reg.	
28/03/2018	EBEN17	10.000,000000	344,489600	-	10.344,489600	Padrão - SND	Reg.	
27/03/2018	EBEN17	10.000,000000	341,724800	-	10.341,724800	Padrão - SND	Reg.	
