PU Histórico - Gerado em 07/10/2018 01:03:52

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	ECOC11	1.000.000,000000	22.086,783000	-	1.022.086,783000	Padrão - SND	Reg.	
04/10/2018	ECOC11	1.000.000,000000	21.762,871000	-	1.021.762,871000	Padrão - SND	Reg.	
03/10/2018	ECOC11	1.000.000,000000	21.439,059000	-	1.021.439,059000	Padrão - SND	Reg.	
02/10/2018	ECOC11	1.000.000,000000	21.115,359000	-	1.021.115,359000	Padrão - SND	Reg.	
01/10/2018	ECOC11	1.000.000,000000	20.791,749000	-	1.020.791,749000	Padrão - SND	Reg.	
28/09/2018	ECOC11	1.000.000,000000	20.468,623000	-	1.020.468,623000	Padrão - SND	Reg.	
27/09/2018	ECOC11	1.000.000,000000	20.145,607000	-	1.020.145,607000	Padrão - SND	Reg.	
26/09/2018	ECOC11	1.000.000,000000	19.822,683000	-	1.019.822,683000	Padrão - SND	Reg.	
25/09/2018	ECOC11	1.000.000,000000	19.499,868000	-	1.019.499,868000	Padrão - SND	Reg.	
24/09/2018	ECOC11	1.000.000,000000	19.177,155000	-	1.019.177,155000	Padrão - SND	Reg.	
21/09/2018	ECOC11	1.000.000,000000	18.854,533000	-	1.018.854,533000	Padrão - SND	Reg.	
20/09/2018	ECOC11	1.000.000,000000	18.532,021000	-	1.018.532,021000	Padrão - SND	Reg.	
19/09/2018	ECOC11	1.000.000,000000	18.209,621000	-	1.018.209,621000	Padrão - SND	Reg.	
18/09/2018	ECOC11	1.000.000,000000	17.887,311000	-	1.017.887,311000	Padrão - SND	Reg.	
17/09/2018	ECOC11	1.000.000,000000	17.565,102000	-	1.017.565,102000	Padrão - SND	Reg.	
14/09/2018	ECOC11	1.000.000,000000	17.243,003000	-	1.017.243,003000	Padrão - SND	Reg.	
13/09/2018	ECOC11	1.000.000,000000	16.920,996000	-	1.016.920,996000	Padrão - SND	Reg.	
12/09/2018	ECOC11	1.000.000,000000	16.599,099000	-	1.016.599,099000	Padrão - SND	Reg.	
11/09/2018	ECOC11	1.000.000,000000	16.277,302000	-	1.016.277,302000	Padrão - SND	Reg.	
10/09/2018	ECOC11	1.000.000,000000	15.955,606000	-	1.015.955,606000	Padrão - SND	Reg.	
06/09/2018	ECOC11	1.000.000,000000	15.634,011000	-	1.015.634,011000	Padrão - SND	Reg.	
05/09/2018	ECOC11	1.000.000,000000	15.312,527000	-	1.015.312,527000	Padrão - SND	Reg.	
04/09/2018	ECOC11	1.000.000,000000	14.991,134000	-	1.014.991,134000	Padrão - SND	Reg.	
03/09/2018	ECOC11	1.000.000,000000	14.669,841000	-	1.014.669,841000	Padrão - SND	Reg.	
31/08/2018	ECOC11	1.000.000,000000	14.348,658000	-	1.014.348,658000	Padrão - SND	Reg.	
