PU Histórico - Gerado em 07/10/2018 01:03:55

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	ECOR21	10.000,000000	371,883570	-	10.371,883570	Padrão - SND	Reg.	
04/10/2018	ECOR21	10.000,000000	368,750460	-	10.368,750460	Padrão - SND	Reg.	
03/10/2018	ECOR21	10.000,000000	365,618280	-	10.365,618280	Padrão - SND	Reg.	
02/10/2018	ECOR21	10.000,000000	362,487120	-	10.362,487120	Padrão - SND	Reg.	
01/10/2018	ECOR21	10.000,000000	359,356880	-	10.359,356880	Padrão - SND	Reg.	
28/09/2018	ECOR21	10.000,000000	356,231390	-	10.356,231390	Padrão - SND	Reg.	
27/09/2018	ECOR21	10.000,000000	353,106830	-	10.353,106830	Padrão - SND	Reg.	
26/09/2018	ECOR21	10.000,000000	349,983180	-	10.349,983180	Padrão - SND	Reg.	
25/09/2018	ECOR21	10.000,000000	346,860550	-	10.346,860550	Padrão - SND	Reg.	
24/09/2018	ECOR21	10.000,000000	343,738850	-	10.343,738850	Padrão - SND	Reg.	
21/09/2018	ECOR21	10.000,000000	340,618070	-	10.340,618070	Padrão - SND	Reg.	
20/09/2018	ECOR21	10.000,000000	337,498200	-	10.337,498200	Padrão - SND	Reg.	
19/09/2018	ECOR21	10.000,000000	334,379250	-	10.334,379250	Padrão - SND	Reg.	
18/09/2018	ECOR21	10.000,000000	331,261330	-	10.331,261330	Padrão - SND	Reg.	
17/09/2018	ECOR21	10.000,000000	328,144330	-	10.328,144330	Padrão - SND	Reg.	
14/09/2018	ECOR21	10.000,000000	325,028250	-	10.325,028250	Padrão - SND	Reg.	
13/09/2018	ECOR21	10.000,000000	321,913080	-	10.321,913080	Padrão - SND	Reg.	
12/09/2018	ECOR21	10.000,000000	318,798940	-	10.318,798940	Padrão - SND	Reg.	
11/09/2018	ECOR21	10.000,000000	315,685620	-	10.315,685620	Padrão - SND	Reg.	
10/09/2018	ECOR21	10.000,000000	312,573310	-	10.312,573310	Padrão - SND	Reg.	
06/09/2018	ECOR21	10.000,000000	309,461930	-	10.309,461930	Padrão - SND	Reg.	
05/09/2018	ECOR21	10.000,000000	306,351570	-	10.306,351570	Padrão - SND	Reg.	
04/09/2018	ECOR21	10.000,000000	303,242020	-	10.303,242020	Padrão - SND	Reg.	
03/09/2018	ECOR21	10.000,000000	300,133500	-	10.300,133500	Padrão - SND	Reg.	
31/08/2018	ECOR21	10.000,000000	297,025890	-	10.297,025890	Padrão - SND	Reg.	
30/08/2018	ECOR21	10.000,000000	293,919200	-	10.293,919200	Padrão - SND	Reg.	
29/08/2018	ECOR21	10.000,000000	290,813430	-	10.290,813430	Padrão - SND	Reg.	
28/08/2018	ECOR21	10.000,000000	287,708580	-	10.287,708580	Padrão - SND	Reg.	
27/08/2018	ECOR21	10.000,000000	284,604740	-	10.284,604740	Padrão - SND	Reg.	
24/08/2018	ECOR21	10.000,000000	281,501830	-	10.281,501830	Padrão - SND	Reg.	
23/08/2018	ECOR21	10.000,000000	278,399830	-	10.278,399830	Padrão - SND	Reg.	
22/08/2018	ECOR21	10.000,000000	275,298750	-	10.275,298750	Padrão - SND	Reg.	
21/08/2018	ECOR21	10.000,000000	272,198590	-	10.272,198590	Padrão - SND	Reg.	
20/08/2018	ECOR21	10.000,000000	269,099360	-	10.269,099360	Padrão - SND	Reg.	
17/08/2018	ECOR21	10.000,000000	266,001130	-	10.266,001130	Padrão - SND	Reg.	
16/08/2018	ECOR21	10.000,000000	262,903820	-	10.262,903820	Padrão - SND	Reg.	
15/08/2018	ECOR21	10.000,000000	259,807430	-	10.259,807430	Padrão - SND	Reg.	
14/08/2018	ECOR21	10.000,000000	256,711960	-	10.256,711960	Padrão - SND	Reg.	
13/08/2018	ECOR21	10.000,000000	253,617400	-	10.253,617400	Padrão - SND	Reg.	
10/08/2018	ECOR21	10.000,000000	250,523860	-	10.250,523860	Padrão - SND	Reg.	
09/08/2018	ECOR21	10.000,000000	247,431140	-	10.247,431140	Padrão - SND	Reg.	
08/08/2018	ECOR21	10.000,000000	244,339440	-	10.244,339440	Padrão - SND	Reg.	
07/08/2018	ECOR21	10.000,000000	241,248650	-	10.241,248650	Padrão - SND	Reg.	
06/08/2018	ECOR21	10.000,000000	238,158780	-	10.238,158780	Padrão - SND	Reg.	
