PU Histórico - Gerado em 07/10/2018 01:03:57

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	ECOS12	10.000,000000	214,618400	-	10.214,618400	Padrão - SND	Reg.	
04/10/2018	ECOS12	10.000,000000	211,833900	-	10.211,833900	Padrão - SND	Reg.	
03/10/2018	ECOS12	10.000,000000	209,050300	-	10.209,050300	Padrão - SND	Reg.	
02/10/2018	ECOS12	10.000,000000	206,267400	-	10.206,267400	Padrão - SND	Reg.	
01/10/2018	ECOS12	10.000,000000	203,485200	-	10.203,485200	Padrão - SND	Reg.	
28/09/2018	ECOS12	10.000,000000	200,708000	-	10.200,708000	Padrão - SND	Reg.	
27/09/2018	ECOS12	10.000,000000	197,931500	-	10.197,931500	Padrão - SND	Reg.	
26/09/2018	ECOS12	10.000,000000	195,155800	-	10.195,155800	Padrão - SND	Reg.	
25/09/2018	ECOS12	10.000,000000	192,380900	-	10.192,380900	Padrão - SND	Reg.	
24/09/2018	ECOS12	10.000,000000	189,606700	-	10.189,606700	Padrão - SND	Reg.	
21/09/2018	ECOS12	10.000,000000	186,833300	-	10.186,833300	Padrão - SND	Reg.	
20/09/2018	ECOS12	10.000,000000	184,060600	-	10.184,060600	Padrão - SND	Reg.	
19/09/2018	ECOS12	10.000,000000	181,288700	-	10.181,288700	Padrão - SND	Reg.	
18/09/2018	ECOS12	10.000,000000	178,517500	-	10.178,517500	Padrão - SND	Reg.	
17/09/2018	ECOS12	10.000,000000	175,747100	-	10.175,747100	Padrão - SND	Reg.	
14/09/2018	ECOS12	10.000,000000	172,977400	-	10.172,977400	Padrão - SND	Reg.	
13/09/2018	ECOS12	10.000,000000	170,208500	-	10.170,208500	Padrão - SND	Reg.	
12/09/2018	ECOS12	10.000,000000	167,440400	-	10.167,440400	Padrão - SND	Reg.	
11/09/2018	ECOS12	10.000,000000	164,673000	-	10.164,673000	Padrão - SND	Reg.	
10/09/2018	ECOS12	10.000,000000	161,906300	-	10.161,906300	Padrão - SND	Reg.	
06/09/2018	ECOS12	10.000,000000	159,140400	-	10.159,140400	Padrão - SND	Reg.	
05/09/2018	ECOS12	10.000,000000	156,375300	-	10.156,375300	Padrão - SND	Reg.	
04/09/2018	ECOS12	10.000,000000	153,610900	-	10.153,610900	Padrão - SND	Reg.	
03/09/2018	ECOS12	10.000,000000	150,847200	-	10.150,847200	Padrão - SND	Reg.	
31/08/2018	ECOS12	10.000,000000	148,084400	-	10.148,084400	Padrão - SND	Reg.	
30/08/2018	ECOS12	10.000,000000	145,322200	-	10.145,322200	Padrão - SND	Reg.	
29/08/2018	ECOS12	10.000,000000	142,560900	-	10.142,560900	Padrão - SND	Reg.	
28/08/2018	ECOS12	10.000,000000	139,800200	-	10.139,800200	Padrão - SND	Reg.	
27/08/2018	ECOS12	10.000,000000	137,040300	-	10.137,040300	Padrão - SND	Reg.	
24/08/2018	ECOS12	10.000,000000	134,281200	-	10.134,281200	Padrão - SND	Reg.	
23/08/2018	ECOS12	10.000,000000	131,522800	-	10.131,522800	Padrão - SND	Reg.	
22/08/2018	ECOS12	10.000,000000	128,765200	-	10.128,765200	Padrão - SND	Reg.	
21/08/2018	ECOS12	10.000,000000	126,008300	-	10.126,008300	Padrão - SND	Reg.	
20/08/2018	ECOS12	10.000,000000	123,252200	-	10.123,252200	Padrão - SND	Reg.	
17/08/2018	ECOS12	10.000,000000	120,496800	-	10.120,496800	Padrão - SND	Reg.	
16/08/2018	ECOS12	10.000,000000	117,742200	-	10.117,742200	Padrão - SND	Reg.	
15/08/2018	ECOS12	10.000,000000	114,988400	-	10.114,988400	Padrão - SND	Reg.	
14/08/2018	ECOS12	10.000,000000	112,235200	-	10.112,235200	Padrão - SND	Reg.	
13/08/2018	ECOS12	10.000,000000	109,482900	-	10.109,482900	Padrão - SND	Reg.	
