PU Histórico - Gerado em 07/10/2018 01:04:00

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	ECOV12	1.375,988710	24,863021	-	1.400,851731	Padrão - SND	Reg.	
04/10/2018	ECOV12	1.376,053840	24,656879	-	1.400,710719	Padrão - SND	Reg.	
03/10/2018	ECOV12	1.376,118980	24,450747	-	1.400,569727	Padrão - SND	Reg.	
02/10/2018	ECOV12	1.376,184130	24,244628	-	1.400,428758	Padrão - SND	Reg.	
01/10/2018	ECOV12	1.376,249270	24,038518	-	1.400,287788	Padrão - SND	Reg.	
28/09/2018	ECOV12	1.376,314430	23,832420	-	1.400,146850	Padrão - SND	Reg.	
27/09/2018	ECOV12	1.376,379570	23,626333	-	1.400,005903	Padrão - SND	Reg.	
26/09/2018	ECOV12	1.376,444740	23,420258	-	1.399,864998	Padrão - SND	Reg.	
25/09/2018	ECOV12	1.376,509890	23,214194	-	1.399,724084	Padrão - SND	Reg.	
24/09/2018	ECOV12	1.376,575050	23,008140	-	1.399,583190	Padrão - SND	Reg.	
21/09/2018	ECOV12	1.376,640220	22,802097	-	1.399,442317	Padrão - SND	Reg.	
20/09/2018	ECOV12	1.376,705380	22,596066	-	1.399,301446	Padrão - SND	Reg.	
19/09/2018	ECOV12	1.376,770550	22,390046	-	1.399,160596	Padrão - SND	Reg.	
18/09/2018	ECOV12	1.376,835740	22,184037	-	1.399,019777	Padrão - SND	Reg.	
17/09/2018	ECOV12	1.376,900920	21,978039	-	1.398,878959	Padrão - SND	Reg.	
14/09/2018	ECOV12	1.376,957220	21,771912	-	1.398,729132	Padrão - SND	Reg.	
13/09/2018	ECOV12	1.377,013510	21,565798	-	1.398,579308	Padrão - SND	Reg.	
12/09/2018	ECOV12	1.377,069810	21,359698	-	1.398,429508	Padrão - SND	Reg.	
11/09/2018	ECOV12	1.377,126110	21,153611	-	1.398,279721	Padrão - SND	Reg.	
10/09/2018	ECOV12	1.377,182400	20,947539	-	1.398,129939	Padrão - SND	Reg.	
06/09/2018	ECOV12	1.381,446590	20,804851	-	1.402,251441	Padrão - SND	Reg.	
05/09/2018	ECOV12	1.381,239690	20,594251	-	1.401,833941	Padrão - SND	Reg.	
04/09/2018	ECOV12	1.381,032820	20,383742	-	1.401,416562	Padrão - SND	Reg.	
03/09/2018	ECOV12	1.380,825970	20,173326	-	1.400,999296	Padrão - SND	Reg.	
31/08/2018	ECOV12	1.380,619170	19,963005	-	1.400,582175	Padrão - SND	Reg.	
30/08/2018	ECOV12	1.380,412390	19,752776	-	1.400,165166	Padrão - SND	Reg.	
29/08/2018	ECOV12	1.380,205640	19,542641	-	1.399,748281	Padrão - SND	Reg.	
28/08/2018	ECOV12	1.379,998940	19,332600	-	1.399,331540	Padrão - SND	Reg.	
27/08/2018	ECOV12	1.379,792240	19,122650	-	1.398,914890	Padrão - SND	Reg.	
24/08/2018	ECOV12	1.379,585590	18,912794	-	1.398,498384	Padrão - SND	Reg.	
23/08/2018	ECOV12	1.379,378970	18,703031	-	1.398,082001	Padrão - SND	Reg.	
22/08/2018	ECOV12	1.379,172380	18,493361	-	1.397,665741	Padrão - SND	Reg.	
21/08/2018	ECOV12	1.378,965810	18,283785	-	1.397,249595	Padrão - SND	Reg.	
20/08/2018	ECOV12	1.378,759280	18,074300	-	1.396,833580	Padrão - SND	Reg.	
17/08/2018	ECOV12	1.378,552780	17,864909	-	1.396,417689	Padrão - SND	Reg.	
16/08/2018	ECOV12	1.378,346330	17,655612	-	1.396,001942	Padrão - SND	Reg.	
15/08/2018	ECOV12	1.378,139890	17,446406	-	1.395,586296	Padrão - SND	Reg.	
14/08/2018	ECOV12	1.377,933480	17,237295	-	1.395,170775	Padrão - SND	Reg.	
13/08/2018	ECOV12	1.377,727110	17,028274	-	1.394,755384	Padrão - SND	Reg.	
10/08/2018	ECOV12	1.377,520770	16,819348	-	1.394,340118	Padrão - SND	Reg.	
09/08/2018	ECOV12	1.377,314450	16,610514	-	1.393,924964	Padrão - SND	Reg.	
08/08/2018	ECOV12	1.386,961120	16,519124	-	1.403,480244	Padrão - SND	Reg.	
07/08/2018	ECOV12	1.386,171950	16,302145	-	1.402,474095	Padrão - SND	Reg.	
06/08/2018	ECOV12	1.385,383220	16,085438	-	1.401,468658	Padrão - SND	Reg.	
03/08/2018	ECOV12	1.384,594950	15,869002	-	1.400,463952	Padrão - SND	Reg.	
02/08/2018	ECOV12	1.383,807130	15,652839	-	1.399,459969	Padrão - SND	Reg.	
01/08/2018	ECOV12	1.383,019750	15,436947	-	1.398,456697	Padrão - SND	Reg.	
31/07/2018	ECOV12	1.382,232810	15,221326	-	1.397,454136	Padrão - SND	Reg.	
30/07/2018	ECOV12	1.381,446340	15,005976	-	1.396,452316	Padrão - SND	Reg.	
27/07/2018	ECOV12	1.380,660310	14,790897	-	1.395,451207	Padrão - SND	Reg.	
26/07/2018	ECOV12	1.379,874720	14,576089	-	1.394,450809	Padrão - SND	Reg.	
25/07/2018	ECOV12	1.379,089580	14,361549	-	1.393,451129	Padrão - SND	Reg.	
24/07/2018	ECOV12	1.378,304890	14,147281	-	1.392,452171	Padrão - SND	Reg.	
23/07/2018	ECOV12	1.377,520640	13,933282	-	1.391,453922	Padrão - SND	Reg.	
20/07/2018	ECOV12	1.376,736840	13,719553	-	1.390,456393	Padrão - SND	Reg.	
19/07/2018	ECOV12	1.375,953480	13,506092	-	1.389,459572	Padrão - SND	Reg.	
18/07/2018	ECOV12	1.375,170570	13,292901	-	1.388,463471	Padrão - SND	Reg.	
17/07/2018	ECOV12	1.374,388110	13,079977	-	1.387,468087	Padrão - SND	Reg.	
16/07/2018	ECOV12	1.373,606100	12,867324	-	1.386,473424	Padrão - SND	Reg.	
13/07/2018	ECOV12	1.372,787320	12,654594	-	1.385,441914	Padrão - SND	Reg.	
12/07/2018	ECOV12	1.371,969020	12,442144	-	1.384,411164	Padrão - SND	Reg.	
11/07/2018	ECOV12	1.371,151220	12,229972	-	1.383,381192	Padrão - SND	Reg.	
10/07/2018	ECOV12	1.370,333900	12,018080	-	1.382,351980	Padrão - SND	Reg.	
