PU Histórico - Gerado em 17/02/2019 12:17:16

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	EGSP11	100.000,000000	537,194200	-	100.537,194200	Padrão - SND	Reg.	
14/02/2019	EGSP11	100.000,000000	498,727600	-	100.498,727600	Padrão - SND	Reg.	
13/02/2019	EGSP11	100.000,000000	460,275600	-	100.460,275600	Padrão - SND	Reg.	
12/02/2019	EGSP11	100.000,000000	421,839300	-	100.421,839300	Padrão - SND	Reg.	
11/02/2019	EGSP11	100.000,000000	383,416500	-	100.383,416500	Padrão - SND	Reg.	
08/02/2019	EGSP11	100.000,000000	345,008500	-	100.345,008500	Padrão - SND	Reg.	
07/02/2019	EGSP11	100.000,000000	306,615900	-	100.306,615900	Padrão - SND	Reg.	
06/02/2019	EGSP11	100.000,000000	268,237100	-	100.268,237100	Padrão - SND	Reg.	
05/02/2019	EGSP11	100.000,000000	229,873800	-	100.229,873800	Padrão - SND	Reg.	
04/02/2019	EGSP11	100.000,000000	191,525200	-	100.191,525200	Padrão - SND	Reg.	
01/02/2019	EGSP11	100.000,000000	153,190200	-	100.153,190200	Padrão - SND	Reg.	
31/01/2019	EGSP11	100.000,000000	114,870800	-	100.114,870800	Padrão - SND	Reg.	
30/01/2019	EGSP11	100.000,000000	76,565800	-	100.076,565800	Padrão - SND	Reg.	
29/01/2019	EGSP11	100.000,000000	38,275700	-	100.038,275700	Padrão - SND	Reg.	
28/01/2019	EGSP11	100.000,000000	-  	-	100.000,000000	Padrão - SND	Reg.	
25/01/2019	EGSP11	100.000,000000	-  	-	100.000,000000	Padrão - SND	Reg.	
24/01/2019	EGSP11	100.000,000000	-  	-	100.000,000000	Padrão - SND	Reg.	
23/01/2019	EGSP11	100.000,000000	-  	-	100.000,000000	Padrão - SND	Reg.	
22/01/2019	EGSP11	100.000,000000	-  	-	100.000,000000	Padrão - SND	Reg.	
21/01/2019	EGSP11	100.000,000000	-  	-	100.000,000000	Padrão - SND	Reg.	
18/01/2019	EGSP11	100.000,000000	-  	-	100.000,000000	Padrão - SND	Reg.	
17/01/2019	EGSP11	100.000,000000	-  	-	100.000,000000	Padrão - SND	Reg.	
16/01/2019	EGSP11	100.000,000000	-  	-	100.000,000000	Padrão - SND	Reg.	
15/01/2019	EGSP11	100.000,000000	-  	-	100.000,000000	Padrão - SND	Reg.	
14/01/2019	EGSP11	100.000,000000	-  	-	100.000,000000	Padrão - SND	Reg.	
11/01/2019	EGSP11	100.000,000000	-  	-	100.000,000000	Padrão - SND	Reg.	
10/01/2019	EGSP11	100.000,000000	-  	-	100.000,000000	Padrão - SND	Reg.	
09/01/2019	EGSP11	100.000,000000	-  	-	100.000,000000	Padrão - SND	Reg.	
08/01/2019	EGSP11	100.000,000000	-  	-	100.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
