PU Histórico - Gerado em 07/10/2018 01:04:33

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	ELEK37	1.012,570710	16,399098	-	1.028,969808	Padrão - SND	Reg.	
04/10/2018	ELEK37	1.012,357990	16,159570	-	1.028,517560	Padrão - SND	Reg.	
03/10/2018	ELEK37	1.012,145310	15,920196	-	1.028,065506	Padrão - SND	Reg.	
02/10/2018	ELEK37	1.011,932680	15,680976	-	1.027,613656	Padrão - SND	Reg.	
01/10/2018	ELEK37	1.011,720090	15,441909	-	1.027,161999	Padrão - SND	Reg.	
28/09/2018	ELEK37	1.011,507540	15,202997	-	1.026,710537	Padrão - SND	Reg.	
27/09/2018	ELEK37	1.011,295040	14,964239	-	1.026,259279	Padrão - SND	Reg.	
26/09/2018	ELEK37	1.011,082580	14,725633	-	1.025,808213	Padrão - SND	Reg.	
25/09/2018	ELEK37	1.010,870170	14,487182	-	1.025,357352	Padrão - SND	Reg.	
24/09/2018	ELEK37	1.010,657800	14,248884	-	1.024,906684	Padrão - SND	Reg.	
21/09/2018	ELEK37	1.010,275920	14,008389	-	1.024,284309	Padrão - SND	Reg.	
20/09/2018	ELEK37	1.010,106050	13,771016	-	1.023,877066	Padrão - SND	Reg.	
19/09/2018	ELEK37	1.009,936220	13,533776	-	1.023,469996	Padrão - SND	Reg.	
18/09/2018	ELEK37	1.009,766410	13,296670	-	1.023,063080	Padrão - SND	Reg.	
17/09/2018	ELEK37	1.012,827340	13,101487	-	1.025,928827	Padrão - SND	Reg.	
14/09/2018	ELEK37	1.009,637910	12,825536	-	1.022,463446	Padrão - SND	Reg.	
13/09/2018	ELEK37	1.009,679190	12,591412	-	1.022,270602	Padrão - SND	Reg.	
12/09/2018	ELEK37	1.009,720470	12,357322	-	1.022,077792	Padrão - SND	Reg.	
11/09/2018	ELEK37	1.009,761750	12,123266	-	1.021,885016	Padrão - SND	Reg.	
10/09/2018	ELEK37	1.009,803030	11,889245	-	1.021,692275	Padrão - SND	Reg.	
06/09/2018	ELEK37	1.010,505100	11,662886	-	1.022,167986	Padrão - SND	Reg.	
05/09/2018	ELEK37	1.010,505100	11,428315	-	1.021,933415	Padrão - SND	Reg.	
04/09/2018	ELEK37	1.010,505100	11,193796	-	1.021,698896	Padrão - SND	Reg.	
03/09/2018	ELEK37	1.010,505100	10,959332	-	1.021,464432	Padrão - SND	Reg.	
31/08/2018	ELEK37	1.010,505100	10,724922	-	1.021,230022	Padrão - SND	Reg.	
30/08/2018	ELEK37	1.010,505100	10,490566	-	1.020,995666	Padrão - SND	Reg.	
29/08/2018	ELEK37	1.010,505100	10,256263	-	1.020,761363	Padrão - SND	Reg.	
28/08/2018	ELEK37	1.010,505100	10,022014	-	1.020,527114	Padrão - SND	Reg.	
27/08/2018	ELEK37	1.010,505100	9,787819	-	1.020,292919	Padrão - SND	Reg.	
24/08/2018	ELEK37	1.010,505100	9,553677	-	1.020,058777	Padrão - SND	Reg.	
23/08/2018	ELEK37	1.011,330970	9,327206	-	1.020,658176	Padrão - SND	Reg.	
22/08/2018	ELEK37	1.011,193270	9,091743	-	1.020,285013	Padrão - SND	Reg.	
21/08/2018	ELEK37	1.011,055600	8,856397	-	1.019,911997	Padrão - SND	Reg.	
20/08/2018	ELEK37	1.010,917950	8,621170	-	1.019,539120	Padrão - SND	Reg.	
17/08/2018	ELEK37	1.010,780310	8,386059	-	1.019,166369	Padrão - SND	Reg.	
16/08/2018	ELEK37	1.010,642690	8,151066	-	1.018,793756	Padrão - SND	Reg.	
15/08/2018	ELEK37	1.010,505100	7,916191	-	1.018,421291	Padrão - SND	Reg.	
14/08/2018	ELEK37	1.010,353750	7,681329	-	1.018,035079	Padrão - SND	Reg.	
13/08/2018	ELEK37	1.010,202430	7,446590	-	1.017,649020	Padrão - SND	Reg.	
10/08/2018	ELEK37	1.010,051130	7,211974	-	1.017,263104	Padrão - SND	Reg.	
09/08/2018	ELEK37	1.009,899850	6,977483	-	1.016,877333	Padrão - SND	Reg.	
08/08/2018	ELEK37	1.010,059160	6,745189	-	1.016,804349	Padrão - SND	Reg.	
07/08/2018	ELEK37	1.009,889610	6,510755	-	1.016,400365	Padrão - SND	Reg.	
06/08/2018	ELEK37	1.009,720090	6,276453	-	1.015,996543	Padrão - SND	Reg.	
03/08/2018	ELEK37	1.009,550600	6,042283	-	1.015,592883	Padrão - SND	Reg.	
02/08/2018	ELEK37	1.009,381140	5,808246	-	1.015,189386	Padrão - SND	Reg.	
01/08/2018	ELEK37	1.009,211700	5,574339	-	1.014,786039	Padrão - SND	Reg.	
31/07/2018	ELEK37	1.009,042310	5,340565	-	1.014,382875	Padrão - SND	Reg.	
30/07/2018	ELEK37	1.008,872930	5,106923	-	1.013,979853	Padrão - SND	Reg.	
27/07/2018	ELEK37	1.008,703580	4,873412	-	1.013,576992	Padrão - SND	Reg.	
26/07/2018	ELEK37	1.008,534260	4,640033	-	1.013,174293	Padrão - SND	Reg.	
25/07/2018	ELEK37	1.008,364980	4,406785	-	1.012,771765	Padrão - SND	Reg.	
24/07/2018	ELEK37	1.008,195710	4,173669	-	1.012,369379	Padrão - SND	Reg.	
23/07/2018	ELEK37	1.008,026470	3,940684	-	1.011,967154	Padrão - SND	Reg.	
20/07/2018	ELEK37	1.007,857280	3,707831	-	1.011,565111	Padrão - SND	Reg.	
19/07/2018	ELEK37	1.007,688100	3,475109	-	1.011,163209	Padrão - SND	Reg.	
18/07/2018	ELEK37	1.007,518950	3,242518	-	1.010,761468	Padrão - SND	Reg.	
17/07/2018	ELEK37	1.007,349830	3,010059	-	1.010,359889	Padrão - SND	Reg.	
16/07/2018	ELEK37	1.010,907310	2,788009	-	1.013,695319	Padrão - SND	Reg.	
13/07/2018	ELEK37	1.006,580390	2,544443	-	1.009,124833	Padrão - SND	Reg.	
12/07/2018	ELEK37	1.005,980390	2,311485	-	1.008,291875	Padrão - SND	Reg.	
11/07/2018	ELEK37	1.005,380740	2,078859	-	1.007,459599	Padrão - SND	Reg.	
10/07/2018	ELEK37	1.004,781450	1,846561	-	1.006,628011	Padrão - SND	Reg.	
09/07/2018	ELEK37	1.004,182520	1,614592	-	1.005,797112	Padrão - SND	Reg.	
06/07/2018	ELEK37	1.003,527270	1,382875	-	1.004,910145	Padrão - SND	Reg.	
05/07/2018	ELEK37	1.002,938530	1,151587	-	1.004,090117	Padrão - SND	Reg.	
04/07/2018	ELEK37	1.002,350130	0,920624	-	1.003,270754	Padrão - SND	Reg.	
03/07/2018	ELEK37	1.001,762080	0,689984	-	1.002,452064	Padrão - SND	Reg.	
02/07/2018	ELEK37	1.001,174370	0,459666	-	1.001,634036	Padrão - SND	Reg.	
29/06/2018	ELEK37	1.000,587010	0,229672	-	1.000,816682	Padrão - SND	Reg.	
28/06/2018	ELEK37	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
27/06/2018	ELEK37	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
