PU Histórico - Gerado em 07/10/2018 01:04:57

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	ENGI28	1.045,482940	18,201643	-	1.063,684583	Padrão - SND	Reg.	
04/10/2018	ENGI28	1.045,532430	17,970124	-	1.063,502554	Padrão - SND	Reg.	
03/10/2018	ENGI28	1.045,581920	17,738634	-	1.063,320554	Padrão - SND	Reg.	
02/10/2018	ENGI28	1.045,631430	17,507173	-	1.063,138603	Padrão - SND	Reg.	
01/10/2018	ENGI28	1.045,680920	17,275742	-	1.062,956662	Padrão - SND	Reg.	
28/09/2018	ENGI28	1.045,730430	17,044338	-	1.062,774768	Padrão - SND	Reg.	
27/09/2018	ENGI28	1.045,779920	16,812963	-	1.062,592883	Padrão - SND	Reg.	
26/09/2018	ENGI28	1.045,829440	16,581617	-	1.062,411057	Padrão - SND	Reg.	
25/09/2018	ENGI28	1.045,878940	16,350301	-	1.062,229241	Padrão - SND	Reg.	
24/09/2018	ENGI28	1.045,928450	16,119013	-	1.062,047463	Padrão - SND	Reg.	
21/09/2018	ENGI28	1.045,977960	15,887753	-	1.061,865713	Padrão - SND	Reg.	
20/09/2018	ENGI28	1.046,027480	15,656522	-	1.061,684002	Padrão - SND	Reg.	
19/09/2018	ENGI28	1.046,076990	15,425319	-	1.061,502309	Padrão - SND	Reg.	
18/09/2018	ENGI28	1.046,126520	15,194147	-	1.061,320667	Padrão - SND	Reg.	
17/09/2018	ENGI28	1.046,176050	14,963002	-	1.061,139052	Padrão - SND	Reg.	
14/09/2018	ENGI28	1.046,218820	14,731792	-	1.060,950612	Padrão - SND	Reg.	
13/09/2018	ENGI28	1.046,261600	14,500612	-	1.060,762212	Padrão - SND	Reg.	
12/09/2018	ENGI28	1.046,304370	14,269464	-	1.060,573834	Padrão - SND	Reg.	
11/09/2018	ENGI28	1.046,347140	14,038349	-	1.060,385489	Padrão - SND	Reg.	
10/09/2018	ENGI28	1.046,389920	13,807265	-	1.060,197185	Padrão - SND	Reg.	
06/09/2018	ENGI28	1.049,629870	13,617692	-	1.063,247562	Padrão - SND	Reg.	
