PU Histórico - Gerado em 17/02/2019 12:17:34

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	EQSP21	1.001,250800	1,626610	-	1.002,877410	Padrão - SND	Reg.	
14/02/2019	EQSP21	1.001,111750	1,445544	-	1.002,557294	Padrão - SND	Reg.	
13/02/2019	EQSP21	1.000,972710	1,264561	-	1.002,237271	Padrão - SND	Reg.	
12/02/2019	EQSP21	1.000,833690	1,083662	-	1.001,917352	Padrão - SND	Reg.	
11/02/2019	EQSP21	1.000,694690	0,902844	-	1.001,597534	Padrão - SND	Reg.	
08/02/2019	EQSP21	1.000,260720	0,721897	-	1.000,982617	Padrão - SND	Reg.	
07/02/2019	EQSP21	1.000,195530	0,541339	-	1.000,736869	Padrão - SND	Reg.	
06/02/2019	EQSP21	1.000,130350	0,360836	-	1.000,491186	Padrão - SND	Reg.	
05/02/2019	EQSP21	1.000,065170	0,180390	-	1.000,245560	Padrão - SND	Reg.	
04/02/2019	EQSP21	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
01/02/2019	EQSP21	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
