PU Histórico - Gerado em 07/10/2018 01:05:32

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	ERSA13	6.667,000000	181,117322	-	6.848,117322	Padrão - SND	Reg.	
04/10/2018	ERSA13	6.667,000000	179,141090	-	6.846,141090	Padrão - SND	Reg.	
03/10/2018	ERSA13	6.667,000000	177,165391	-	6.844,165391	Padrão - SND	Reg.	
02/10/2018	ERSA13	6.667,000000	175,190226	-	6.842,190226	Padrão - SND	Reg.	
01/10/2018	ERSA13	6.667,000000	173,215660	-	6.840,215660	Padrão - SND	Reg.	
28/09/2018	ERSA13	6.667,000000	171,244628	-	6.838,244628	Padrão - SND	Reg.	
27/09/2018	ERSA13	6.667,000000	169,274197	-	6.836,274197	Padrão - SND	Reg.	
26/09/2018	ERSA13	6.667,000000	167,304298	-	6.834,304298	Padrão - SND	Reg.	
25/09/2018	ERSA13	6.667,000000	165,335000	-	6.832,335000	Padrão - SND	Reg.	
24/09/2018	ERSA13	6.667,000000	163,366235	-	6.830,366235	Padrão - SND	Reg.	
21/09/2018	ERSA13	6.667,000000	161,398003	-	6.828,398003	Padrão - SND	Reg.	
20/09/2018	ERSA13	6.667,000000	159,430438	-	6.826,430438	Padrão - SND	Reg.	
19/09/2018	ERSA13	6.667,000000	157,463339	-	6.824,463339	Padrão - SND	Reg.	
18/09/2018	ERSA13	6.667,000000	155,496841	-	6.822,496841	Padrão - SND	Reg.	
17/09/2018	ERSA13	6.667,000000	153,530943	-	6.820,530943	Padrão - SND	Reg.	
14/09/2018	ERSA13	6.667,000000	151,565578	-	6.818,565578	Padrão - SND	Reg.	
13/09/2018	ERSA13	6.667,000000	149,600813	-	6.816,600813	Padrão - SND	Reg.	
12/09/2018	ERSA13	6.667,000000	147,636581	-	6.814,636581	Padrão - SND	Reg.	
11/09/2018	ERSA13	6.667,000000	145,672950	-	6.812,672950	Padrão - SND	Reg.	
10/09/2018	ERSA13	6.667,000000	143,709852	-	6.810,709852	Padrão - SND	Reg.	
06/09/2018	ERSA13	6.667,000000	141,747287	-	6.808,747287	Padrão - SND	Reg.	
05/09/2018	ERSA13	6.667,000000	139,785389	-	6.806,785389	Padrão - SND	Reg.	
04/09/2018	ERSA13	6.667,000000	137,823958	-	6.804,823958	Padrão - SND	Reg.	
03/09/2018	ERSA13	6.667,000000	135,863126	-	6.802,863126	Padrão - SND	Reg.	
31/08/2018	ERSA13	6.667,000000	133,902895	-	6.800,902895	Padrão - SND	Reg.	
30/08/2018	ERSA13	6.667,000000	131,943197	-	6.798,943197	Padrão - SND	Reg.	
29/08/2018	ERSA13	6.667,000000	129,984032	-	6.796,984032	Padrão - SND	Reg.	
28/08/2018	ERSA13	6.667,000000	128,025468	-	6.795,025468	Padrão - SND	Reg.	
27/08/2018	ERSA13	6.667,000000	126,067503	-	6.793,067503	Padrão - SND	Reg.	
24/08/2018	ERSA13	6.667,000000	124,110005	-	6.791,110005	Padrão - SND	Reg.	
