PU Histórico - Gerado em 07/10/2018 01:05:37

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	ESAM14	1.002,740800	5,350216	-	1.008,091016	Padrão - SND	Reg.	
04/10/2018	ESAM14	1.002,530150	5,066851	-	1.007,597001	Padrão - SND	Reg.	
03/10/2018	ESAM14	1.002,319530	4,783683	-	1.007,103213	Padrão - SND	Reg.	
02/10/2018	ESAM14	1.002,108960	4,500714	-	1.006,609674	Padrão - SND	Reg.	
01/10/2018	ESAM14	1.001,898440	4,217941	-	1.006,116381	Padrão - SND	Reg.	
28/09/2018	ESAM14	1.001,687950	3,935367	-	1.005,623316	Padrão - SND	Reg.	
27/09/2018	ESAM14	1.001,477510	3,652989	-	1.005,130499	Padrão - SND	Reg.	
26/09/2018	ESAM14	1.001,267110	3,370810	-	1.004,637920	Padrão - SND	Reg.	
25/09/2018	ESAM14	1.001,056770	3,088827	-	1.004,145597	Padrão - SND	Reg.	
24/09/2018	ESAM14	1.000,846460	2,807041	-	1.003,653501	Padrão - SND	Reg.	
21/09/2018	ESAM14	1.000,468290	2,525029	-	1.002,993319	Padrão - SND	Reg.	
20/09/2018	ESAM14	1.000,300070	2,243778	-	1.002,543848	Padrão - SND	Reg.	
19/09/2018	ESAM14	1.000,131890	1,962701	-	1.002,094591	Padrão - SND	Reg.	
18/09/2018	ESAM14	999,963720	1,681796	-	1.001,645516	Padrão - SND	Reg.	
17/09/2018	ESAM14	1.002,994940	1,405549	-	1.004,400489	Padrão - SND	Reg.	
14/09/2018	ESAM14	999,836480	1,120741	-	1.000,957221	Padrão - SND	Reg.	
13/09/2018	ESAM14	999,877350	0,840472	-	1.000,717822	Padrão - SND	Reg.	
12/09/2018	ESAM14	999,918230	0,560259	-	1.000,478489	Padrão - SND	Reg.	
11/09/2018	ESAM14	999,959110	0,280102	-	1.000,239212	Padrão - SND	Reg.	
10/09/2018	ESAM14	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
06/09/2018	ESAM14	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
