PU Histórico - Gerado em 07/10/2018 01:05:49

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	ESTD14	10.000,000000	334,678440	-	10.334,678440	Padrão - SND	Reg.	
04/10/2018	ESTD14	10.000,000000	330,625430	-	10.330,625430	Padrão - SND	Reg.	
03/10/2018	ESTD14	10.000,000000	326,573890	-	10.326,573890	Padrão - SND	Reg.	
02/10/2018	ESTD14	10.000,000000	322,524030	-	10.322,524030	Padrão - SND	Reg.	
01/10/2018	ESTD14	10.000,000000	318,475730	-	10.318,475730	Padrão - SND	Reg.	
28/09/2018	ESTD14	10.000,000000	314,432850	-	10.314,432850	Padrão - SND	Reg.	
27/09/2018	ESTD14	10.000,000000	310,391540	-	10.310,391540	Padrão - SND	Reg.	
26/09/2018	ESTD14	10.000,000000	306,351890	-	10.306,351890	Padrão - SND	Reg.	
25/09/2018	ESTD14	10.000,000000	302,313710	-	10.302,313710	Padrão - SND	Reg.	
24/09/2018	ESTD14	10.000,000000	298,277200	-	10.298,277200	Padrão - SND	Reg.	
21/09/2018	ESTD14	10.000,000000	294,242250	-	10.294,242250	Padrão - SND	Reg.	
20/09/2018	ESTD14	10.000,000000	290,208770	-	10.290,208770	Padrão - SND	Reg.	
19/09/2018	ESTD14	10.000,000000	286,176950	-	10.286,176950	Padrão - SND	Reg.	
18/09/2018	ESTD14	10.000,000000	282,146800	-	10.282,146800	Padrão - SND	Reg.	
17/09/2018	ESTD14	10.000,000000	278,118120	-	10.278,118120	Padrão - SND	Reg.	
14/09/2018	ESTD14	10.000,000000	274,091100	-	10.274,091100	Padrão - SND	Reg.	
13/09/2018	ESTD14	10.000,000000	270,065530	-	10.270,065530	Padrão - SND	Reg.	
12/09/2018	ESTD14	10.000,000000	266,041640	-	10.266,041640	Padrão - SND	Reg.	
11/09/2018	ESTD14	10.000,000000	262,019300	-	10.262,019300	Padrão - SND	Reg.	
10/09/2018	ESTD14	10.000,000000	257,998530	-	10.257,998530	Padrão - SND	Reg.	
06/09/2018	ESTD14	10.000,000000	253,979320	-	10.253,979320	Padrão - SND	Reg.	
05/09/2018	ESTD14	10.000,000000	249,961770	-	10.249,961770	Padrão - SND	Reg.	
04/09/2018	ESTD14	10.000,000000	245,945680	-	10.245,945680	Padrão - SND	Reg.	
03/09/2018	ESTD14	10.000,000000	241,931260	-	10.241,931260	Padrão - SND	Reg.	
31/08/2018	ESTD14	10.000,000000	237,918390	-	10.237,918390	Padrão - SND	Reg.	
30/08/2018	ESTD14	10.000,000000	233,906970	-	10.233,906970	Padrão - SND	Reg.	
29/08/2018	ESTD14	10.000,000000	229,897220	-	10.229,897220	Padrão - SND	Reg.	
28/08/2018	ESTD14	10.000,000000	225,889130	-	10.225,889130	Padrão - SND	Reg.	
27/08/2018	ESTD14	10.000,000000	221,882500	-	10.221,882500	Padrão - SND	Reg.	
24/08/2018	ESTD14	10.000,000000	217,877410	-	10.217,877410	Padrão - SND	Reg.	
23/08/2018	ESTD14	10.000,000000	213,873990	-	10.213,873990	Padrão - SND	Reg.	
22/08/2018	ESTD14	10.000,000000	209,872030	-	10.209,872030	Padrão - SND	Reg.	
21/08/2018	ESTD14	10.000,000000	205,871720	-	10.205,871720	Padrão - SND	Reg.	
20/08/2018	ESTD14	10.000,000000	201,872960	-	10.201,872960	Padrão - SND	Reg.	
17/08/2018	ESTD14	10.000,000000	197,875770	-	10.197,875770	Padrão - SND	Reg.	
16/08/2018	ESTD14	10.000,000000	193,880120	-	10.193,880120	Padrão - SND	Reg.	
15/08/2018	ESTD14	10.000,000000	189,886130	-	10.189,886130	Padrão - SND	Reg.	
14/08/2018	ESTD14	10.000,000000	185,893600	-	10.185,893600	Padrão - SND	Reg.	
13/08/2018	ESTD14	10.000,000000	181,902610	-	10.181,902610	Padrão - SND	Reg.	
10/08/2018	ESTD14	10.000,000000	177,913280	-	10.177,913280	Padrão - SND	Reg.	
09/08/2018	ESTD14	10.000,000000	173,925500	-	10.173,925500	Padrão - SND	Reg.	
08/08/2018	ESTD14	10.000,000000	169,939170	-	10.169,939170	Padrão - SND	Reg.	
