PU Histórico - Gerado em 07/10/2018 01:05:50

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	ESUL18	10.000,000000	37,077000	-	10.037,077000	Padrão - SND	Reg.	
04/10/2018	ESUL18	10.000,000000	34,421200	-	10.034,421200	Padrão - SND	Reg.	
03/10/2018	ESUL18	10.000,000000	31,766200	-	10.031,766200	Padrão - SND	Reg.	
02/10/2018	ESUL18	10.000,000000	29,111800	-	10.029,111800	Padrão - SND	Reg.	
01/10/2018	ESUL18	10.000,000000	26,458200	-	10.026,458200	Padrão - SND	Reg.	
28/09/2018	ESUL18	10.000,000000	23,809200	-	10.023,809200	Padrão - SND	Reg.	
27/09/2018	ESUL18	10.000,000000	21,160900	-	10.021,160900	Padrão - SND	Reg.	
26/09/2018	ESUL18	10.000,000000	18,513400	-	10.018,513400	Padrão - SND	Reg.	
25/09/2018	ESUL18	10.000,000000	15,866500	-	10.015,866500	Padrão - SND	Reg.	
24/09/2018	ESUL18	10.000,000000	13,220300	-	10.013,220300	Padrão - SND	Reg.	
21/09/2018	ESUL18	10.000,000000	10,574900	-	10.010,574900	Padrão - SND	Reg.	
20/09/2018	ESUL18	10.000,000000	7,930100	-	10.007,930100	Padrão - SND	Reg.	
19/09/2018	ESUL18	10.000,000000	5,286000	-	10.005,286000	Padrão - SND	Reg.	
18/09/2018	ESUL18	10.000,000000	2,642700	-	10.002,642700	Padrão - SND	Reg.	
17/09/2018	ESUL18	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
14/09/2018	ESUL18	10.000,000000	341,787000	-	10.341,787000	Padrão - SND	Reg.	
13/09/2018	ESUL18	10.000,000000	339,054800	-	10.339,054800	Padrão - SND	Reg.	
12/09/2018	ESUL18	10.000,000000	336,323200	-	10.336,323200	Padrão - SND	Reg.	
11/09/2018	ESUL18	10.000,000000	333,592400	-	10.333,592400	Padrão - SND	Reg.	
10/09/2018	ESUL18	10.000,000000	330,862300	-	10.330,862300	Padrão - SND	Reg.	
06/09/2018	ESUL18	10.000,000000	328,132900	-	10.328,132900	Padrão - SND	Reg.	
05/09/2018	ESUL18	10.000,000000	325,404200	-	10.325,404200	Padrão - SND	Reg.	
04/09/2018	ESUL18	10.000,000000	322,676300	-	10.322,676300	Padrão - SND	Reg.	
03/09/2018	ESUL18	10.000,000000	319,949000	-	10.319,949000	Padrão - SND	Reg.	
31/08/2018	ESUL18	10.000,000000	317,222500	-	10.317,222500	Padrão - SND	Reg.	
30/08/2018	ESUL18	10.000,000000	314,496800	-	10.314,496800	Padrão - SND	Reg.	
29/08/2018	ESUL18	10.000,000000	311,771700	-	10.311,771700	Padrão - SND	Reg.	
28/08/2018	ESUL18	10.000,000000	309,047400	-	10.309,047400	Padrão - SND	Reg.	
27/08/2018	ESUL18	10.000,000000	306,323700	-	10.306,323700	Padrão - SND	Reg.	
24/08/2018	ESUL18	10.000,000000	303,600800	-	10.303,600800	Padrão - SND	Reg.	
23/08/2018	ESUL18	10.000,000000	300,878600	-	10.300,878600	Padrão - SND	Reg.	
22/08/2018	ESUL18	10.000,000000	298,157200	-	10.298,157200	Padrão - SND	Reg.	
21/08/2018	ESUL18	10.000,000000	295,436400	-	10.295,436400	Padrão - SND	Reg.	
20/08/2018	ESUL18	10.000,000000	292,716400	-	10.292,716400	Padrão - SND	Reg.	
17/08/2018	ESUL18	10.000,000000	289,997100	-	10.289,997100	Padrão - SND	Reg.	
16/08/2018	ESUL18	10.000,000000	287,278500	-	10.287,278500	Padrão - SND	Reg.	
15/08/2018	ESUL18	10.000,000000	284,560600	-	10.284,560600	Padrão - SND	Reg.	
14/08/2018	ESUL18	10.000,000000	281,843500	-	10.281,843500	Padrão - SND	Reg.	
13/08/2018	ESUL18	10.000,000000	279,127000	-	10.279,127000	Padrão - SND	Reg.	
10/08/2018	ESUL18	10.000,000000	276,411300	-	10.276,411300	Padrão - SND	Reg.	
09/08/2018	ESUL18	10.000,000000	273,696300	-	10.273,696300	Padrão - SND	Reg.	
08/08/2018	ESUL18	10.000,000000	270,982000	-	10.270,982000	Padrão - SND	Reg.	
07/08/2018	ESUL18	10.000,000000	268,268500	-	10.268,268500	Padrão - SND	Reg.	
06/08/2018	ESUL18	10.000,000000	265,555600	-	10.265,555600	Padrão - SND	Reg.	
03/08/2018	ESUL18	10.000,000000	262,843500	-	10.262,843500	Padrão - SND	Reg.	
02/08/2018	ESUL18	10.000,000000	260,132100	-	10.260,132100	Padrão - SND	Reg.	
01/08/2018	ESUL18	10.000,000000	257,421400	-	10.257,421400	Padrão - SND	Reg.	
31/07/2018	ESUL18	10.000,000000	254,711400	-	10.254,711400	Padrão - SND	Reg.	
