PU Histórico - Gerado em 07/10/2018 01:05:56

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	ETAU11	10.000,000000	239,089900	-	10.239,089900	Padrão - SND	Reg.	
04/10/2018	ETAU11	10.000,000000	236,368000	-	10.236,368000	Padrão - SND	Reg.	
03/10/2018	ETAU11	10.000,000000	233,647000	-	10.233,647000	Padrão - SND	Reg.	
02/10/2018	ETAU11	10.000,000000	230,926600	-	10.230,926600	Padrão - SND	Reg.	
01/10/2018	ETAU11	10.000,000000	228,207000	-	10.228,207000	Padrão - SND	Reg.	
28/09/2018	ETAU11	10.000,000000	225,492100	-	10.225,492100	Padrão - SND	Reg.	
27/09/2018	ETAU11	10.000,000000	222,778000	-	10.222,778000	Padrão - SND	Reg.	
26/09/2018	ETAU11	10.000,000000	220,064600	-	10.220,064600	Padrão - SND	Reg.	
25/09/2018	ETAU11	10.000,000000	217,352000	-	10.217,352000	Padrão - SND	Reg.	
24/09/2018	ETAU11	10.000,000000	214,640000	-	10.214,640000	Padrão - SND	Reg.	
21/09/2018	ETAU11	10.000,000000	211,928800	-	10.211,928800	Padrão - SND	Reg.	
20/09/2018	ETAU11	10.000,000000	209,218300	-	10.209,218300	Padrão - SND	Reg.	
19/09/2018	ETAU11	10.000,000000	206,508500	-	10.206,508500	Padrão - SND	Reg.	
18/09/2018	ETAU11	10.000,000000	203,799400	-	10.203,799400	Padrão - SND	Reg.	
17/09/2018	ETAU11	10.000,000000	201,091000	-	10.201,091000	Padrão - SND	Reg.	
14/09/2018	ETAU11	10.000,000000	198,383400	-	10.198,383400	Padrão - SND	Reg.	
13/09/2018	ETAU11	10.000,000000	195,676500	-	10.195,676500	Padrão - SND	Reg.	
12/09/2018	ETAU11	10.000,000000	192,970300	-	10.192,970300	Padrão - SND	Reg.	
11/09/2018	ETAU11	10.000,000000	190,264800	-	10.190,264800	Padrão - SND	Reg.	
10/09/2018	ETAU11	10.000,000000	187,560100	-	10.187,560100	Padrão - SND	Reg.	
06/09/2018	ETAU11	10.000,000000	184,856000	-	10.184,856000	Padrão - SND	Reg.	
05/09/2018	ETAU11	10.000,000000	182,152700	-	10.182,152700	Padrão - SND	Reg.	
04/09/2018	ETAU11	10.000,000000	179,450100	-	10.179,450100	Padrão - SND	Reg.	
03/09/2018	ETAU11	10.000,000000	176,748200	-	10.176,748200	Padrão - SND	Reg.	
31/08/2018	ETAU11	10.000,000000	174,047000	-	10.174,047000	Padrão - SND	Reg.	
30/08/2018	ETAU11	10.000,000000	171,346600	-	10.171,346600	Padrão - SND	Reg.	
29/08/2018	ETAU11	10.000,000000	168,646800	-	10.168,646800	Padrão - SND	Reg.	
28/08/2018	ETAU11	10.000,000000	165,947800	-	10.165,947800	Padrão - SND	Reg.	
27/08/2018	ETAU11	10.000,000000	163,249500	-	10.163,249500	Padrão - SND	Reg.	
24/08/2018	ETAU11	10.000,000000	160,551900	-	10.160,551900	Padrão - SND	Reg.	
23/08/2018	ETAU11	10.000,000000	157,855000	-	10.157,855000	Padrão - SND	Reg.	
22/08/2018	ETAU11	10.000,000000	155,158900	-	10.155,158900	Padrão - SND	Reg.	
21/08/2018	ETAU11	10.000,000000	152,463400	-	10.152,463400	Padrão - SND	Reg.	
20/08/2018	ETAU11	10.000,000000	149,768700	-	10.149,768700	Padrão - SND	Reg.	
17/08/2018	ETAU11	10.000,000000	147,074700	-	10.147,074700	Padrão - SND	Reg.	
16/08/2018	ETAU11	10.000,000000	144,381400	-	10.144,381400	Padrão - SND	Reg.	
15/08/2018	ETAU11	10.000,000000	141,688800	-	10.141,688800	Padrão - SND	Reg.	
14/08/2018	ETAU11	10.000,000000	138,997000	-	10.138,997000	Padrão - SND	Reg.	
13/08/2018	ETAU11	10.000,000000	136,305800	-	10.136,305800	Padrão - SND	Reg.	
10/08/2018	ETAU11	10.000,000000	133,615400	-	10.133,615400	Padrão - SND	Reg.	
09/08/2018	ETAU11	10.000,000000	130,925600	-	10.130,925600	Padrão - SND	Reg.	
