PU Histórico - Gerado em 07/10/2018 01:06:03

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	EVOL11	1.036,617080	23,171847	-	1.059,788927	Padrão - SND	Reg.	
04/10/2018	EVOL11	1.036,399300	22,870514	-	1.059,269814	Padrão - SND	Reg.	
03/10/2018	EVOL11	1.036,181570	22,569389	-	1.058,750959	Padrão - SND	Reg.	
02/10/2018	EVOL11	1.035,963890	22,268474	-	1.058,232364	Padrão - SND	Reg.	
01/10/2018	EVOL11	1.035,746250	21,967766	-	1.057,714016	Padrão - SND	Reg.	
28/09/2018	EVOL11	1.035,528650	21,667266	-	1.057,195916	Padrão - SND	Reg.	
27/09/2018	EVOL11	1.035,311110	21,366975	-	1.056,678085	Padrão - SND	Reg.	
26/09/2018	EVOL11	1.035,093600	21,066892	-	1.056,160492	Padrão - SND	Reg.	
25/09/2018	EVOL11	1.034,876150	20,767016	-	1.055,643166	Padrão - SND	Reg.	
24/09/2018	EVOL11	1.034,658730	20,467348	-	1.055,126078	Padrão - SND	Reg.	
21/09/2018	EVOL11	1.034,267790	20,164504	-	1.054,432294	Padrão - SND	Reg.	
20/09/2018	EVOL11	1.034,093890	19,866134	-	1.053,960024	Padrão - SND	Reg.	
19/09/2018	EVOL11	1.033,920020	19,567948	-	1.053,487968	Padrão - SND	Reg.	
18/09/2018	EVOL11	1.033,746170	19,269942	-	1.053,016112	Padrão - SND	Reg.	
17/09/2018	EVOL11	1.036,879800	19,032831	-	1.055,912631	Padrão - SND	Reg.	
14/09/2018	EVOL11	1.033,614630	18,678384	-	1.052,293014	Padrão - SND	Reg.	
13/09/2018	EVOL11	1.033,656890	18,384705	-	1.052,041595	Padrão - SND	Reg.	
12/09/2018	EVOL11	1.033,699150	18,091085	-	1.051,790235	Padrão - SND	Reg.	
11/09/2018	EVOL11	1.033,741410	17,797524	-	1.051,538934	Padrão - SND	Reg.	
10/09/2018	EVOL11	1.033,783660	17,504021	-	1.051,287681	Padrão - SND	Reg.	
06/09/2018	EVOL11	1.034,502410	17,221837	-	1.051,724247	Padrão - SND	Reg.	
05/09/2018	EVOL11	1.034,502410	16,927567	-	1.051,429977	Padrão - SND	Reg.	
04/09/2018	EVOL11	1.034,502410	16,633378	-	1.051,135788	Padrão - SND	Reg.	
03/09/2018	EVOL11	1.034,502410	16,339272	-	1.050,841682	Padrão - SND	Reg.	
31/08/2018	EVOL11	1.034,502410	16,045248	-	1.050,547658	Padrão - SND	Reg.	
30/08/2018	EVOL11	1.034,502410	15,751307	-	1.050,253717	Padrão - SND	Reg.	
29/08/2018	EVOL11	1.034,502410	15,457448	-	1.049,959858	Padrão - SND	Reg.	
28/08/2018	EVOL11	1.034,502410	15,163671	-	1.049,666081	Padrão - SND	Reg.	
27/08/2018	EVOL11	1.034,502410	14,869976	-	1.049,372386	Padrão - SND	Reg.	
24/08/2018	EVOL11	1.034,502410	14,576363	-	1.049,078773	Padrão - SND	Reg.	
23/08/2018	EVOL11	1.035,347890	14,294506	-	1.049,642396	Padrão - SND	Reg.	
22/08/2018	EVOL11	1.035,206920	13,998912	-	1.049,205832	Padrão - SND	Reg.	
21/08/2018	EVOL11	1.035,065980	13,703480	-	1.048,769460	Padrão - SND	Reg.	
20/08/2018	EVOL11	1.034,925060	13,408210	-	1.048,333270	Padrão - SND	Reg.	
17/08/2018	EVOL11	1.034,784150	13,113102	-	1.047,897252	Padrão - SND	Reg.	
16/08/2018	EVOL11	1.034,643260	12,818157	-	1.047,461417	Padrão - SND	Reg.	
15/08/2018	EVOL11	1.034,502410	12,523374	-	1.047,025784	Padrão - SND	Reg.	
14/08/2018	EVOL11	1.034,347460	12,228586	-	1.046,576046	Padrão - SND	Reg.	
13/08/2018	EVOL11	1.034,192550	11,933969	-	1.046,126519	Padrão - SND	Reg.	
10/08/2018	EVOL11	1.034,037660	11,639521	-	1.045,677181	Padrão - SND	Reg.	
09/08/2018	EVOL11	1.033,882790	11,345242	-	1.045,228032	Padrão - SND	Reg.	
08/08/2018	EVOL11	1.034,045880	11,054533	-	1.045,100413	Padrão - SND	Reg.	
07/08/2018	EVOL11	1.033,872300	10,760309	-	1.044,632609	Padrão - SND	Reg.	
06/08/2018	EVOL11	1.033,698760	10,466265	-	1.044,165025	Padrão - SND	Reg.	
03/08/2018	EVOL11	1.033,525240	10,172402	-	1.043,697642	Padrão - SND	Reg.	
02/08/2018	EVOL11	1.033,351760	9,878719	-	1.043,230479	Padrão - SND	Reg.	
01/08/2018	EVOL11	1.033,178300	9,585216	-	1.042,763516	Padrão - SND	Reg.	
31/07/2018	EVOL11	1.033,004880	9,291892	-	1.042,296772	Padrão - SND	Reg.	
30/07/2018	EVOL11	1.032,831480	8,998749	-	1.041,830229	Padrão - SND	Reg.	
27/07/2018	EVOL11	1.032,658110	8,705785	-	1.041,363895	Padrão - SND	Reg.	
26/07/2018	EVOL11	1.032,484770	8,413000	-	1.040,897770	Padrão - SND	Reg.	
25/07/2018	EVOL11	1.032,311460	8,120395	-	1.040,431855	Padrão - SND	Reg.	
24/07/2018	EVOL11	1.032,138180	7,827970	-	1.039,966150	Padrão - SND	Reg.	
23/07/2018	EVOL11	1.031,964920	7,535725	-	1.039,500645	Padrão - SND	Reg.	
20/07/2018	EVOL11	1.031,791710	7,243658	-	1.039,035368	Padrão - SND	Reg.	
19/07/2018	EVOL11	1.031,618510	6,951770	-	1.038,570280	Padrão - SND	Reg.	
18/07/2018	EVOL11	1.031,445340	6,660062	-	1.038,105402	Padrão - SND	Reg.	
17/07/2018	EVOL11	1.031,272210	6,368533	-	1.037,640743	Padrão - SND	Reg.	
16/07/2018	EVOL11	1.034,914180	6,099668	-	1.041,013848	Padrão - SND	Reg.	
13/07/2018	EVOL11	1.030,484490	5,783532	-	1.036,268022	Padrão - SND	Reg.	
12/07/2018	EVOL11	1.029,870230	5,490311	-	1.035,360541	Padrão - SND	Reg.	
11/07/2018	EVOL11	1.029,256350	5,197520	-	1.034,453870	Padrão - SND	Reg.	
10/07/2018	EVOL11	1.028,642830	4,905155	-	1.033,547985	Padrão - SND	Reg.	
