PU Histórico - Gerado em 17/02/2019 12:18:00

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	FEEN21	1,000000	0,008648	-	1,008648	Padrão - SND	Reg.	
14/02/2019	FEEN21	1,000000	0,008326	-	1,008326	Padrão - SND	Reg.	
13/02/2019	FEEN21	1,000000	0,008005	-	1,008005	Padrão - SND	Reg.	
12/02/2019	FEEN21	1,000000	0,007683	-	1,007683	Padrão - SND	Reg.	
11/02/2019	FEEN21	1,000000	0,007362	-	1,007362	Padrão - SND	Reg.	
08/02/2019	FEEN21	1,000000	0,007041	-	1,007041	Padrão - SND	Reg.	
07/02/2019	FEEN21	1,000000	0,006720	-	1,006720	Padrão - SND	Reg.	
06/02/2019	FEEN21	1,000000	0,006399	-	1,006399	Padrão - SND	Reg.	
05/02/2019	FEEN21	1,000000	0,006078	-	1,006078	Padrão - SND	Reg.	
04/02/2019	FEEN21	1,000000	0,005757	-	1,005757	Padrão - SND	Reg.	
01/02/2019	FEEN21	1,000000	0,005436	-	1,005436	Padrão - SND	Reg.	
31/01/2019	FEEN21	1,000000	0,005116	-	1,005116	Padrão - SND	Reg.	
30/01/2019	FEEN21	1,000000	0,004795	-	1,004795	Padrão - SND	Reg.	
29/01/2019	FEEN21	1,000000	0,004475	-	1,004475	Padrão - SND	Reg.	
28/01/2019	FEEN21	1,000000	0,004154	-	1,004154	Padrão - SND	Reg.	
25/01/2019	FEEN21	1,000000	0,003834	-	1,003834	Padrão - SND	Reg.	
24/01/2019	FEEN21	1,000000	0,003514	-	1,003514	Padrão - SND	Reg.	
23/01/2019	FEEN21	1,000000	0,003194	-	1,003194	Padrão - SND	Reg.	
22/01/2019	FEEN21	1,000000	0,002874	-	1,002874	Padrão - SND	Reg.	
21/01/2019	FEEN21	1,000000	0,002555	-	1,002555	Padrão - SND	Reg.	
18/01/2019	FEEN21	1,000000	0,002235	-	1,002235	Padrão - SND	Reg.	
17/01/2019	FEEN21	1,000000	0,001915	-	1,001915	Padrão - SND	Reg.	
16/01/2019	FEEN21	1,000000	0,001596	-	1,001596	Padrão - SND	Reg.	
15/01/2019	FEEN21	1,000000	0,001276	-	1,001276	Padrão - SND	Reg.	
14/01/2019	FEEN21	1,000000	0,000957	-	1,000957	Padrão - SND	Reg.	
11/01/2019	FEEN21	1,000000	0,000638	-	1,000638	Padrão - SND	Reg.	
10/01/2019	FEEN21	1,000000	0,000319	-	1,000319	Padrão - SND	Reg.	
09/01/2019	FEEN21	1,000000	-  	-	1,000000	Padrão - SND	Reg.	
08/01/2019	FEEN21	1,000000	-  	-	1,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
