PU Histórico - Gerado em 07/10/2018 01:06:09

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	FGRU11	925,990774	5,244258	-	931,235032	Padrão - SND	Reg.	
04/10/2018	FGRU11	926,034602	4,868916	-	930,903518	Padrão - SND	Reg.	
03/10/2018	FGRU11	926,078440	4,493689	-	930,572129	Padrão - SND	Reg.	
02/10/2018	FGRU11	926,122287	4,118579	-	930,240866	Padrão - SND	Reg.	
01/10/2018	FGRU11	926,166125	3,743584	-	929,909708	Padrão - SND	Reg.	
28/09/2018	FGRU11	926,209971	3,368705	-	929,578677	Padrão - SND	Reg.	
27/09/2018	FGRU11	926,253809	2,993942	-	929,247751	Padrão - SND	Reg.	
26/09/2018	FGRU11	926,297665	2,619295	-	928,916960	Padrão - SND	Reg.	
25/09/2018	FGRU11	926,341512	2,244763	-	928,586275	Padrão - SND	Reg.	
24/09/2018	FGRU11	926,385359	1,870347	-	928,255706	Padrão - SND	Reg.	
21/09/2018	FGRU11	926,429215	1,496046	-	927,925261	Padrão - SND	Reg.	
20/09/2018	FGRU11	926,473072	1,121862	-	927,594933	Padrão - SND	Reg.	
19/09/2018	FGRU11	926,516928	0,747793	-	927,264720	Padrão - SND	Reg.	
18/09/2018	FGRU11	926,560793	0,373839	-	926,934632	Padrão - SND	Reg.	
17/09/2018	FGRU11	926,604659	-  	-	926,604659	Padrão - SND	Reg.	
14/09/2018	FGRU11	934,280096	7,948033	-	942,228129	Padrão - SND	Reg.	
13/09/2018	FGRU11	934,318294	7,568336	-	941,886630	Padrão - SND	Reg.	
12/09/2018	FGRU11	934,356492	7,188760	-	941,545253	Padrão - SND	Reg.	
11/09/2018	FGRU11	934,394690	6,809308	-	941,203998	Padrão - SND	Reg.	
10/09/2018	FGRU11	934,432889	6,429978	-	940,862866	Padrão - SND	Reg.	
06/09/2018	FGRU11	937,326184	6,069256	-	943,395440	Padrão - SND	Reg.	
05/09/2018	FGRU11	937,185800	5,687927	-	942,873726	Padrão - SND	Reg.	
04/09/2018	FGRU11	937,045434	5,306865	-	942,352299	Padrão - SND	Reg.	
03/09/2018	FGRU11	936,905088	4,926071	-	941,831159	Padrão - SND	Reg.	
31/08/2018	FGRU11	936,764769	4,545543	-	941,310313	Padrão - SND	Reg.	
30/08/2018	FGRU11	936,624470	4,165283	-	940,789753	Padrão - SND	Reg.	
29/08/2018	FGRU11	936,484189	3,785290	-	940,269478	Padrão - SND	Reg.	
28/08/2018	FGRU11	936,343935	3,405563	-	939,749499	Padrão - SND	Reg.	
27/08/2018	FGRU11	936,203692	3,026103	-	939,229795	Padrão - SND	Reg.	
24/08/2018	FGRU11	936,063476	2,646909	-	938,710386	Padrão - SND	Reg.	
23/08/2018	FGRU11	935,923279	2,267983	-	938,191262	Padrão - SND	Reg.	
22/08/2018	FGRU11	935,783110	1,889321	-	937,672431	Padrão - SND	Reg.	
21/08/2018	FGRU11	935,642951	1,510926	-	937,153877	Padrão - SND	Reg.	
20/08/2018	FGRU11	935,502819	1,132796	-	936,635615	Padrão - SND	Reg.	
17/08/2018	FGRU11	935,362707	0,754932	-	936,117639	Padrão - SND	Reg.	
16/08/2018	FGRU11	935,222622	0,377333	-	935,599955	Padrão - SND	Reg.	
15/08/2018	FGRU11	935,082556	-  	-	935,082556	Padrão - SND	Reg.	
14/08/2018	FGRU11	943,285784	8,024645	-	951,310429	Padrão - SND	Reg.	
13/08/2018	FGRU11	943,144510	7,639832	-	950,784341	Padrão - SND	Reg.	
10/08/2018	FGRU11	943,003254	7,255287	-	950,258541	Padrão - SND	Reg.	
09/08/2018	FGRU11	942,862018	6,871013	-	949,733030	Padrão - SND	Reg.	
08/08/2018	FGRU11	949,465796	6,533421	-	955,999217	Padrão - SND	Reg.	
07/08/2018	FGRU11	948,925552	6,144363	-	955,069915	Padrão - SND	Reg.	
06/08/2018	FGRU11	948,385618	5,755900	-	954,141519	Padrão - SND	Reg.	
03/08/2018	FGRU11	947,845995	5,368033	-	953,214028	Padrão - SND	Reg.	
02/08/2018	FGRU11	947,306682	4,980760	-	952,287442	Padrão - SND	Reg.	
01/08/2018	FGRU11	946,767670	4,594081	-	951,361751	Padrão - SND	Reg.	
31/07/2018	FGRU11	946,228958	4,207996	-	950,436954	Padrão - SND	Reg.	
30/07/2018	FGRU11	945,690567	3,822502	-	949,513069	Padrão - SND	Reg.	
27/07/2018	FGRU11	945,152476	3,437601	-	948,590077	Padrão - SND	Reg.	
26/07/2018	FGRU11	944,614686	3,053290	-	947,667977	Padrão - SND	Reg.	
