PU Histórico - Gerado em 07/10/2018 01:06:20

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	FLRY21	3.333,340000	81,099625	-	3.414,439625	Padrão - SND	Reg.	
04/10/2018	FLRY21	3.333,340000	80,097620	-	3.413,437620	Padrão - SND	Reg.	
03/10/2018	FLRY21	3.333,340000	79,095904	-	3.412,435904	Padrão - SND	Reg.	
02/10/2018	FLRY21	3.333,340000	78,094476	-	3.411,434476	Padrão - SND	Reg.	
01/10/2018	FLRY21	3.333,340000	77,093334	-	3.410,433334	Padrão - SND	Reg.	
28/09/2018	FLRY21	3.333,340000	76,093785	-	3.409,433785	Padrão - SND	Reg.	
27/09/2018	FLRY21	3.333,340000	75,094490	-	3.408,434490	Padrão - SND	Reg.	
26/09/2018	FLRY21	3.333,340000	74,095518	-	3.407,435518	Padrão - SND	Reg.	
25/09/2018	FLRY21	3.333,340000	73,096829	-	3.406,436829	Padrão - SND	Reg.	
24/09/2018	FLRY21	3.333,340000	72,098400	-	3.405,438400	Padrão - SND	Reg.	
21/09/2018	FLRY21	3.333,340000	71,100288	-	3.404,440288	Padrão - SND	Reg.	
20/09/2018	FLRY21	3.333,340000	70,102500	-	3.403,442500	Padrão - SND	Reg.	
19/09/2018	FLRY21	3.333,340000	69,104968	-	3.402,444968	Padrão - SND	Reg.	
18/09/2018	FLRY21	3.333,340000	68,107749	-	3.401,447749	Padrão - SND	Reg.	
17/09/2018	FLRY21	3.333,340000	67,110790	-	3.400,450790	Padrão - SND	Reg.	
14/09/2018	FLRY21	3.333,340000	66,114152	-	3.399,454152	Padrão - SND	Reg.	
13/09/2018	FLRY21	3.333,340000	65,117800	-	3.398,457800	Padrão - SND	Reg.	
12/09/2018	FLRY21	3.333,340000	64,121731	-	3.397,461731	Padrão - SND	Reg.	
11/09/2018	FLRY21	3.333,340000	63,125956	-	3.396,465956	Padrão - SND	Reg.	
10/09/2018	FLRY21	3.333,340000	62,130500	-	3.395,470500	Padrão - SND	Reg.	
06/09/2018	FLRY21	3.333,340000	61,135295	-	3.394,475295	Padrão - SND	Reg.	
05/09/2018	FLRY21	3.333,340000	60,140410	-	3.393,480410	Padrão - SND	Reg.	
04/09/2018	FLRY21	3.333,340000	59,145818	-	3.392,485818	Padrão - SND	Reg.	
03/09/2018	FLRY21	3.333,340000	58,151476	-	3.391,491476	Padrão - SND	Reg.	
31/08/2018	FLRY21	3.333,340000	57,157454	-	3.390,497454	Padrão - SND	Reg.	
30/08/2018	FLRY21	3.333,340000	56,163752	-	3.389,503752	Padrão - SND	Reg.	
29/08/2018	FLRY21	3.333,340000	55,170307	-	3.388,510307	Padrão - SND	Reg.	
28/08/2018	FLRY21	3.333,340000	54,177145	-	3.387,517145	Padrão - SND	Reg.	
27/08/2018	FLRY21	3.333,340000	53,184306	-	3.386,524306	Padrão - SND	Reg.	
24/08/2018	FLRY21	3.333,340000	52,191717	-	3.385,531717	Padrão - SND	Reg.	
23/08/2018	FLRY21	3.333,340000	51,199452	-	3.384,539452	Padrão - SND	Reg.	
22/08/2018	FLRY21	3.333,340000	50,207473	-	3.383,547473	Padrão - SND	Reg.	
21/08/2018	FLRY21	3.333,340000	49,215781	-	3.382,555781	Padrão - SND	Reg.	
20/08/2018	FLRY21	3.333,340000	48,224373	-	3.381,564373	Padrão - SND	Reg.	
17/08/2018	FLRY21	3.333,340000	47,233291	-	3.380,573291	Padrão - SND	Reg.	
16/08/2018	FLRY21	3.333,340000	46,242459	-	3.379,582459	Padrão - SND	Reg.	
15/08/2018	FLRY21	3.333,340000	45,251913	-	3.378,591913	Padrão - SND	Reg.	
14/08/2018	FLRY21	3.333,340000	44,261685	-	3.377,601685	Padrão - SND	Reg.	
13/08/2018	FLRY21	3.333,340000	43,271746	-	3.376,611746	Padrão - SND	Reg.	
10/08/2018	FLRY21	3.333,340000	42,282061	-	3.375,622061	Padrão - SND	Reg.	
09/08/2018	FLRY21	3.333,340000	41,292695	-	3.374,632695	Padrão - SND	Reg.	
08/08/2018	FLRY21	3.333,340000	40,303617	-	3.373,643617	Padrão - SND	Reg.	
07/08/2018	FLRY21	3.333,340000	39,314825	-	3.372,654825	Padrão - SND	Reg.	
06/08/2018	FLRY21	3.333,340000	38,326346	-	3.371,666346	Padrão - SND	Reg.	
03/08/2018	FLRY21	3.333,340000	37,338128	-	3.370,678128	Padrão - SND	Reg.	
02/08/2018	FLRY21	3.333,340000	36,350196	-	3.369,690196	Padrão - SND	Reg.	
01/08/2018	FLRY21	3.333,340000	35,362580	-	3.368,702580	Padrão - SND	Reg.	
31/07/2018	FLRY21	3.333,340000	34,375218	-	3.367,715218	Padrão - SND	Reg.	
30/07/2018	FLRY21	3.333,340000	33,388176	-	3.366,728176	Padrão - SND	Reg.	
27/07/2018	FLRY21	3.333,340000	32,401421	-	3.365,741421	Padrão - SND	Reg.	
26/07/2018	FLRY21	3.333,340000	31,414952	-	3.364,754952	Padrão - SND	Reg.	
25/07/2018	FLRY21	3.333,340000	30,428770	-	3.363,768770	Padrão - SND	Reg.	
24/07/2018	FLRY21	3.333,340000	29,442875	-	3.362,782875	Padrão - SND	Reg.	
23/07/2018	FLRY21	3.333,340000	28,457263	-	3.361,797263	Padrão - SND	Reg.	
20/07/2018	FLRY21	3.333,340000	27,471934	-	3.360,811934	Padrão - SND	Reg.	
19/07/2018	FLRY21	3.333,340000	26,486932	-	3.359,826932	Padrão - SND	Reg.	
18/07/2018	FLRY21	3.333,340000	25,502177	-	3.358,842177	Padrão - SND	Reg.	
17/07/2018	FLRY21	3.333,340000	24,517712	-	3.357,857712	Padrão - SND	Reg.	
16/07/2018	FLRY21	3.333,340000	23,533563	-	3.356,873563	Padrão - SND	Reg.	
13/07/2018	FLRY21	3.333,340000	22,549705	-	3.355,889705	Padrão - SND	Reg.	
12/07/2018	FLRY21	3.333,340000	21,566096	-	3.354,906096	Padrão - SND	Reg.	
11/07/2018	FLRY21	3.333,340000	20,582804	-	3.353,922804	Padrão - SND	Reg.	
10/07/2018	FLRY21	3.333,340000	19,599799	-	3.352,939799	Padrão - SND	Reg.	
09/07/2018	FLRY21	3.333,340000	18,617080	-	3.351,957080	Padrão - SND	Reg.	
06/07/2018	FLRY21	3.333,340000	17,634648	-	3.350,974648	Padrão - SND	Reg.	
05/07/2018	FLRY21	3.333,340000	16,652499	-	3.349,992499	Padrão - SND	Reg.	
04/07/2018	FLRY21	3.333,340000	15,670638	-	3.349,010638	Padrão - SND	Reg.	
03/07/2018	FLRY21	3.333,340000	14,689062	-	3.348,029062	Padrão - SND	Reg.	
02/07/2018	FLRY21	3.333,340000	13,707770	-	3.347,047770	Padrão - SND	Reg.	
29/06/2018	FLRY21	3.333,340000	12,726798	-	3.346,066798	Padrão - SND	Reg.	
28/06/2018	FLRY21	3.333,340000	11,746080	-	3.345,086080	Padrão - SND	Reg.	
27/06/2018	FLRY21	3.333,340000	10,765678	-	3.344,105678	Padrão - SND	Reg.	
26/06/2018	FLRY21	3.333,340000	9,785529	-	3.343,125529	Padrão - SND	Reg.	
25/06/2018	FLRY21	3.333,340000	8,805700	-	3.342,145700	Padrão - SND	Reg.	
22/06/2018	FLRY21	3.333,340000	7,826122	-	3.341,166122	Padrão - SND	Reg.	
21/06/2018	FLRY21	3.333,340000	6,846863	-	3.340,186863	Padrão - SND	Reg.	
20/06/2018	FLRY21	3.333,340000	5,867888	-	3.339,207888	Padrão - SND	Reg.	
19/06/2018	FLRY21	3.333,340000	4,889166	-	3.338,229166	Padrão - SND	Reg.	
18/06/2018	FLRY21	3.333,340000	3,910761	-	3.337,250761	Padrão - SND	Reg.	
15/06/2018	FLRY21	3.333,340000	2,932645	-	3.336,272645	Padrão - SND	Reg.	
14/06/2018	FLRY21	3.333,340000	1,954813	-	3.335,294813	Padrão - SND	Reg.	
13/06/2018	FLRY21	3.333,340000	0,977265	-	3.334,317265	Padrão - SND	Reg.	
12/06/2018	FLRY21	3.333,340000	-  	-	3.333,340000	Padrão - SND	Reg.	
11/06/2018	FLRY21	3.333,340000	124,839946	-	3.458,179946	Padrão - SND	Reg.	
08/06/2018	FLRY21	3.333,340000	123,826400	-	3.457,166400	Padrão - SND	Reg.	
07/06/2018	FLRY21	3.333,340000	122,813108	-	3.456,153108	Padrão - SND	Reg.	
06/06/2018	FLRY21	3.333,340000	121,800143	-	3.455,140143	Padrão - SND	Reg.	
05/06/2018	FLRY21	3.333,340000	120,787464	-	3.454,127464	Padrão - SND	Reg.	
04/06/2018	FLRY21	3.333,340000	119,775109	-	3.453,115109	Padrão - SND	Reg.	
01/06/2018	FLRY21	3.333,340000	118,763007	-	3.452,103007	Padrão - SND	Reg.	
