PU Histórico - Gerado em 07/10/2018 01:06:28

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	GALV14	1.000.000,000000	292.814,129000	-	1.292.814,129000	Padrão - SND	Reg.	
04/10/2018	GALV14	1.000.000,000000	292.249,599000	-	1.292.249,599000	Padrão - SND	Reg.	
03/10/2018	GALV14	1.000.000,000000	291.685,324000	-	1.291.685,324000	Padrão - SND	Reg.	
02/10/2018	GALV14	1.000.000,000000	291.121,294000	-	1.291.121,294000	Padrão - SND	Reg.	
01/10/2018	GALV14	1.000.000,000000	290.557,520000	-	1.290.557,520000	Padrão - SND	Reg.	
28/09/2018	GALV14	1.000.000,000000	289.994,462000	-	1.289.994,462000	Padrão - SND	Reg.	
27/09/2018	GALV14	1.000.000,000000	289.431,637000	-	1.289.431,637000	Padrão - SND	Reg.	
26/09/2018	GALV14	1.000.000,000000	288.869,079000	-	1.288.869,079000	Padrão - SND	Reg.	
25/09/2018	GALV14	1.000.000,000000	288.306,753000	-	1.288.306,753000	Padrão - SND	Reg.	
24/09/2018	GALV14	1.000.000,000000	287.744,672000	-	1.287.744,672000	Padrão - SND	Reg.	
21/09/2018	GALV14	1.000.000,000000	287.182,846000	-	1.287.182,846000	Padrão - SND	Reg.	
20/09/2018	GALV14	1.000.000,000000	286.621,253000	-	1.286.621,253000	Padrão - SND	Reg.	
19/09/2018	GALV14	1.000.000,000000	286.059,914000	-	1.286.059,914000	Padrão - SND	Reg.	
18/09/2018	GALV14	1.000.000,000000	285.498,810000	-	1.285.498,810000	Padrão - SND	Reg.	
17/09/2018	GALV14	1.000.000,000000	284.937,958000	-	1.284.937,958000	Padrão - SND	Reg.	
14/09/2018	GALV14	1.000.000,000000	284.377,351000	-	1.284.377,351000	Padrão - SND	Reg.	
13/09/2018	GALV14	1.000.000,000000	283.816,988000	-	1.283.816,988000	Padrão - SND	Reg.	
12/09/2018	GALV14	1.000.000,000000	283.256,868000	-	1.283.256,868000	Padrão - SND	Reg.	
11/09/2018	GALV14	1.000.000,000000	282.697,002000	-	1.282.697,002000	Padrão - SND	Reg.	
10/09/2018	GALV14	1.000.000,000000	282.137,368000	-	1.282.137,368000	Padrão - SND	Reg.	
06/09/2018	GALV14	1.000.000,000000	281.577,978000	-	1.281.577,978000	Padrão - SND	Reg.	
05/09/2018	GALV14	1.000.000,000000	281.018,842000	-	1.281.018,842000	Padrão - SND	Reg.	
04/09/2018	GALV14	1.000.000,000000	280.459,938000	-	1.280.459,938000	Padrão - SND	Reg.	
03/09/2018	GALV14	1.000.000,000000	279.901,287000	-	1.279.901,287000	Padrão - SND	Reg.	
31/08/2018	GALV14	1.000.000,000000	279.342,880000	-	1.279.342,880000	Padrão - SND	Reg.	
30/08/2018	GALV14	1.000.000,000000	278.784,714000	-	1.278.784,714000	Padrão - SND	Reg.	
29/08/2018	GALV14	1.000.000,000000	278.226,781000	-	1.278.226,781000	Padrão - SND	Reg.	
28/08/2018	GALV14	1.000.000,000000	277.669,102000	-	1.277.669,102000	Padrão - SND	Reg.	
27/08/2018	GALV14	1.000.000,000000	277.111,665000	-	1.277.111,665000	Padrão - SND	Reg.	
24/08/2018	GALV14	1.000.000,000000	276.554,481000	-	1.276.554,481000	Padrão - SND	Reg.	
23/08/2018	GALV14	1.000.000,000000	275.997,530000	-	1.275.997,530000	Padrão - SND	Reg.	
22/08/2018	GALV14	1.000.000,000000	275.440,819000	-	1.275.440,819000	Padrão - SND	Reg.	
21/08/2018	GALV14	1.000.000,000000	274.884,351000	-	1.274.884,351000	Padrão - SND	Reg.	
20/08/2018	GALV14	1.000.000,000000	274.328,136000	-	1.274.328,136000	Padrão - SND	Reg.	
17/08/2018	GALV14	1.000.000,000000	273.772,152000	-	1.273.772,152000	Padrão - SND	Reg.	
16/08/2018	GALV14	1.000.000,000000	273.216,421000	-	1.273.216,421000	Padrão - SND	Reg.	
15/08/2018	GALV14	1.000.000,000000	272.660,920000	-	1.272.660,920000	Padrão - SND	Reg.	
14/08/2018	GALV14	1.000.000,000000	272.105,673000	-	1.272.105,673000	Padrão - SND	Reg.	
13/08/2018	GALV14	1.000.000,000000	271.550,666000	-	1.271.550,666000	Padrão - SND	Reg.	
10/08/2018	GALV14	1.000.000,000000	270.995,902000	-	1.270.995,902000	Padrão - SND	Reg.	
09/08/2018	GALV14	1.000.000,000000	270.441,368000	-	1.270.441,368000	Padrão - SND	Reg.	
08/08/2018	GALV14	1.000.000,000000	269.887,086000	-	1.269.887,086000	Padrão - SND	Reg.	
07/08/2018	GALV14	1.000.000,000000	269.333,046000	-	1.269.333,046000	Padrão - SND	Reg.	
06/08/2018	GALV14	1.000.000,000000	268.779,247000	-	1.268.779,247000	Padrão - SND	Reg.	
03/08/2018	GALV14	1.000.000,000000	268.225,688000	-	1.268.225,688000	Padrão - SND	Reg.	
02/08/2018	GALV14	1.000.000,000000	267.672,371000	-	1.267.672,371000	Padrão - SND	Reg.	
01/08/2018	GALV14	1.000.000,000000	267.119,295000	-	1.267.119,295000	Padrão - SND	Reg.	
31/07/2018	GALV14	1.000.000,000000	266.566,471000	-	1.266.566,471000	Padrão - SND	Reg.	
30/07/2018	GALV14	1.000.000,000000	266.013,876000	-	1.266.013,876000	Padrão - SND	Reg.	
27/07/2018	GALV14	1.000.000,000000	265.461,522000	-	1.265.461,522000	Padrão - SND	Reg.	
26/07/2018	GALV14	1.000.000,000000	264.909,408000	-	1.264.909,408000	Padrão - SND	Reg.	
25/07/2018	GALV14	1.000.000,000000	264.357,546000	-	1.264.357,546000	Padrão - SND	Reg.	
24/07/2018	GALV14	1.000.000,000000	263.805,914000	-	1.263.805,914000	Padrão - SND	Reg.	
23/07/2018	GALV14	1.000.000,000000	263.254,521000	-	1.263.254,521000	Padrão - SND	Reg.	
20/07/2018	GALV14	1.000.000,000000	262.703,380000	-	1.262.703,380000	Padrão - SND	Reg.	
19/07/2018	GALV14	1.000.000,000000	262.152,469000	-	1.262.152,469000	Padrão - SND	Reg.	
18/07/2018	GALV14	1.000.000,000000	261.601,808000	-	1.261.601,808000	Padrão - SND	Reg.	
17/07/2018	GALV14	1.000.000,000000	261.051,376000	-	1.261.051,376000	Padrão - SND	Reg.	
16/07/2018	GALV14	1.000.000,000000	260.501,195000	-	1.260.501,195000	Padrão - SND	Reg.	
13/07/2018	GALV14	1.000.000,000000	259.951,243000	-	1.259.951,243000	Padrão - SND	Reg.	
12/07/2018	GALV14	1.000.000,000000	259.401,542000	-	1.259.401,542000	Padrão - SND	Reg.	
11/07/2018	GALV14	1.000.000,000000	258.852,069000	-	1.258.852,069000	Padrão - SND	Reg.	
10/07/2018	GALV14	1.000.000,000000	258.302,846000	-	1.258.302,846000	Padrão - SND	Reg.	
09/07/2018	GALV14	1.000.000,000000	257.753,853000	-	1.257.753,853000	Padrão - SND	Reg.	
06/07/2018	GALV14	1.000.000,000000	257.205,109000	-	1.257.205,109000	Padrão - SND	Reg.	
