PU Histórico - Gerado em 07/10/2018 01:06:39

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	GASP34	1.136,431420	66,543195	-	1.202,974615	Padrão - SND	Reg.	
04/10/2018	GASP34	1.136,192680	66,190452	-	1.202,383132	Padrão - SND	Reg.	
03/10/2018	GASP34	1.135,953980	65,837948	-	1.201,791928	Padrão - SND	Reg.	
02/10/2018	GASP34	1.135,715340	65,485685	-	1.201,201025	Padrão - SND	Reg.	
01/10/2018	GASP34	1.135,476740	65,133663	-	1.200,610403	Padrão - SND	Reg.	
28/09/2018	GASP34	1.135,238190	64,781880	-	1.200,020070	Padrão - SND	Reg.	
27/09/2018	GASP34	1.134,999700	64,430338	-	1.199,430038	Padrão - SND	Reg.	
26/09/2018	GASP34	1.134,761250	64,079036	-	1.198,840286	Padrão - SND	Reg.	
25/09/2018	GASP34	1.134,522860	63,727973	-	1.198,250833	Padrão - SND	Reg.	
24/09/2018	GASP34	1.134,284510	63,377151	-	1.197,661661	Padrão - SND	Reg.	
21/09/2018	GASP34	1.133,855920	63,015992	-	1.196,871912	Padrão - SND	Reg.	
20/09/2018	GASP34	1.133,665280	62,668338	-	1.196,333618	Padrão - SND	Reg.	
19/09/2018	GASP34	1.133,474670	62,320891	-	1.195,795561	Padrão - SND	Reg.	
18/09/2018	GASP34	1.133,284080	61,973656	-	1.195,257736	Padrão - SND	Reg.	
17/09/2018	GASP34	1.136,719440	61,823836	-	1.198,543276	Padrão - SND	Reg.	
14/09/2018	GASP34	1.133,139870	61,292626	-	1.194,432496	Padrão - SND	Reg.	
13/09/2018	GASP34	1.133,186200	60,958689	-	1.194,144889	Padrão - SND	Reg.	
12/09/2018	GASP34	1.133,232530	60,624818	-	1.193,857348	Padrão - SND	Reg.	
11/09/2018	GASP34	1.133,278850	60,291015	-	1.193,569865	Padrão - SND	Reg.	
10/09/2018	GASP34	1.133,325180	59,957279	-	1.193,282459	Padrão - SND	Reg.	
06/09/2018	GASP34	1.134,113130	59,662625	-	1.193,775755	Padrão - SND	Reg.	
05/09/2018	GASP34	1.134,113130	59,326381	-	1.193,439511	Padrão - SND	Reg.	
04/09/2018	GASP34	1.134,113130	58,990231	-	1.193,103361	Padrão - SND	Reg.	
03/09/2018	GASP34	1.134,113130	58,654175	-	1.192,767305	Padrão - SND	Reg.	
31/08/2018	GASP34	1.134,113130	58,318215	-	1.192,431345	Padrão - SND	Reg.	
30/08/2018	GASP34	1.134,113130	57,982349	-	1.192,095479	Padrão - SND	Reg.	
29/08/2018	GASP34	1.134,113130	57,646578	-	1.191,759708	Padrão - SND	Reg.	
28/08/2018	GASP34	1.134,113130	57,310901	-	1.191,424031	Padrão - SND	Reg.	
27/08/2018	GASP34	1.134,113130	56,975318	-	1.191,088448	Padrão - SND	Reg.	
24/08/2018	GASP34	1.134,113130	56,639830	-	1.190,752960	Padrão - SND	Reg.	
23/08/2018	GASP34	1.135,040030	56,350455	-	1.191,390485	Padrão - SND	Reg.	
22/08/2018	GASP34	1.134,885480	56,007254	-	1.190,892734	Padrão - SND	Reg.	
21/08/2018	GASP34	1.134,730970	55,664242	-	1.190,395212	Padrão - SND	Reg.	
20/08/2018	GASP34	1.134,576480	55,321417	-	1.189,897897	Padrão - SND	Reg.	
17/08/2018	GASP34	1.134,422010	54,978778	-	1.189,400788	Padrão - SND	Reg.	
16/08/2018	GASP34	1.134,267550	54,636326	-	1.188,903876	Padrão - SND	Reg.	
15/08/2018	GASP34	1.134,113130	54,294060	-	1.188,407190	Padrão - SND	Reg.	
14/08/2018	GASP34	1.133,943270	53,951246	-	1.187,894516	Padrão - SND	Reg.	
13/08/2018	GASP34	1.133,773440	53,608628	-	1.187,382068	Padrão - SND	Reg.	
10/08/2018	GASP34	1.133,603630	53,266205	-	1.186,869835	Padrão - SND	Reg.	
09/08/2018	GASP34	1.133,433850	52,923978	-	1.186,357828	Padrão - SND	Reg.	
08/08/2018	GASP34	1.133,612640	52,598119	-	1.186,210759	Padrão - SND	Reg.	
07/08/2018	GASP34	1.133,422350	52,255231	-	1.185,677581	Padrão - SND	Reg.	
06/08/2018	GASP34	1.133,232100	51,912552	-	1.185,144652	Padrão - SND	Reg.	
03/08/2018	GASP34	1.133,041880	51,570081	-	1.184,611961	Padrão - SND	Reg.	
02/08/2018	GASP34	1.132,851690	51,227817	-	1.184,079507	Padrão - SND	Reg.	
01/08/2018	GASP34	1.132,661530	50,885760	-	1.183,547290	Padrão - SND	Reg.	
31/07/2018	GASP34	1.132,471410	50,543911	-	1.183,015321	Padrão - SND	Reg.	
30/07/2018	GASP34	1.132,281310	50,202269	-	1.182,483579	Padrão - SND	Reg.	
27/07/2018	GASP34	1.132,091250	49,860834	-	1.181,952084	Padrão - SND	Reg.	
26/07/2018	GASP34	1.131,901220	49,519606	-	1.181,420826	Padrão - SND	Reg.	
25/07/2018	GASP34	1.131,711230	49,178585	-	1.180,889815	Padrão - SND	Reg.	
24/07/2018	GASP34	1.131,521250	48,837771	-	1.180,359021	Padrão - SND	Reg.	
23/07/2018	GASP34	1.131,331320	48,497163	-	1.179,828483	Padrão - SND	Reg.	
20/07/2018	GASP34	1.131,141420	48,156762	-	1.179,298182	Padrão - SND	Reg.	
19/07/2018	GASP34	1.130,951550	47,816567	-	1.178,768117	Padrão - SND	Reg.	
18/07/2018	GASP34	1.130,761710	47,476580	-	1.178,238290	Padrão - SND	Reg.	
17/07/2018	GASP34	1.130,571900	47,136797	-	1.177,708697	Padrão - SND	Reg.	
16/07/2018	GASP34	1.134,564550	46,970371	-	1.181,534921	Padrão - SND	Reg.	
13/07/2018	GASP34	1.129,708340	46,437955	-	1.176,146295	Padrão - SND	Reg.	
12/07/2018	GASP34	1.129,034930	46,079192	-	1.175,114122	Padrão - SND	Reg.	
11/07/2018	GASP34	1.128,361940	45,720934	-	1.174,082874	Padrão - SND	Reg.	
