PU Histórico - Gerado em 07/10/2018 01:06:57

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	GEPA25	12.878,524600	340,279210	-	13.218,803810	Padrão - SND	Reg.	
04/10/2018	GEPA25	12.879,076200	336,740126	-	13.215,816326	Padrão - SND	Reg.	
03/10/2018	GEPA25	12.879,627900	333,201705	-	13.212,829605	Padrão - SND	Reg.	
02/10/2018	GEPA25	12.880,179500	329,663931	-	13.209,843431	Padrão - SND	Reg.	
01/10/2018	GEPA25	12.880,731100	326,126819	-	13.206,857919	Padrão - SND	Reg.	
28/09/2018	GEPA25	12.881,282800	322,590345	-	13.203,873145	Padrão - SND	Reg.	
27/09/2018	GEPA25	12.881,834600	319,054523	-	13.200,889123	Padrão - SND	Reg.	
26/09/2018	GEPA25	12.882,386300	315,519360	-	13.197,905660	Padrão - SND	Reg.	
25/09/2018	GEPA25	12.882,938100	311,984837	-	13.194,922937	Padrão - SND	Reg.	
24/09/2018	GEPA25	12.883,489800	308,450973	-	13.191,940773	Padrão - SND	Reg.	
21/09/2018	GEPA25	12.884,041700	304,917751	-	13.188,959451	Padrão - SND	Reg.	
20/09/2018	GEPA25	12.884,593500	301,385189	-	13.185,978689	Padrão - SND	Reg.	
19/09/2018	GEPA25	12.885,120300	297,852699	-	13.182,972999	Padrão - SND	Reg.	
18/09/2018	GEPA25	12.885,647200	294,320862	-	13.179,968062	Padrão - SND	Reg.	
17/09/2018	GEPA25	12.886,174000	290,789699	-	13.176,963699	Padrão - SND	Reg.	
14/09/2018	GEPA25	12.886,700800	287,259187	-	13.173,959987	Padrão - SND	Reg.	
13/09/2018	GEPA25	12.887,227600	283,729340	-	13.170,956940	Padrão - SND	Reg.	
12/09/2018	GEPA25	12.887,754500	280,200158	-	13.167,954658	Padrão - SND	Reg.	
11/09/2018	GEPA25	12.888,281300	276,671639	-	13.164,952939	Padrão - SND	Reg.	
10/09/2018	GEPA25	12.888,808300	273,143789	-	13.161,952089	Padrão - SND	Reg.	
06/09/2018	GEPA25	12.921,322900	270,285713	-	13.191,608613	Padrão - SND	Reg.	
05/09/2018	GEPA25	12.919,387700	266,699571	-	13.186,087271	Padrão - SND	Reg.	
04/09/2018	GEPA25	12.917,452800	263,115454	-	13.180,568254	Padrão - SND	Reg.	
03/09/2018	GEPA25	12.915,518100	259,533358	-	13.175,051458	Padrão - SND	Reg.	
31/08/2018	GEPA25	12.913,583800	255,953287	-	13.169,537087	Padrão - SND	Reg.	
30/08/2018	GEPA25	12.911,649600	252,375222	-	13.164,024822	Padrão - SND	Reg.	
29/08/2018	GEPA25	12.909,715800	248,799193	-	13.158,514993	Padrão - SND	Reg.	
28/08/2018	GEPA25	12.907,782300	245,225159	-	13.153,007459	Padrão - SND	Reg.	
27/08/2018	GEPA25	12.905,849200	241,653160	-	13.147,502360	Padrão - SND	Reg.	
24/08/2018	GEPA25	12.903,916200	238,083164	-	13.141,999364	Padrão - SND	Reg.	
23/08/2018	GEPA25	12.901,983500	234,515187	-	13.136,498687	Padrão - SND	Reg.	
22/08/2018	GEPA25	12.900,051200	230,949217	-	13.131,000417	Padrão - SND	Reg.	
21/08/2018	GEPA25	12.898,119200	227,385264	-	13.125,504464	Padrão - SND	Reg.	
20/08/2018	GEPA25	12.896,187500	223,823316	-	13.120,010816	Padrão - SND	Reg.	
17/08/2018	GEPA25	12.894,164000	220,261810	-	13.114,425810	Padrão - SND	Reg.	
16/08/2018	GEPA25	12.892,140800	216,702370	-	13.108,843170	Padrão - SND	Reg.	
15/08/2018	GEPA25	12.890,118100	213,144986	-	13.103,263086	Padrão - SND	Reg.	
14/08/2018	GEPA25	12.888,095500	209,589650	-	13.097,685150	Padrão - SND	Reg.	
13/08/2018	GEPA25	12.886,073400	206,036381	-	13.092,109781	Padrão - SND	Reg.	
10/08/2018	GEPA25	12.884,051500	202,485174	-	13.086,536674	Padrão - SND	Reg.	
09/08/2018	GEPA25	12.882,030000	198,936004	-	13.080,966004	Padrão - SND	Reg.	
08/08/2018	GEPA25	12.953,782900	196,508058	-	13.150,290958	Padrão - SND	Reg.	
07/08/2018	GEPA25	12.946,061400	192,857943	-	13.138,919343	Padrão - SND	Reg.	
