PU Histórico - Gerado em 07/10/2018 01:07:10

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	GNAN13	7.142,850000	110,054319	-	7.252,904319	Padrão - SND	Reg.	
04/10/2018	GNAN13	7.142,850000	107,833606	-	7.250,683606	Padrão - SND	Reg.	
03/10/2018	GNAN13	7.142,850000	105,613609	-	7.248,463609	Padrão - SND	Reg.	
02/10/2018	GNAN13	7.142,850000	103,394325	-	7.246,244325	Padrão - SND	Reg.	
01/10/2018	GNAN13	7.142,850000	101,175685	-	7.244,025685	Padrão - SND	Reg.	
28/09/2018	GNAN13	7.142,850000	98,961044	-	7.241,811044	Padrão - SND	Reg.	
27/09/2018	GNAN13	7.142,850000	96,747046	-	7.239,597046	Padrão - SND	Reg.	
26/09/2018	GNAN13	7.142,850000	94,533763	-	7.237,383763	Padrão - SND	Reg.	
25/09/2018	GNAN13	7.142,850000	92,321193	-	7.235,171193	Padrão - SND	Reg.	
24/09/2018	GNAN13	7.142,850000	90,109267	-	7.232,959267	Padrão - SND	Reg.	
21/09/2018	GNAN13	7.142,850000	87,897984	-	7.230,747984	Padrão - SND	Reg.	
20/09/2018	GNAN13	7.142,850000	85,687414	-	7.228,537414	Padrão - SND	Reg.	
19/09/2018	GNAN13	7.142,850000	83,477488	-	7.226,327488	Padrão - SND	Reg.	
18/09/2018	GNAN13	7.142,850000	81,268276	-	7.224,118276	Padrão - SND	Reg.	
17/09/2018	GNAN13	7.142,850000	79,059707	-	7.221,909707	Padrão - SND	Reg.	
14/09/2018	GNAN13	7.142,850000	76,851852	-	7.219,701852	Padrão - SND	Reg.	
13/09/2018	GNAN13	7.142,850000	74,644640	-	7.217,494640	Padrão - SND	Reg.	
12/09/2018	GNAN13	7.142,850000	72,438142	-	7.215,288142	Padrão - SND	Reg.	
11/09/2018	GNAN13	7.142,850000	70,232287	-	7.213,082287	Padrão - SND	Reg.	
10/09/2018	GNAN13	7.142,850000	68,027075	-	7.210,877075	Padrão - SND	Reg.	
06/09/2018	GNAN13	7.142,850000	65,822577	-	7.208,672577	Padrão - SND	Reg.	
05/09/2018	GNAN13	7.142,850000	63,618794	-	7.206,468794	Padrão - SND	Reg.	
04/09/2018	GNAN13	7.142,850000	61,415653	-	7.204,265653	Padrão - SND	Reg.	
03/09/2018	GNAN13	7.142,850000	59,213155	-	7.202,063155	Padrão - SND	Reg.	
31/08/2018	GNAN13	7.142,850000	57,011300	-	7.199,861300	Padrão - SND	Reg.	
