PU Histórico - Gerado em 07/10/2018 01:07:12

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	GRAI11	10.000,000000	534,702420	-	10.534,702420	Padrão - SND	Reg.	
04/10/2018	GRAI11	10.000,000000	530,510590	-	10.530,510590	Padrão - SND	Reg.	
03/10/2018	GRAI11	10.000,000000	526,320400	-	10.526,320400	Padrão - SND	Reg.	
02/10/2018	GRAI11	10.000,000000	522,131860	-	10.522,131860	Padrão - SND	Reg.	
01/10/2018	GRAI11	10.000,000000	517,944950	-	10.517,944950	Padrão - SND	Reg.	
28/09/2018	GRAI11	10.000,000000	513,763670	-	10.513,763670	Padrão - SND	Reg.	
27/09/2018	GRAI11	10.000,000000	509,584020	-	10.509,584020	Padrão - SND	Reg.	
26/09/2018	GRAI11	10.000,000000	505,406010	-	10.505,406010	Padrão - SND	Reg.	
25/09/2018	GRAI11	10.000,000000	501,229630	-	10.501,229630	Padrão - SND	Reg.	
24/09/2018	GRAI11	10.000,000000	497,055000	-	10.497,055000	Padrão - SND	Reg.	
21/09/2018	GRAI11	10.000,000000	492,882000	-	10.492,882000	Padrão - SND	Reg.	
20/09/2018	GRAI11	10.000,000000	488,710640	-	10.488,710640	Padrão - SND	Reg.	
19/09/2018	GRAI11	10.000,000000	484,540920	-	10.484,540920	Padrão - SND	Reg.	
18/09/2018	GRAI11	10.000,000000	480,372930	-	10.480,372930	Padrão - SND	Reg.	
17/09/2018	GRAI11	10.000,000000	476,206580	-	10.476,206580	Padrão - SND	Reg.	
14/09/2018	GRAI11	10.000,000000	472,041850	-	10.472,041850	Padrão - SND	Reg.	
13/09/2018	GRAI11	10.000,000000	467,878770	-	10.467,878770	Padrão - SND	Reg.	
12/09/2018	GRAI11	10.000,000000	463,717310	-	10.463,717310	Padrão - SND	Reg.	
11/09/2018	GRAI11	10.000,000000	459,557600	-	10.459,557600	Padrão - SND	Reg.	
10/09/2018	GRAI11	10.000,000000	455,399500	-	10.455,399500	Padrão - SND	Reg.	
