PU Histórico - Gerado em 07/10/2018 01:07:18

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	GSTE13	1.026,964520	67,594455	-	1.094,558975	Padrão - SND	Reg.	
04/10/2018	GSTE13	1.027,013130	67,203516	-	1.094,216646	Padrão - SND	Reg.	
03/10/2018	GSTE13	1.027,061740	66,812682	-	1.093,874422	Padrão - SND	Reg.	
02/10/2018	GSTE13	1.027,110370	66,421953	-	1.093,532323	Padrão - SND	Reg.	
01/10/2018	GSTE13	1.027,158990	66,031330	-	1.093,190320	Padrão - SND	Reg.	
28/09/2018	GSTE13	1.027,207620	65,640810	-	1.092,848430	Padrão - SND	Reg.	
27/09/2018	GSTE13	1.027,256240	65,250395	-	1.092,506635	Padrão - SND	Reg.	
26/09/2018	GSTE13	1.027,304880	64,860085	-	1.092,164965	Padrão - SND	Reg.	
25/09/2018	GSTE13	1.027,353500	64,469879	-	1.091,823379	Padrão - SND	Reg.	
24/09/2018	GSTE13	1.027,402130	64,079778	-	1.091,481908	Padrão - SND	Reg.	
21/09/2018	GSTE13	1.027,450770	63,689781	-	1.091,140551	Padrão - SND	Reg.	
20/09/2018	GSTE13	1.027,499410	63,299889	-	1.090,799299	Padrão - SND	Reg.	
19/09/2018	GSTE13	1.027,548050	62,910100	-	1.090,458150	Padrão - SND	Reg.	
18/09/2018	GSTE13	1.027,596700	62,520418	-	1.090,117118	Padrão - SND	Reg.	
17/09/2018	GSTE13	1.027,645340	62,130838	-	1.089,776178	Padrão - SND	Reg.	
14/09/2018	GSTE13	1.027,687360	61,740965	-	1.089,428325	Padrão - SND	Reg.	
13/09/2018	GSTE13	1.027,729380	61,351202	-	1.089,080582	Padrão - SND	Reg.	
12/09/2018	GSTE13	1.027,771400	60,961547	-	1.088,732947	Padrão - SND	Reg.	
11/09/2018	GSTE13	1.027,813410	60,572001	-	1.088,385411	Padrão - SND	Reg.	
10/09/2018	GSTE13	1.027,855430	60,182566	-	1.088,037996	Padrão - SND	Reg.	
06/09/2018	GSTE13	1.031,037990	59,975924	-	1.091,013914	Padrão - SND	Reg.	
05/09/2018	GSTE13	1.030,883570	59,574157	-	1.090,457727	Padrão - SND	Reg.	
04/09/2018	GSTE13	1.030,729170	59,172651	-	1.089,901821	Padrão - SND	Reg.	
03/09/2018	GSTE13	1.030,574790	58,771405	-	1.089,346195	Padrão - SND	Reg.	
31/08/2018	GSTE13	1.030,420450	58,370419	-	1.088,790869	Padrão - SND	Reg.	
30/08/2018	GSTE13	1.030,266120	57,969693	-	1.088,235813	Padrão - SND	Reg.	
29/08/2018	GSTE13	1.030,111810	57,569226	-	1.087,681036	Padrão - SND	Reg.	
28/08/2018	GSTE13	1.029,957540	57,169020	-	1.087,126560	Padrão - SND	Reg.	
27/08/2018	GSTE13	1.029,803270	56,769073	-	1.086,572343	Padrão - SND	Reg.	
24/08/2018	GSTE13	1.029,649040	56,369386	-	1.086,018426	Padrão - SND	Reg.	
23/08/2018	GSTE13	1.029,494830	55,969958	-	1.085,464788	Padrão - SND	Reg.	
22/08/2018	GSTE13	1.029,340640	55,570788	-	1.084,911428	Padrão - SND	Reg.	
21/08/2018	GSTE13	1.029,186470	55,171878	-	1.084,358348	Padrão - SND	Reg.	
20/08/2018	GSTE13	1.029,032330	54,773227	-	1.083,805557	Padrão - SND	Reg.	
17/08/2018	GSTE13	1.028,878210	54,374835	-	1.083,253045	Padrão - SND	Reg.	
16/08/2018	GSTE13	1.028,724120	53,976701	-	1.082,700821	Padrão - SND	Reg.	
15/08/2018	GSTE13	1.028,570050	53,578825	-	1.082,148875	Padrão - SND	Reg.	
14/08/2018	GSTE13	1.028,416000	53,181208	-	1.081,597208	Padrão - SND	Reg.	
13/08/2018	GSTE13	1.028,261970	52,783849	-	1.081,045819	Padrão - SND	Reg.	
10/08/2018	GSTE13	1.028,107970	52,386748	-	1.080,494718	Padrão - SND	Reg.	
09/08/2018	GSTE13	1.027,953980	51,989904	-	1.079,943884	Padrão - SND	Reg.	
08/08/2018	GSTE13	1.035,153740	51,962460	-	1.087,116200	Padrão - SND	Reg.	
07/08/2018	GSTE13	1.034,564740	51,541676	-	1.086,106416	Padrão - SND	Reg.	
06/08/2018	GSTE13	1.033,976080	51,121496	-	1.085,097576	Padrão - SND	Reg.	
03/08/2018	GSTE13	1.033,387760	50,701918	-	1.084,089678	Padrão - SND	Reg.	
02/08/2018	GSTE13	1.032,799770	50,282941	-	1.083,082711	Padrão - SND	Reg.	
01/08/2018	GSTE13	1.032,212120	49,864566	-	1.082,076686	Padrão - SND	Reg.	
31/07/2018	GSTE13	1.031,624790	49,446789	-	1.081,071579	Padrão - SND	Reg.	
30/07/2018	GSTE13	1.031,037810	49,029613	-	1.080,067423	Padrão - SND	Reg.	
